annex_2_8_9,annex_1,national_code,type_of_waste,annex_3,amount,countries_of_transit,country_of_destination,annex_4_a,annex_4_b,country,year,y_code,waste_constituents,annex_8,un_class,characteristics
,"Y31,Y34",8548101000,lead acid batteries containing acidic solutions and/or acidic solid forms,H11,48.0,"BR,MA",ES,,R4,Uruguay,2016,,,,,
A3020,Y8,1522009900,Soapstock,H4.1,179.8,,KZ,,R2,Uzbekistan,2016,,,,,
A1030,Y29,2503.00.0000,Azufre fuera de especificación,H8,1500.0,,KR,,R_,Venezuela (Bolivarian Republic of),2016,,,,,
A4160,,12 01 04,Used activated carbon ,H11,300.0,"BE,EG,DE,MY,NL,SG,ES,LK",CH,D10,,Viet Nam,2016,,,,,
A1060,"Y31,Y34","Y31 - Lead; lead compounds
Y34 - Acidic solutions or acids in solid form",Spent Lead Batteries,H11,2007.0,"DJ,OM",KR,,"R4,R6",Yemen,2016,,,,,
,,,,,2.6,,ES,D10,,Andorra,2015,Y1,,,,Clinical medical waste
,,,,,5.2,,ES,D9,,Andorra,2015,Y3,,,,"Waste pharmaceuticals, drugs and medicines"
,,,,,204.9,,ES,,R9,Andorra,2015,Y8,,,,Waste mineral oils
,,,,,173.6,,ES,,R3,Andorra,2015,Y9,,,,"Waste oils/water, hydrocarbons/water mixtures, emulsions"
,,,,,130.60000000000002,,ES,D9,,Andorra,2015,"Y12,Y13",,,,Waste of pain and varnish / Waste of glue and water glue
,,,,,6.2,,ES,D9,,Andorra,2015,Y16,,,,Waste photographic chemicals
,,,,,608.3,,ES,"D5,D9",,Andorra,2015,Y18,,,,waste resulting from the operations of disposal of industrial wastes
,,,,,124.9,,ES,,R13,Andorra,2015,"Y21,Y45",,,,Hexavalent chromium and organohalogen compounds
,,,,,16.1,,ES,,R4,Andorra,2015,Y29,,,,Mercury compounds
,,,,,212.2,,ES,,R4,Andorra,2015,Y31,,,,Bateries 
,,,,,6.5,,ES,D9,,Andorra,2015,Y34,,,,Lab reagents and inorganic acids
,,,,,6.5,,ES,D9,,Andorra,2015,Y35,,,,Basic solutions or basis in solid form
,,,,,66.5,,ES,D5,,Andorra,2015,Y36,,,,Asbestos
,,,,,1.3,,ES,D9,,Andorra,2015,Y41,,,,Halogenated organic solvents
,,,,,27.2,,ES,D9,,Andorra,2015,Y42,,,,Organic solvents excluding halogenated solvents
,,,,,12.2,,ES,,R3,Andorra,2015,Y45,,,,Organohalogen compounds
,,,,,1087.2,,ES,D12,,Andorra,2015,Y47,,,,Ashes from the incineration of household wastes
,,,,14.0,183.2,,ES,,R4,Andorra,2015,Y_,,,,"Electric and electronic wastes (seryllium, copper, selenium, antomony, lead compounds and organohalogen compounds)"
,,,,"H11,H12",372.13,BR,FR,D9,,Argentina,2015,Y10,"Liquids and capacitors containing PCBs inside and PCB contaminated solid materials such as rags, absorbent, porous materials, elelentos personal protection, land and housings for electrical equipmen",A3180,9,Toxic (delayed or chronic effects); Ecotoxicological
,,,,H13,97.15,,BE,,R4,Argentina,2015,"Y20,Y21,Y22,Y23,Y25,Y26,Y27,Y29,Y31",Y48 Resolution SADS 897/2002 Printed Circuit Boards from WEE (PCB),A1180,9,Material that could leach hazardous constituent
,,,,"H11,H12,H13",3.22,,BE,,"R4,R8",Argentina,2015,Y23,Depleted catalysts of zinc oxide,B2030,9,Material that could leach hazardous constituent
,,,,H11,2000.0,,IR,,R4,Armenia,2015,Y31,Lead; lead compounds,A1160,9,"Waste lead-acid batteries, whole or crushed"
,,,,H6.1,5500.0,"ZA,ES,DE,GB",BE,,R4,Australia,2015,"Y31,Y32",Lead dross copper-rich ,A1020,6.1,2
,,,,"H11,H12",1800.0,,KR,,R4,Australia,2015,Y31,"Crushed, mixed cathode ray tube glass ",A2010,9,2
,,,,"H11,H12",1500.0,,KR,,R4,Australia,2015,Y31,Lead waste and scrap derived from used lead acid batteries,A1020,9,2
,,,,"H4.2,H12",500.0,"SG,MY,LK,OM,EG,PT,FR,GB,DE,BE,NL",CH,,R4,Australia,2015,"Y22,Y23,Y29","Spent puraspec absorbent and CMG guard beds containing a mixture of copper sulfide/basic copper carbonate, zinc sulfide/basic zinc carbonate and cementious binder contaminated with trace levels of organic impurities and low levels of mercury sulfide ",A2030,4.2,"1, 2"
,,,,"H11,H12",6000.0,,KR,,R4,Australia,2015,Y31,Lead waste and scrap derived from used lead acid batteries,A1020,9,2
,,,,H4.2,20.0,"MY,EG,GB,BE",NL,,R8,Australia,2015,Y_,"Waste catalyst containing aluminium oxide, molybdenum trioxide and cobalt oxide ",A2030,4.2,2
,,,,H4.2,150.0,"MY,EG,GB,BE",NL,,R8,Australia,2015,Y22,"Waste catalyst containing iron oxide, chromium oxide, copper oxide and graphite ",A2030,4.2,2
,,,,,5.0,"NZ,US",CA,,R4,Australia,2015,Y_,Waste Lithium metal batteries not contained in equipment ,A1170,9,2
