origin,destination,year,UN1,UN3,UN4.1,UN4.2,UN4.3,UN5.1,UN5.2,UN6.1,UN6.2,UN8,UN9,amount
ad,es,2002,,,,,,,,,,,,7777.0
ad,es,2003,,,,,,,,,,,,484.0
ad,es,2004,,,,,,,,,,,,422.0
ad,es,2005,,,,,,,,,,,,616.0
ad,es,2006,,,,,,,,,,,,1037.0
ad,es,2007,,,,,,,,,,,,1272.0
ad,es,2008,,,,,,,,,,,,1275.0
ad,es,2009,,,,,,,,,,,,1023.0
ad,es,2010,,,,,,,,,,,,962.0
ad,es,2011,,,,,,,,,,,,715.0
ad,es,2012,,,,,,,,,,,,1802.0
ad,es,2013,,,,,,,,,,,,971.0
ad,es,2014,,,,,,,,,,,,3096.0
ad,es,2015,,,,,,,,,,,,2868.0
ad,es,2016,False,False,False,False,False,False,False,False,False,False,True,1806.0
ad,es,2016,False,False,False,False,False,False,False,False,False,True,False,193.0
ad,es,2016,False,False,False,False,False,False,False,False,False,True,True,1.0
ad,es,2016,False,False,False,False,False,False,False,False,True,False,False,2.0
ad,es,2016,False,False,False,False,False,False,False,True,False,False,True,0.0
ad,es,2016,False,True,False,False,False,False,False,False,False,False,False,744.0
ad,es,2016,False,True,False,False,False,False,False,False,False,False,True,63.0
ad,es,2016,,,,,,,,,,,,200.0
ad,es,2017,False,False,False,False,False,False,False,False,False,False,True,1778.2330000000002
ad,es,2017,False,False,False,False,False,False,False,False,False,True,False,178.72
ad,es,2017,False,False,False,False,False,False,False,False,False,True,True,2.129
ad,es,2017,False,False,False,False,False,False,False,False,True,False,False,2.91
ad,es,2017,False,False,False,False,False,False,False,True,False,False,True,0.166
ad,es,2017,False,True,False,False,False,False,False,False,False,False,False,553.091
ad,es,2017,False,True,False,False,False,False,False,False,False,False,True,56.129
ad,es,2017,,,,,,,,,,,,24.366999999999997
ad,es,2018,False,False,False,False,False,False,False,False,False,False,True,2276.018
ad,es,2018,False,False,False,False,False,False,False,False,False,True,False,169.63
ad,es,2018,False,False,False,False,False,False,False,False,False,True,True,4.476
ad,es,2018,False,False,False,False,False,False,False,False,True,False,False,2.45
ad,es,2018,False,False,False,False,False,False,False,True,False,False,True,0.502
ad,es,2018,False,True,False,False,False,False,False,False,False,False,False,311.053
ad,es,2018,False,True,False,False,False,False,False,False,False,False,True,82.295
ad,es,2018,False,True,False,False,False,False,False,False,False,True,True,0.45
ad,es,2018,,,,,,,,,,,,33.42
ad,es,2019,False,False,False,False,False,False,False,False,False,False,True,2302.386
ad,es,2019,False,False,False,False,False,False,False,False,False,True,False,193.66
ad,es,2019,False,False,False,False,False,False,False,False,False,True,True,7.3180000000000005
ad,es,2019,False,False,False,False,False,False,False,False,True,False,False,1.956
ad,es,2019,False,True,False,False,False,False,False,False,False,False,False,146.551
ad,es,2019,False,True,False,False,False,False,False,False,False,False,True,76.414
ad,es,2019,,,,,,,,,,,,9.263
ad,es,2020,False,False,False,False,False,False,False,False,False,False,True,1928.386
ad,es,2020,False,False,False,False,False,False,False,False,False,True,False,224.624
ad,es,2020,False,False,False,False,False,False,False,False,False,True,True,8.158999999999999
ad,es,2020,False,False,False,False,False,False,False,False,True,False,False,2.4
ad,es,2020,False,False,False,False,False,False,False,True,False,False,True,0.19
ad,es,2020,False,True,False,False,False,False,False,False,False,False,False,115.578
ad,es,2020,False,True,False,False,False,False,False,False,False,False,True,77.406
ad,es,2020,,,,,,,,,,,,5.737
ad,fr,2006,,,,,,,,,,,,238.0
ad,fr,2007,,,,,,,,,,,,929.0
ad,fr,2008,,,,,,,,,,,,971.0
ad,fr,2009,,,,,,,,,,,,1238.0
ad,fr,2010,,,,,,,,,,,,1027.0
ad,fr,2011,,,,,,,,,,,,976.0
ad,fr,2017,False,False,False,False,False,False,False,False,False,False,True,211.6
ad,fr,2018,False,False,False,False,False,False,False,False,False,False,True,138.7
ad,fr,2019,False,False,False,False,False,False,False,False,False,False,True,179.5
ad,fr,2020,False,False,False,False,False,False,False,False,False,False,True,220.91
ad,jp,2021,False,False,False,False,False,False,False,False,False,False,True,5.448
ad,nz,2021,False,False,False,False,False,False,False,False,False,False,True,100.0
ad,nz,2021,False,False,False,False,False,False,False,True,False,False,True,750.0
ad,nz,2021,False,True,False,False,False,False,False,False,False,False,False,1100.0
ad,nz,2021,True,True,False,False,False,False,False,False,False,True,True,100.0
ad,pg,2021,False,False,False,False,False,False,False,False,False,False,True,200.0
ad,pg,2021,False,True,False,False,False,False,False,False,False,False,True,2000.0
ad,pg,2021,True,False,False,False,False,False,False,True,False,True,False,200.0
ae,be,2011,False,False,False,False,False,False,False,False,False,False,True,15.0
ae,be,2014,False,False,False,False,False,False,False,False,False,False,True,20.0
ae,be,2016,False,False,False,False,False,False,False,False,False,False,True,105.0
ae,be,2017,False,False,False,False,False,False,False,False,False,False,True,70.0
ae,be,2018,False,False,False,False,False,False,False,False,False,False,True,250.0
ae,be,2020,False,False,False,False,False,False,False,False,False,False,True,100.0
ae,bg,2010,False,False,False,False,False,False,False,False,False,True,True,6000.0
ae,bg,2014,False,False,False,False,False,False,False,False,False,True,False,1000.0
ae,bg,2015,False,False,False,False,False,False,False,False,False,True,False,5000.0
ae,ca,2008,,,,,,,,,,,,130.0
ae,ca,2010,,,,,,,,,,,,130.0
ae,ca,2011,False,False,False,False,False,False,False,False,False,False,True,12.0
ae,ca,2013,,,,,,,,,,,,15.0
ae,ca,2016,,,,,,,,,,,,15.0
ae,ca,2017,,,,,,,,,,,,15.0
ae,ca,2018,,,,,,,,,,,,25.0
ae,ca,2019,,,,,,,,,,,,15.0
ae,ca,2020,,,,,,,,,,,,25.0
ae,ca,2021,,,,,,,,,,,,15.0
ae,de,2008,False,True,True,True,True,True,False,True,False,True,False,45.0
ae,de,2009,False,True,True,True,False,False,False,False,False,False,True,45.0
ae,de,2011,,,,,,,,,,,,45.0
ae,de,2013,False,True,True,True,True,True,False,True,False,True,True,45.0
ae,de,2014,False,False,False,False,False,False,False,False,False,False,True,500.0
ae,de,2014,False,True,False,False,False,False,False,True,False,True,False,1000.0
ae,de,2014,False,True,True,True,True,True,False,True,False,True,True,45.0
ae,de,2014,True,True,True,True,True,True,False,True,False,True,True,1000.0
ae,de,2015,False,False,False,False,False,False,False,False,False,False,True,175.0
ae,de,2015,False,False,False,False,False,False,False,False,False,True,True,500.0
ae,de,2015,False,False,True,False,False,False,False,False,False,False,False,500.0
ae,de,2015,False,True,False,False,False,False,False,True,False,False,False,500.0
ae,de,2015,False,True,False,False,False,False,False,True,False,False,True,50.0
ae,de,2015,False,True,False,False,False,False,False,True,False,True,False,1000.0
ae,de,2015,False,True,False,False,False,False,False,True,True,False,True,500.0
ae,de,2015,False,True,True,False,False,False,False,True,False,True,True,1250.0
ae,de,2015,False,True,True,True,True,True,False,True,False,True,False,1000.0
ae,de,2016,False,False,False,False,False,False,False,False,False,True,True,50.0
ae,de,2016,False,False,False,False,False,False,False,True,False,False,True,500.0
ae,de,2016,False,False,True,False,False,False,False,False,False,False,False,150.0
ae,de,2016,False,True,False,False,False,False,False,True,False,False,False,150.0
ae,de,2016,False,True,False,False,False,False,False,True,False,False,True,100.0
ae,de,2016,False,True,False,False,False,False,False,True,False,True,False,500.0
ae,de,2016,False,True,True,False,False,False,False,True,False,True,True,600.0
ae,de,2016,True,True,True,True,True,True,False,True,False,True,True,500.0
ae,de,2018,False,False,False,False,False,False,False,True,False,False,True,50.0
ae,de,2018,True,True,False,False,True,False,False,True,False,False,True,50.0
ae,de,2018,True,True,True,True,True,True,True,True,False,True,True,200.0
ae,de,2019,False,False,False,False,False,False,False,False,False,False,True,2.0
ae,de,2019,False,False,False,False,False,False,False,True,False,False,True,50.0
ae,de,2019,False,True,False,False,False,False,False,True,False,True,True,100.0
ae,de,2019,False,True,True,False,False,False,False,True,False,True,True,100.0
ae,de,2019,True,True,False,False,True,False,False,True,False,False,True,50.0
ae,de,2019,True,True,True,True,True,True,True,True,False,True,True,300.0
ae,de,2020,True,True,False,False,True,False,False,True,False,False,True,50.0
ae,dk,2007,False,False,False,False,False,False,False,False,False,True,False,150.0
ae,dk,2007,False,False,False,False,False,False,False,True,False,False,False,200.0
ae,dk,2007,False,True,False,False,False,False,False,False,False,False,False,260.0
ae,dk,2007,,,,,,,,,,,,280.0
ae,dk,2008,False,False,False,False,False,False,False,False,False,False,True,50.0
ae,dk,2008,False,False,False,False,False,False,False,False,False,True,False,100.0
ae,dk,2008,False,False,False,False,False,False,False,True,False,False,False,50.0
ae,dk,2008,False,True,False,False,False,True,False,True,False,False,False,200.0
ae,dk,2008,,,,,,,,,,,,100.0
ae,dk,2009,False,False,False,False,False,False,False,False,False,False,True,50.0
ae,dk,2009,False,False,False,False,False,False,False,False,False,True,False,100.0
ae,dk,2009,False,False,False,False,False,False,False,True,False,False,False,50.0
ae,dk,2009,False,True,False,False,False,False,False,True,False,False,False,200.0
ae,dk,2009,,,,,,,,,,,,100.0
ae,dk,2013,False,True,False,False,False,True,False,True,False,True,False,200.0
ae,dk,2013,,,,,,,,,,,,100.0
ae,fr,2016,False,True,False,False,False,False,False,True,False,False,True,930.0
ae,fr,2017,False,True,False,False,False,False,False,True,False,False,True,750.0
ae,fr,2019,False,False,False,False,False,False,False,True,False,False,True,250.0
ae,fr,2019,False,True,False,False,False,False,False,True,False,False,True,852.3
ae,fr,2020,False,True,False,False,False,False,False,True,False,False,True,835.0
ae,fr,2021,False,True,False,False,False,False,False,True,False,False,True,450.0
ae,gr,2018,False,True,False,False,False,False,False,False,False,True,True,400.0
ae,in,2015,False,False,False,False,False,False,False,False,False,False,True,2000.0
ae,in,2016,False,False,False,False,False,False,False,False,False,False,True,8000.0
ae,in,2017,False,False,False,False,False,False,False,False,False,False,True,3000.0
ae,in,2021,False,False,False,False,False,False,False,False,False,False,True,20000.0
ae,in,2021,False,False,False,False,False,True,False,True,False,False,True,9381.0
ae,ir,2021,False,False,False,False,False,False,False,False,False,False,True,1940.0
ae,kr,2010,False,False,False,False,False,False,False,False,False,True,True,10000.0
ae,kr,2011,False,False,False,False,False,False,False,False,False,False,True,21500.0
ae,kr,2013,False,False,False,False,False,False,False,False,False,False,True,65700.0
ae,kr,2014,False,False,False,False,False,False,False,False,False,False,True,73800.0
ae,kr,2015,False,False,False,False,False,False,False,False,False,False,True,94600.0
ae,kr,2016,False,False,False,False,False,False,False,False,False,False,True,121500.0
