,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_destination,annex_4_a,annex_4_b,country,year
0,AN8,"High purity Tin Oxide - Sn 75%, H2O 6-10%, minor quantities metals salts and non metallic oxides",A1030,9,H11,Toxic(delayed or chronic),134.209,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
1,11B,"Spent metal bearing catalysts containing transition metals, Art. 1(1)b",,4.2,H4.2,Substances or wastes liable to spontaneous combustion,286.12,,BE,,R8,United Kingdom of Great Britain and Northern Ireland,2001
2,11B,"Spent metal bearing catalysts containing transition metals, Art. 1(1)b",,4.2,H4.2,Substances or wastes liable to spontaneous combustion,1196.9,,FR,,R8,United Kingdom of Great Britain and Northern Ireland,2001
3,Y12,Soil and Stones,,4.1,H4.1,Inflammable solids,1.8,,IE,D15,,United Kingdom of Great Britain and Northern Ireland,2001
4,"Y13,Y22,Y31",Copper ash residues containing metal or metal compounds,,9,H12,Ecotoxic,856.123,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
5,"Y13,Y22,Y31",Copper ash residues containing metal or metal compounds,,9,H12,Ecotoxic,371.557,,ES,,R4,United Kingdom of Great Britain and Northern Ireland,2001
6,"Y13,Y22,Y31",Copper ash residues containing metal or metal compounds,,9,H12,Ecotoxic,141.284,,NL,,R13,United Kingdom of Great Britain and Northern Ireland,2001
7,"Y13,Y22,Y32",Copper ash residues containing metal or metal compounds,,9,H12,Ecotoxic,19.664,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
8,Y16,Photographic waste containing Silver,,8,H8,Corrosives,17.569,,US,,R4,United Kingdom of Great Britain and Northern Ireland,2001
9,Y16,"Silver Chloride Residue Waste & Damp Filter Cake, An Inert Non-Corrosive non-flammable non-toxic Slightly Acid Sludge",,8,H8,Corrosives,6.075,,US,,R4,United Kingdom of Great Britain and Northern Ireland,2001
10,Y16,Silver rich sludge,,8,H8,Corrosives,216.769,,US,,R4,United Kingdom of Great Britain and Northern Ireland,2001
11,Y16,Silver sulphide containing sludge,,9,H12,Ecotoxic,56.584,,NL,,R4,United Kingdom of Great Britain and Northern Ireland,2001
12,Y17,Aluminium Skimmings 45% Aluminium 55% Oxides,,4.3,H4.3,"Substances or wastes which, in contact with water, emit inflammable gases",278.24,,NO,,R4,United Kingdom of Great Britain and Northern Ireland,2001
13,Y17,Precious metals concentrates,,"6.1, 8","H6.1,H8","Poisonous(acute), Corrosives",6.331,"BE,FR",DE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
14,Y17,Spent Ammoniacal Copper containing solution,,6.1,H6.1,Poisonous(acute),68.889,,BE,,"R4,R6",United Kingdom of Great Britain and Northern Ireland,2001
15,Y17,Waste zirconium turnings for recycle,,4.2,H4.2,Substances or wastes liable to spontaneous combustion,11.299,,CA,,R4,United Kingdom of Great Britain and Northern Ireland,2001
16,Y18,Flue Dust,,6.1,H6.1,Poisonous(acute),122.58,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
17,Y18,Flue Dust,,6.1,H6.1,Poisonous(acute),14.6,,CA,,R4,United Kingdom of Great Britain and Northern Ireland,2001
18,Y19,Aluminium salt slag,,4.3,H4.3,"Substances or wastes which, in contact with water, emit inflammable gases",19818.0,,NO,,"R4,R5",United Kingdom of Great Britain and Northern Ireland,2001
19,Y21,Tin residues,,9,H12,Ecotoxic,47.47,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
20,Y22,Copper & Brass Skimmings/Dross,,9,H12,Ecotoxic,79.828,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
21,Y22,Cupric Ammonium Chloride,,6.1,H6.1,Poisonous(acute),18.7,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
