,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A4010,Y3, 20 01 32,"Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B",H12,66.19,,DE,D10,,Finland,2013
1,A4010,Y3, 20 01 32*,"Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B",H12,49.68,,DE,D10,,Finland,2013
2,A4010,Y3," 18 01 09, 20 01 32","Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B",H6.1,56.78,,SE,D10,,Finland,2013
3,,Y5, 19 12 06*,Treated cork and wood wastes,H12,45870.118,,DE,,R1,Finland,2013
4,,Y5, 19 12 06*,Treated cork and wood wastes,H12,1280.18,,DK,,R12,Finland,2013
5,,Y5, 17 02 04*,Treated cork and wood wastes,H12,2178.44,,SE,D10,,Finland,2013
6,,Y5," 17 02 04*, 19 12 06*",Treated cork and wood wastes,H12,211.35,,SE,,R1,Finland,2013
7,,Y5," 17 02 04*, 19 12 06*",Treated cork and wood wastes,H12,511.96,,SE,,R12,Finland,2013
8,A2030,Y6, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H3,24.514,,DE,,R4,Finland,2013
9,A4070,Y12, 20 01 27*,"Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010)",H3,860.86,,DE,,R1,Finland,2013
10,A4070,Y12," 08 01 11*, 20 01 27*","Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010)","H3,H4.1",255.6,SE,NO,,"R1,R12",Finland,2013
11,A4070,Y12," 08 01 11*, 20 01 27*","Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010)","H3,H4.1",7.78,SE,NO,,R12,Finland,2013
12,A4070,Y12," 08 01 11*, 08 03 14*, 08 03 17*, 08 04 09*, 20 01 27*","Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010)",H4.1,620.86,,DE,,R1,Finland,2013
13,A4080,Y15, 16 04 03*,Wastes of an explosive nature (but excluding such wastes specified on list B),"H1,H5.1",165.2,,SE,D10,,Finland,2013
14,A1050,Y17, 11 01 09*,Galvanic sludges,"H11,H12",66.84,,DE,,R4,Finland,2013
15,A1050,Y17," 11 01 09*, 11 01 10",Galvanic sludges,H12,87.884,,DE,,R4,Finland,2013
16,,Y18, 16 01 07*,"Oil filters, used",H12,107.24,DE,DK,,R12,Finland,2013
17,A4160,Y18, 07 04 09*,"Spent activated carbon not included on list B (note the related entry on list B, B2060)",H13,43.44,,BE,,R7,Finland,2013
18,,Y18," 12 01 12*, 15 01 10*, 15 02 02*, 16 05 08*, 16 07 08*, 20 01 26*","Oil waste, solid","H4.1,H12",107.26,,SE,D10,,Finland,2013
19,,Y18," 13 05 01*, 13 05 02*, 15 01 10*, 15 02 02*, 20 01 26*","Oil waste, solid","H4.1,H12",7.1,,SE,D10,,Finland,2013
20,A4160,Y18, 07 04 09*,"Spent activated carbon not included on list B (note the related entry on list B, B2060)",H11,42.02,,BE,,R7,Finland,2013
21,,Y21, 16 07 08*,"Dross, scalings and other wastes from the iron and steel industry","H11,H12",241.555,,SE,,R4,Finland,2013
22,A1020,Y22," 10 06 01, 10 06 02, 10 06 04, 10 06 99","Waste having as constituents or contaminants, excluding metal waste in massive form, any of the following: Antimony; antimony compounds, Beryllium; beryllium compounds, Cadmium; cadmium compounds, Lead; lead compounds, Selenium; selenium compounds,Tellurium, tellurium compounds",H11,185.5,NL,BE,,R4,Finland,2013
23,,Y23, 10 02 07*,"Dross, scalings and other wastes from the iron and steel industry","H11,H12",4491.08,TR,BG,,R4,Finland,2013
24,A4100,Y23, 10 02 07*,Wastes from industrial pollution control devices for cleaning of industrial off-gases but excluding such wastes specified on list B,"H11,H12",20722.198,"SE,NL,BE",FR,,R4,Finland,2013
25,A4100,Y23, 10 02 07*,Wastes from industrial pollution control devices for cleaning of industrial off-gases but excluding such wastes specified on list B,"H11,H12",4252.86,,PL,,R4,Finland,2013
