,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_destination,annex_4_a,annex_4_b,country,year
0,Y_,chemicals in gas cylinders,A4010,2,6.1,hazardous gases,0.6079999999999999,,DE,D10,,Austria,2015
1,Y_,leachable metals,A4100,,H13,fly ash,32.96,,DE,,R5,Austria,2015
2,Y_,Mo  Ni  catalysts,A2030,4.1,4.1,spent catalysts,292.86,,DE,,R4,Austria,2015
3,Y_,Li batteries,A1170,9,H13,hazardous batteries,16.88,,DE,D10,,Austria,2015
4,Y_,"Co, Ni",,9,H13,sludge from C/P treatment,1656.773,"DE,PL,SK",FI,,R4,Austria,2015
5,Y_,used electrical equipment,A1180,,H13,WEEEs with hazardous components,65.35,DE,NL,,R12,Austria,2015
6,Y_,Li batteries,A1170,9,H12,hazardous batteries,84.94,DE,FI,,R4,Austria,2015
7,Y_,tin(IV)chloride,A4140,8,H8,hazardous chemicals,0.3,,DE,D10,,Austria,2015
8,Y_,unsorted chemicals,A4140,9,H13,hazardous chemicals,20.0,,SE,D15,,Austria,2015
9,Y_,contaminated wood,,,H11,waste from C&D,17.57,,DE,,R3,Austria,2015
10,Y1,waste from healthcare,A4020,6.2,H6.2,mixed clinical wastes,264.32,,DE,D10,,Austria,2015
11,Y1,unsorted medicines,A4010,9,H12,unsorted medicines,10.24,,CH,,R1,Austria,2015
12,Y1,waste from healthcare,A4020,6.2,H6.2,clinical wastes,7.575999999999999,,DE,,R12,Austria,2015
13,Y2,solvent containing waste,A3140,3,H3,waste from production,740.55,"DE,NL",BE,,R2,Austria,2015
14,Y2,solvent containing waste,A3140,3,H3,waste from production,239.4,,DE,,R2,Austria,2015
15,Y2,solvent containing waste,A4010,3,H3,waste from production,99.8,,DE,,R5,Austria,2015
16,Y2,solvent containing waste,A4010,,H13,waste from production,70.74,,DE,D13,,Austria,2015
17,Y3,unsorted medicines,A4010,4.1,H11,unsorted medicines,21.44,,DE,D10,,Austria,2015
18,Y6,solvent containing waste,A3150,6.1,H11,perchloroethylene,13.806,,DE,,R13,Austria,2015
19,Y6,solvent containing waste,A3140,3,H3,solvent mixtures,179.18,DE,NL,,R2,Austria,2015
20,Y6,solvent containing waste,A3140,8,H13,solvent mixtures,41.098,,DE,,R2,Austria,2015
21,Y6,solvent containing waste,,,H13,break fluid,207.138,,DE,,R12,Austria,2015
22,Y8,waste oil,A3020,9,H12,waste oil,191.38,,HU,,R9,Austria,2015
23,Y8,oily waste,,9,13,waste from craft shops,1048.3,,CH,,R1,Austria,2015
24,Y8,waste oil,A3020,9,H12,waste oil,15895.4,,DE,,R9,Austria,2015
25,Y8,waste oil,A3020,,H13,transformer oil,749.38,,DE,,R9,Austria,2015
26,Y11,creosote containing wood,,,H11,railway sleeper,17207.27,,DE,,R1,Austria,2015
27,Y11,creosote containing wood,,,H11,railway sleeper,101.5,CZ,DE,,R1,Austria,2015
28,Y11,creosote containing wood,,,H11,railway sleeper,148.24,,DE,,R1,Austria,2015
29,Y11,creosote containing wood,,,H11,railway sleeper,5453.04,,DE,,R12,Austria,2015
30,Y11,tar containing waste,A1190,,H11,cable scrap,297.37,,DE,,R4,Austria,2015
