,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_destination,annex_4_a,annex_4_b,country,year
0,Y46,Refuse derived fuel,,,,,30052.83,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2015
1,Y46,Refuse derived fuel,,,,,25764.57,,SE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
2,Y46,Refuse derived fuel,,,,,6266.78,,DK,,R1,United Kingdom of Great Britain and Northern Ireland,2015
3,11B,Discarded electrical and electronic equipment,,,,,781.77,NL,DE,,"R12,R4",United Kingdom of Great Britain and Northern Ireland,2015
4,11B,Mixtures from mechanical treatment of waste,,,"H7,H14",,1113.52,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2015
5,11B,Spent catalysts,,4.2,"H4.2,H12",,870.0,,FR,,"R4,R8",United Kingdom of Great Britain and Northern Ireland,2015
6,Y46,Combustable Waste,,,,,17816.0,,SE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
7,Y46,Combustible Waste,,,,,1624.6,,PT,,R3,United Kingdom of Great Britain and Northern Ireland,2015
8,11B,FES 3000 DPR Silicon Gels,,,H12,,1031.8,,BE,,"R12,R1",United Kingdom of Great Britain and Northern Ireland,2015
9,Y46,Technology employed Furnace Combustion,,,,,2985.9,,PT,,R1,United Kingdom of Great Britain and Northern Ireland,2015
10,Y46,Combined Heat & Power,,,,,7395.1,,SE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
11,Y46,Combustible Waste,,,,,11500.0,,DK,,R1,United Kingdom of Great Britain and Northern Ireland,2015
12,Y31,CRT Dismantling ,,,H13,,2656.8,,NL,,"R12,R5",United Kingdom of Great Britain and Northern Ireland,2015
13,11B,FES 3000 DPR Silicon Gels,,,H12,,2553.3,,DE,,"R12,R1",United Kingdom of Great Britain and Northern Ireland,2015
14,Y46,Waste Wood Chip for Bioenergy based electricity Generation,,,,,27280.2,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2015
15,Y34,Spent Sulphuric Acid (liquid),,,"H3,H6.1,H8",,401.3,,DE,,R6,United Kingdom of Great Britain and Northern Ireland,2015
16,Y34,Incinerable Chlorosilane Waste,,,H4,,74.0,,DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
17,Y46,Refuse Derived Fuel (Furnace Combustion),,,,,13423.4,,DK,,R1,United Kingdom of Great Britain and Northern Ireland,2015
18,Y23,,,,H12,,12172.5,,IT,,R4,United Kingdom of Great Britain and Northern Ireland,2015
19,Y46,Technology Employed ,,,,,10346.0,,DK,,R1,United Kingdom of Great Britain and Northern Ireland,2015
20,Y46,Combusible Waste,,,,,13854.1,,SE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
21,Y46,Waste Wood Chip ,,,,,9516.0,,FI,,R1,United Kingdom of Great Britain and Northern Ireland,2015
22,11B,Copper Rich Silicon,,,H12,,2562.6,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
23,Y31,Chemical Stabilisation and Blending Granular Furnace Slag,,,H6,,1962.1,,NO,,R11,United Kingdom of Great Britain and Northern Ireland,2015
24,11B,"Renewal of GB0004000010, FES 3000 DPR Silcone Gels",,,H12,,137.0,,BE,,"R12,R1",United Kingdom of Great Britain and Northern Ireland,2015
25,Y31,Glass from CRT dismantling,,,H13,,435.5,,NL,,"R12,R5",United Kingdom of Great Britain and Northern Ireland,2015
26,Y_,Solid recovered fuel (SRF),,,,Not applicable,12178.64,,LV,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
27,Y_,A2030 Waste catalysts but excluding such wastes specified on list B ,,4.2,H4.2,Substances or wastes liable to spontaneous combustion,101.68,NL,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2015
28,Y_,A2030 Waste catalysts but excluding such wastes specified on list B ,,9,H13,"Capable, by any means, after disposal, of yielding an material, eg leachate, which possesses any characteristics listed above",18.38,,US,,R8,United Kingdom of Great Britain and Northern Ireland,2015
29,Y_,A2030 Waste catalysts but excluding such wastes specified on list B ,,,"H4.2,H12","Substances or wastes liable to spontaneous combustion
Ecotoxic",316.74,,FR,,"R4,R8",United Kingdom of Great Britain and Northern Ireland,2015
30,Y_,A2030 Waste catalysts but excluding such wastes specified on list B ,,,,Not applicable,80.3,"FR,DE,CH,BE",IT,,R4,United Kingdom of Great Britain and Northern Ireland,2015
31,Y_,A4130 Waste packages and containers containing Annex I substances in concentrations sufficient to exhibit Annex III hazard characteristics ,,9,H12,Ecotoxic,340.58,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2015
32,Y_,A4130 Waste packages and containers containing Annex I substances in concentrations sufficient to exhibit Annex III hazard characteristics ,,9,,,156.21,FR,ES,,R3,United Kingdom of Great Britain and Northern Ireland,2015
33,Y_,"AA010 Dross, scalings and other wastes from the manufacture of iron or steel",,,,Not applicable,12681.44,,IT,,R4,United Kingdom of Great Britain and Northern Ireland,2015
34,Y_,"AA010 Dross, scalings and other wastes from the manufacture of iron or steel",,,,Not applicable,3065.6,,NL,,"R4,R12",United Kingdom of Great Britain and Northern Ireland,2015
35,Y_,B3010 Solid plastic waste: ,,,,Not applicable,43.3,EG,SA,,R5,United Kingdom of Great Britain and Northern Ireland,2015
36,Y_,Biofat composite,,,,Not applicable,1028.24,,NL,,R3,United Kingdom of Great Britain and Northern Ireland,2015
37,Y_,"Dross, scalings and other wastes from the manufacture of iron and steel",,,,Not applicable,74.73,BE,NL,,"R4,R12",United Kingdom of Great Britain and Northern Ireland,2015
38,Y_,"Metal and metal-alloy wastes in metallic, non-dispersable form:",,,,Not applicable,162019.3,,EG,,R4,United Kingdom of Great Britain and Northern Ireland,2015
39,Y_,Non ferrous metal concentrate,,,,Not applicable,109.78,"BE,FR",NL,,"R4,R5,R12",United Kingdom of Great Britain and Northern Ireland,2015
40,Y_,Refuse derived fuel (RDF),,,,Not applicable,16473.11,,DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
41,Y_,Refuse derived fuel (RDF),,,,Not applicable,5820.78,,DK,,R1,United Kingdom of Great Britain and Northern Ireland,2015
42,Y_,Refuse derived fuel (RDF),,,,Not applicable,7700.34,,FR,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
43,Y_,Refuse derived fuel (RDF),,,,Not applicable,147606.0,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2015
44,Y_,Refuse derived fuel (RDF),,,,Not applicable,2343.11,,PT,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
45,Y_,Refuse derived fuel (RDF),,,,Not applicable,27.18,,SE,,R12,United Kingdom of Great Britain and Northern Ireland,2015
46,Y_,Refuse derived fuel (RDF),,,,Not applicable,359.41,BE,DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
47,Y_,Refuse derived fuel (RDF),,,,Not applicable,3814.71,BE,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2015
48,Y_,Refuse derived fuel (RDF),,,,Not applicable,9567.41,"BE,FR",NL,,R1,United Kingdom of Great Britain and Northern Ireland,2015
49,Y_,Refuse derived fuel (RDF),,,,Not applicable,4611.39,"BE,FR,NL",DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
50,Y_,Refuse derived fuel (RDF),,,,Not applicable,3332.64,"BE,NL",DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
51,Y_,Refuse derived fuel (RDF),,,,Not applicable,6244.14,"BE,FR,NL",DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
52,Y_,Refuse derived fuel (RDF),,,,Not applicable,4625.0,DE,DK,,R1,United Kingdom of Great Britain and Northern Ireland,2015
53,Y_,Refuse derived fuel (RDF),,,,Not applicable,20501.96,DE,SE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
54,Y_,Refuse derived fuel (RDF),,,,Not applicable,4461.88,"DK,DE",EE,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
55,Y_,Refuse derived fuel (RDF),,,,Not applicable,750.05,"BE,FR,NL",DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
56,Y_,Refuse derived fuel (RDF),,,,Not applicable,1042.82,"BE,FR,NL",DE,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
57,Y_,Refuse derived fuel (RDF),,,,Not applicable,4814.88,NL,DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
58,Y_,Refuse derived fuel (RDF),,,,Not applicable,5461.95,"BE,NL",DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
59,Y_,Refuse derived fuel (RDF),,,,Not applicable,16671.31,"BE,FR,NL",DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
60,Y_,Refuse derived fuel (RDF),,,,Not applicable,21054.38,"BE,FR,NL",DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
61,Y_,Solid recovered fuel (SRF),,,,Not applicable,464.67,,CY,,R1,United Kingdom of Great Britain and Northern Ireland,2015
62,Y12,"A3050 Wastes from production, formulation and use of resins, latex, plasticisers, glues/adhesives excluding such wastes specified on list B (note the related entry on list B, B4020) ",,4.1,H4.1,Inflammable solids,521.27,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2015
63,Y12,"A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,,"H3,H6.1,H11","Inflammable liquids
Poisonous(acute)
Toxic(delayed or chronic)",670.47,,DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
64,Y12,"A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,3,"H3,H6.1","Inflammable liquids
Poisonous(acute)",453.25,,DE,,R1,United Kingdom of Great Britain and Northern Ireland,2015
65,Y12,"A4070 Wastes from the production, formulation and use of inks, dyes, pigments, paints, lacquers, varnish excluding any such waste specified on list B (note the related entry on list B, B4010) ",,"3,4.1","H3,H4.1","Inflammable liquids
Inflammable solids",413.38,,NL,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2015
