,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A2030,,16 08 02*,spent catalysts,H11,567.639,-,DE,,R4,Austria,2016
1,A2030,,16 08 02*,spent catalysts,H4.2,202.8,-,DE,,R8,Austria,2016
2,,,17 06 03*,mineral fibers,H11,8.28,-,DE,D1,,Austria,2016
3,,,17 02 04*,impregnated wood,H11,734.72,-,DE,,R1,Austria,2016
4,,,17 02 04*,sievings,H13,503.74,-,DE,,R1,Austria,2016
5,,,17 02 04*,impregnated wood,H11,30.0,-,DE,,R13,Austria,2016
6,A4130,,16 05 04*,gases in pressure bottles ,H3,0.397,-,DE,D10,,Austria,2016
7,A1170,,16 06 05,Li-batteries,H12,72.58,DE,FI,,R4,Austria,2016
8,A1170,,16 06 05,Li-batteries,H12,46.71,-,DE,,R4,Austria,2016
9,A2030,,16 08 07*,spent catalysts,H4.2,39.48,-,DE,,R13,Austria,2016
10,A1180,,16 02 13*,WEEEs,H13,97.671,DE,NL,,R4,Austria,2016
11,A2030,,16 08 07*,spent catalysts,H3,4.15,DE,NL,,R4,Austria,2016
12,A4100,,10 01 18*,ash,H13,16.0,-,DE,,R5,Austria,2016
13,A1180,,16 02 13*,WEEEs,H13,0.833,-,CH,,R4,Austria,2016
14,A4020,Y1,18 01 01*,mixed waste from healtcare,H12,18.4,-,CH,D10,,Austria,2016
15,A4020,Y1,18 01 03*,waste from healthcare,H6.2,285.749,-,DE,D10,,Austria,2016
16,A4020,Y1,18 01 03*,waste from healthcare,H6.2,13.537,-,DE,,R12,Austria,2016
17,A3140,Y2,07 05 04*,production waste,H3,46.6,"DE,NL",BE,,R2,Austria,2016
18,A4010,Y2,07 05 04*,production waste,H3,38.27,-,CH,,R2,Austria,2016
19,A2030,Y2,16 08 07*,spent catalysts,H3,76.746,"DE,BE",GB,,R8,Austria,2016
20,A4010,Y2,07 05 01*,production waste,H13,378.5,-,DE,D10,,Austria,2016
21,A4010,Y2,07 05 01*,production waste,H12,929.8,-,DE,D13,,Austria,2016
22,A4010,Y2,07 05 04*,production waste,H3,1200.34,-,DE,D13,,Austria,2016
23,A4010,Y2,07 05 07*,production waste,H3,23.64,-,DE,,R5,Austria,2016
24,A3140,Y2,07 05 04*,production waste,H3,446.25,-,DE,,R2,Austria,2016
25,A3150,Y2,07 05 03*,production waste,H3,4.6,-,DE,,R2,Austria,2016
26,A4010,Y3,18 01 09*,expired medicines,H4.1,17.38,-,DE,D10,,Austria,2016
27,,Y5,17 02 04*,railway sleepers,H11,7823.48,-,DE,,R1,Austria,2016
28,,Y5,17 02 04*,railway sleepers,H11,2979.46,-,DE,,R12,Austria,2016
29,A3140,Y6,14 06 03*,solvents,H8,23.727,-,DE,,R2,Austria,2016
30,A3140,Y6,07 05 04*,solvents,H3,398.64,DE,NL,,R2,Austria,2016
31,A3150,Y6,14 06 02*,solvents,H11,11.06,-,DE,,R13,Austria,2016
32,A3140,Y6,14 06 03*,solvents,H3,22.34,-,DE,,R2,Austria,2016
