,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A4010,Y3,"18 01 09*, 20 01 32*",Pharmaceutical Waste,"H6.1,H11",109.33,"GR,IL,IT",ES,D10,,Cyprus,2016
1,A4010,Y3,"18 01 09*, 20 01 32*",Pharmaceutical Waste,"H6.1,H11",9.13,"IL,IT,NL,ES,GB",DE,D10,,Cyprus,2016
2,A4140,,16 03 05*,Off specification batches and unused products containing hazardous substances.,"H3,H5.1,H6.1,H8,H12",5.01,"IL,IT,NL,ES,GB",DE,D10,,Cyprus,2016
3,A4140,,16 03 05*,Off specification batchesand unused products containing hazardous substances.,H12,14.61,"IL,IT,ES",GB,D10,,Cyprus,2016
4,A1030,Y29,20 01 21*,Crushed Fluorescent Lamps,"H6.1,H8",59.2,"IL,IT,ES",GB,,R4,Cyprus,2016
5,A1160,Y31,16 06 01*,Waste Lead-Acid Batteries,H8,3007.87,,GR,,R4,Cyprus,2016
6,A1160,Y31,16 06 01*,Waste Lead-Acid Batteries,H8,624.95,,IL,,R4,Cyprus,2016
7,A1160,Y31,16 06 01*,Waste Lead-Acid Batteries,H8,92.22,,KR,,R4,Cyprus,2016
8,A4140,"Y34,Y35,Y39,Y40,Y41,Y42","16 05 06*, 16 05 07*, 16 05 08*",Laboratory Chemicals containing Hazardous Substances,"H3,H6.1,H8,H12",41.4,"IL,IT,NL,ES,GB",DE,D10,,Cyprus,2016
9,A4140,"Y13,Y14,Y41,Y42","16 03 05*, 16 05 04*, 16 05 06*, 16 05 07*",Laboratory Wastes and Other Chemicals,"H3,H5.1,H6.1,H8,H12",14.01,"IL,IT,ES",GB,D10,,Cyprus,2016
10,A2050,Y36,"17 06 01*, 17 06 05*",Asbestos Waste,H12,948.75,"IL,IT,ES",GB,D1,,Cyprus,2016
11,A1180,,16 02 13*,Waste Fridges,"H12,H13",376.03,,GR,,R4,Cyprus,2016
12,A1180,,16 02 13*,Waste Fridges,"H12,H13",317.56,GR,BG,,R4,Cyprus,2016
13,A1170,"Y23,Y26,Y28",20 01 33,Unsorted Portable Batteries,H13,99.63,"DK,EG,IE,IL,IT,NL,PT,SE,GB",BE,,R4,Cyprus,2016
14,A1170,Y26,16 06 02*,Ni-Cd Batteries,"H8,H13",11.27,IL,FR,,R4,Cyprus,2016
