,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A3020,Y8,"130205, 130208",Waste oils,,1457.47,,DE,,R9,Czechia,2016
1,A3020,Y8,130205,Waste oils,,4078.47,,DE,,R9,Czechia,2016
2,A3020,Y8,130208,Waste oils,,596.38, ,DE,,R9,Czechia,2016
3,A4090,Y34,060101,Sulphuric acid and sulphurous acid,,140.46, ,DE,,R5,Czechia,2016
4,A1050,Y17,190205,Metal-bearing sludges,,94.919,,DE,,R4,Czechia,2016
5,A1050,Y17,190813,Metal-bearing sludges,,3.465,,DE,,R4,Czechia,2016
6,A1050,Y17,110109,Metal-bearing sludges,,136.902,,DE,,R4,Czechia,2016
7,A1160,"Y31,Y34",160601,Waste lead acid batteries,,809.308,,DE,,"R4,R5",Czechia,2016
8,A1160,Y31,160601,Waste lead acid batteries,,720.38,,DE,,R4,Czechia,2016
9,,Y31,100811ª,Tin dross containing Pb,,61.32,,PL,,R4,Czechia,2016
10,,Y17,120116; AB030,Waste arisen from surface treatment of metals,,4.924,,DE,,R4,Czechia,2016
11,,Y_,120114,Powder and sludge containing dangerous substances,,39.89,,AT,,R4,Czechia,2016
12,A1060,Y35,110107,Pickling bases,,244.82,,DE,,R5,Czechia,2016
13,A1130,Y22,110107,Pickling bases,,63.2,DE,GB,,R4,Czechia,2016
14,,Y_,170204; AC170,Discarded railway sleepers,,7363.02,,DE,,R1,Czechia,2016
15,,Y_,"170204, 191206; AC170",Discarded railway sleepers,,3131.36,,DE,,R1,Czechia,2016
16,A1020,Y31,100402,Lead ashes,,92.9,DE,BE,,R4,Czechia,2016
17,A3140,Y6,140603,Other solvents and solvent mixtures,,30.198,,DE,,R2,Czechia,2016
18,A3140,Y6,080111,Paint and varnish containing organic solvents or other dangerous substances,,105.315,,SK,,R2,Czechia,2016
19,A2030,Y_,160802,Spent catalyst,,163.039,,DE,,R4,Czechia,2016
20,A3140,Y42,150202,"Paper wipes, filter materials and plastic jars containing residues of Ag-paste and/or solvents",,0.921,,DE,,R4,Czechia,2016
21,A4160,Y42,150202,Activated carbon,,11.04,,AT,,R5,Czechia,2016
22,A4160,"Y41,Y42","061302,150202",Activated carbon,,259.78,,AT,,R7,Czechia,2016
23,A4160,Y_,150202,Activated carbon,,517.56,,AT,,R7,Czechia,2016
24,,Y_,140601; AC150,CFCs,,35.212,,DE,,R3,Czechia,2016
25,A1180,Y_,"160214, 160215, 160216, 200135",Discarded electrical equipment and components containing hazardous and non-hazardous parts ,,221.489,,DE,,"R12,R4",Czechia,2016
26,A2010,Y31,160215,Glass waste from CRT and other activated glasses,,1202.9,,DE,,R5,Czechia,2016
27,,Y_,100308,Wastes from aluminium thermal metallurgy,,8897.18,,DE,,R5,Czechia,2016
28,,Y_,"100309, 100315, 101099",Aluminium skimmings,,236.335,,SK,,R4,Czechia,2016
29,,Y32,"100308, 100309, 101099",Salt slags and drosses containing aluminium,,216.685,,SK,,R4,Czechia,2016
30,,Y_,"120103ª, 120199ª","Aluminium waste - spills, filings and turnings contaminated with oil products",,544.817,,SK,,R4,Czechia,2016
31,A1010,Y29,180110,Amalgam waste from dental care,,1.79,DE,AT,,R4,Czechia,2016
32,A1020,Y26,191211,Negative electrodes from NiCd accumulators,,60.0,DE,KR,,R4,Czechia,2016
33,,Y17,160303,Corundum containing silver,,16.085,,DE,,R4,Czechia,2016
34,,Y_,160104,End of life vehicles,,344.99,,DE,,R4,Czechia,2016
35,A3140,Y6,"070104, 070504, 070708, 190208",Non-halogenated organic solvents ,,20.66,,PL,,R2,Czechia,2016
36,A3150,Y6,070503,Halogenated organic solvents ,,240.27,,PL,,R2,Czechia,2016
37,A1170,Y_,160121,Li-Ion batteries ,,1.32,,DE,,R4,Czechia,2016
38,A1060,Y_,110105,Pickling bases,,49.36,,AT,,R4,Czechia,2016
