,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A1160,Y31,,Waste Lead Acid Batteries (WLAB),H11,10000,,KR,,R4,Dominican Republic,2016
1,A1160,Y31,,(WLAB),H11,5000,,KR,,R4,Dominican Republic,2016
2,A1160,Y31,,(WLAB),H11,5000,,KR,,R4,Dominican Republic,2016
3,A1160,Y31,,(WLAB),H11,5000,,KR,,R4,Dominican Republic,2016
4,A1160,Y31,,(WLAB),H11,6000,,KR,,R4,Dominican Republic,2016
5,A1160,Y31,,(WLAB),H11,5000,,KR,,R4,Dominican Republic,2016
6,A1160,Y31,,(WLAB),H11,5000,,KR,,R4,Dominican Republic,2016
7,A1160,Y31,,(WLAB),H11,3000,,KR,,R4,Dominican Republic,2016
8,A1160,Y31,,(WLAB),H11,2000,,KR,,R4,Dominican Republic,2016
9,A1160,Y31,,(WLAB),H11,2000,,KR,,R4,Dominican Republic,2016
10,A1160,Y31,,(WLAB),H11,6000,,KR,,R4,Dominican Republic,2016
11,A1160,Y31,,(WLAB),H11,3000,,KR,,R4,Dominican Republic,2016
12,A1160,Y31,,(WLAB),H11,10000,,KR,,R4,Dominican Republic,2016
13,A1160,Y31,,(WLAB),H11,10000,,KR,,R4,Dominican Republic,2016
14,A1160,Y31,,(WLAB),H11,8000,,KR,,R4,Dominican Republic,2016
15,A1160,Y31,,(WLAB),H11,6000,,KR,,R4,Dominican Republic,2016
16,A1160,Y31,,(WLAB),H11,4500,,KR,,R4,Dominican Republic,2016
17,A1160,Y31,,(WLAB),H11,2400,,KR,,R4,Dominican Republic,2016
18,A1160,Y31,,(WLAB),H11,3000,,KR,,R4,Dominican Republic,2016
19,A1160,Y31,,(WLAB),H11,4800,,KR,,R4,Dominican Republic,2016
