,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A3140,"Y2,Y6,Y9,Y12,Y13,Y42",19 02 08*,Liquid combustible wastes containing dangerous substances,"H3,H6.1,H11",112.123,,IT,,"R12,R2",Malta,2016
1,A1160,"Y31,Y34",16 06 01*,Lead Acid Battries,H11,27.96,ES,BE,,R4,Malta,2016
2,A4010,Y2,"07 05 01*, 07 05 04*, 07 07 04*",LIQUID PHARMACUITICAL WASTE ANS OTHER,"H3,H6.1",33.309,,ES,,R13,Malta,2016
3,A3020,Y8,"15 01 13*, 15 02 02*",Contaminated packaging and rags,H4.1,44.9,,ES,,R13,Malta,2016
4,,"Y3,Y6,Y12,Y13",19 12 11*,Other waste including mixture material from mechanical treatment of waste containing dangerous substances,"H3,H4.1,H6.1,H11",118.54,IT,FR,"D13,D10",,Malta,2016
5,A4070,Y12,"08 01 11*, 08 03 12*, 15 02 02*",Paint waste and contaminated filter,"H3,H12",23.747,,ES,,"R13,R12",Malta,2016
6,A1160,Y31,16 06 01*,LEAD ACID BATTRIES,"H8,H12",39.754,SI,AT,,R4,Malta,2016
7,A4010,,"07 07 04*, 07 05 04*, 14 06 03*",SOLVENT WASTE,H3,51.2,,ES,,R2,Malta,2016
8,,Y8,"16 07 08*,",WASTE CONTAINING OIL/ SLUDGE,H12,77.19,,ES,,"R13,R12,R1",Malta,2016
9,A4110,"Y23,Y31",12 01 06*,WASTE GRIT,H12,2795.0,,PT,D9,,Malta,2016
10,A3140,Y2,"07 05 04*, 07 05 01*, 14 06 03*",LIQUID PHARMACUTICAL WASTE,"H3,H6.1",228.48,,ES,,R2,Malta,2016
11,A4010,Y2,07 05 13*,SOLID PHARMACUTICAL WASTE,"H11,H12",57.733,,ES,D9,,Malta,2016
12,A4110,"Y31,Y43",10 01 18*,FLYS ASH,H12,2285.541,,ES,D9,,Malta,2016
13,A4020,"Y1,Y3",18 01 08*,"CYTOTOXIC, CYTOSTATIC MEDICINES",H6.1,4.92,,ES,D10,,Malta,2016
14,,,19 12 12,RDF,"H3,H4.1,H6.1,H11",588.08,,PT,,"R12,R1",Malta,2016
15,A4070,Y12,18 01 11*,"Paint waste, ink waste and contaminated containers","H3,H12",67.879,,ES,,"R13,R3",Malta,2016
16,A2050,Y36,"17 06 05*, 17 06 01*",CONSTRUCTION AND INSULATION MATERIAL CONTAINING ASBESTOS,H11,220.43,,ES,D5,,Malta,2016
17,A3140,"Y2,Y6,Y9,Y12,Y13,Y42",19 02 08*,Liquid combustible wastes containing dangerous substances,"H3,H6.1,H11",2110.893,,IT,,"R12,R2",Malta,2016
18,,"Y6,Y12",19 12 11*,Other wastes (including mixtures of materials) from mechanical treatment of waste containing dangerous substances,"H3,H4.1,H6.1,H11",439.276,IT,FR,"D13,D10",,Malta,2016
19,A1160,Y31,16 06 01*,Lead Acid Battries,H11,40.808,,ES,,"R4,R5,R6",Malta,2016
20,A1160,Y31,16 06 01*,Lead Acid Battries,H11,268.78,,ES,,R4,Malta,2016
21,A4130,Y18,"15 01 10*, 15 02 02*",CONTAMINATED PACKAGING AND RAGS,H12,77.285,,ES,,"R13,R3",Malta,2016
22,A4010,Y2,"07 07 01*, 07 07 04*, 07 05 04*, 07 05 01*, 16 03 05*, 14 06 03*",LIQUID PHARMACEUTICAL WASTE AND OTHER,"H3,H6.1",218.902,,ES,,"R13,R12,R1",Malta,2016
23,A4140,"Y2,Y42","07 05 04*,",SOLVENT WASTE,"H3,H6.1",214.26,,ES,,R12,Malta,2016
24,A3140,Y2,"07 07 04*, 07 07 03*, 07 05 04*, 07 05 03*, 14 06 03*",LIQUID PHARMATEUTICAL WASTE AND OTHER,"H3,H6.1",186.968,,ES,,R2,Malta,2016
25,,Y45,"20 01 23*, 16 02 11*",Discarded electronic and electric equipment,,175.8,,IT,,R4,Malta,2016
26,A4090,Y34,"06 01 01*, 06 01 02*, 06 01 03*, 06 01 04*, 06 01 05*, 06 01 06*",ACID WASTE,H8,59.46,,ES,"D15,D9",,Malta,2016
27,,Y8,16 07 08*,WASTE CONTAINING OIL/ SLUDGE,H12,89.986,,ES,,"R13,R1",Malta,2016
28,A4110,"Y31,Y43","10 01 18*, 19 01 05*, 19 01 15*, 10 01 04*",FLYS ASH,H12,321.961,,ES,D9,,Malta,2016
29,A4010,,"07 07 04*, 07 05 04*, 14 06 03*",SOLVENT WASTE,H3,16.36,,ES,,R2,Malta,2016
30,A4110,"Y23,Y31",12 01 16*,GRIT WASTE,H12,12.03,,ES,"D9,D5",,Malta,2016
31,A1160,Y31,16 06 01*,Lead Acid Battries,H11,265.81,,ES,,R4,Malta,2016
32,"A1080,A2010",Y_,"16 02 11*, 20 01 23*, 16 02 13*, 20 01 35*","Refrigerators, water heaters",H_,23.3,,IT,,"R4,R13",Malta,2016
33,"A1180,A2010",Y_,"16 02 11*, 20 01 23*, 16 02 13*, 20 01 35*",refrigerators and water heaters,H_,298.43,,IT,,R4,Malta,2016
34,,Y_,20 01 35*,Discarded electronic and electrical equipment,H_,257.96,,IT,,R4,Malta,2016
35,,Y_,19 12 12,RDF,,217.44,NL,PT,,"R1,R12",Malta,2016
36,A2010,Y31,16 02 15*,Cathode ray tubes,H13,90.66,"MA,GB",NL,,"R5,R12",Malta,2016
37,A1160,"Y31,Y34",16 06 01*,Lead acid batteries,H11,620.91,"NL,GB",BE,,R4,Malta,2016
38,,Y_,16 01 04*,Semi sub drilling rig sedneth,,13642.0,,TR,,"R4,R12,R13",Malta,2016
39,,Y_,16 01 04*,Semi sub drilling unit falcon,,13341.0,,TR,,"R4,R12,R13",Malta,2016
40,,Y_,16 01 04*,Sub Drilling GSF Rig,,13642.0,,TR,,"R4,R12,R13",Malta,2016
41,,Y_,16 01 04*,Semi Sub Drilling Tran-ocean,,14058.0,,TR,,"R4,R12,R13",Malta,2016
42,,Y_,16 01 04*,Semi Sub GSF,,15606.0,,TR,,"R4,R12,R13",Malta,2016
43,,Y_,16 01 04*,Semi Sub GSF,,15923.0,,TR,,"R4,R12,R13",Malta,2016
44,,Y_,16 01 04*,Semi Sub Drilling Tran-ocean Sedco,,14364.0,,TR,,"R4,R12,R13",Malta,2016
45,"A1180,A2010",Y_,"16 02 11*, 20 01 23*, 16 02 13*, 20 01 35*",Refrigerators and water heaters,H_,229.07,,IT,,R4,Malta,2016
46,"A1180,A2010",Y_,"16 02 11*, 20 01 23*, 16 02 13*, 20 01 35*","Refrigerators, water heaters",H_,15.2,,IT,,R4,Malta,2016
