,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A3150,Y6,Y6,Solvent Waste,H3,3000.0,,ZA,,R1,Mozambique,2016
1,A4060,Y8,Y8,Used Oil,H3,2400.0,,ZA,,R9,Mozambique,2016
2,A4060,Y9,Y9,"Oil rags/oil filters, oil contaminated waste",H4.2,1200.0,,ZA,D1,,Mozambique,2016
3,A3190,Y11,Y11,"Drill Mud, Drill Cutting",H11,2400.0,,ZA,D1,,Mozambique,2016
4,,Y13,Y13,Redundant Chemicals,H6.1,1000.0,,ZA,D1,,Mozambique,2016
5,A2060,Y17,Y17,"Spent Port Liner (SPL) including carbon, refractory and silicon carbide SPL",H13,25000.0,,ZA,,R4,Mozambique,2016
6,A1170,Y18,Y18,Spent Li-oon Batteries,H8,2624.0,,ZA,,R4,Mozambique,2016
7,A1160,Y31,Y31,Lead Acid batteries ,H8,240.0,,ZA,,R4,Mozambique,2016
8,A4090,Y34,Y34,Acid Waste,H8,1500.0,,ZA,,R6,Mozambique,2016
9,A2050,Y36,Y36,Asbestos waste,H11,2400.0,,ZA,,,Mozambique,2016
10,A4020,Y39,Y39,Guanidine Thiocianate,H6.1,2.0,,ZA,D10,,Mozambique,2016
11,B3020,Y_,Y46, Paperboard waste,,1600.0,,ZA,,R3,Mozambique,2016
12,B3010,Y_,Y46,Polyethilene Terephthalate (PET),,30.0,,ZA,,R3,Mozambique,2016
13,B1100,,B1100,Aluminium furnace slag,H11,600.0,,ZA,,R4,Mozambique,2016
