,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A2030,,160802*,Spent catalysts,"H4.2,H11",2503.2,CZ,AT,,R4,Poland,2016
1,A1060,"Y17,Y23",110105*,,H8,132.78,,CZ,,R4,Poland,2016
2,Y47,,190107*,Solid wastes from gas treatment,H12,5338.38,,DE,,R5,Poland,2016
3,A1050,Y17,"110109*,190813*,190205*",,"H11,H12",59.256,,DE,,R4,Poland,2016
4,A1160,"Y31,Y34",160601*,,H8,350.219,,DE,,R4,Poland,2016
5,,Y18,100308*,Salt slags from secondary production,H4.3,73.72,,DE,,R5,Poland,2016
6,A3020,Y8,"130205*,130206*,130208*,130110*",,H12,1325.24,,DE,,R9,Poland,2016
7,A1030,Y29,170903*,,H8,76.16,,DE,D12,,Poland,2016
8,,Y8,170204*,Wooden sleepers,H12,235.74,DE,GB,,R3,Poland,2016
9,A2030,,"160801[PL],160807*[IT]",Spent catalysts car,,73.6795,"DE,AT",IT,,R4,Poland,2016
10,A2030,,"160801[PL],160807*[IT]",Spent catalysts car,,45.82,"DE,AT",IT,,R4,Poland,2016
11,A4070,Y12,080111*,,"H3,H4.1,H12",0.23,DE,NL,,R4,Poland,2016
12,A3130,Y12,150110*,,"H3,H4.1,H12",0.52,DE,NL,,R4,Poland,2016
13,A4070,Y12,150202*,,"H4.1,H12",2.06,DE,NL,,R4,Poland,2016
14,A2030,,160807*,Spent catalysts contaminated with dangerous substances,H4.1,63.887,"DE,GB",US,,R8,Poland,2016
15,A2030,,160802*,Spent catalysts,"H4.2,H11,H13",265.385,CZ,AT,,R4,Poland,2016
16,A1020,"Y26,Y31",100815*,,H12,30.959,DE,BE,,R4,Poland,2016
17,A1070,Y23,110202*,,H12,69.82,DE,BE,,R4,Poland,2016
18,A1020,,100402*,lead dross,,14.744,DE,BE,,R4,Poland,2016
19,A1130,Y17,110107*,,H6.1,91.971,DE,BE,,R6,Poland,2016
20,A1060,"Y17,Y23",110105*,,H8,257.65,,CZ,,R4,Poland,2016
21,,Y18,100308*,Salt slags from secondary production,H4.3,1863.06,,DE,,R5,Poland,2016
22,A2030,,160802*,Spent catalysts,"H4.2,H11",43.26,,DE,,R4,Poland,2016
23,,Y18,100308*,Salt slags from secondary production,H12,326.52,,DE,,R5,Poland,2016
24,,Y5,170204*,Wooden sleepers,H12,2615.14,DE,GB,,R3,Poland,2016
25,A2030,,"160801[PL],160807*[IT]","Spent catalysts car containing palladium, platinum, rhodium",,2.7037,"DE,AT",IT,,R4,Poland,2016
26,A2030,,"160801[PL],160807*[IT]","Spent catalysts car containing palladium, platinum, rhodium",,58.8405,"DE,AT",IT,,R4,Poland,2016
27,A2030,,"160801[PL],160807*[IT]","Spent catalysts car containing palladium, platinum, rhodium",,121.1008,"DE,AT",IT,,R4,Poland,2016
28,A4130,Y12,150110*,,"H3,H4.1,H12",0.33,DE,NL,,R4,Poland,2016
29,A4070,Y12,150202*,,"H4.1,H12",0.69,DE,NL,,R4,Poland,2016
30,A4070,Y12,080111*,,"H3,H4.1,H12",0.54,DE,NL,,R4,Poland,2016
31,A1160,"Y31,Y34",160601*,,"H8,H12",61.226,"CZ,SK,HU",SI,,R4,Poland,2016
32,A2030,,160807*,Spent catalysts contaminated with dangerous substances,H11,73.538,"DE,GB",US,,R8,Poland,2016
33,A2030,,160802*,Spent catalysts,"H4.2,H11",3131.374,CZ,AT,,R4,Poland,2016
34,A1050,Y17,110109*,,H12,84.863,,DE,,R4,Poland,2016
35,A3020,Y8,"130205*,130208*",,H12,2699.02,,DE,,R9,Poland,2016
36,A1050,Y17,110109*,,H12,324.77,,DE,,R4,Poland,2016
37,A3020,Y8,"130205*,130208*",,H12,47.3,,DE,,R9,Poland,2016
38,A3020,Y8,130208*,,H12,783.8,,DE,,R9,Poland,2016
39,A3020,Y8,"131208*,130206*,130205*,130110*",,H12,6241.46,,DE,,R9,Poland,2016
40,A1050,Y17,190813*,,"H11,H12",20.2,,DE,,R4,Poland,2016
41,A1030,Y29,170903*,,H6.1,10.08,,DE,D12,,Poland,2016
42,A4140,"Y29,Y33,Y34,Y35",160506*,,"H6.1,H8",10.34,,DE,,R5,Poland,2016
43,A1050,Y17,110109*,,H12,69.68,,DE,,R4,Poland,2016
44,A1160,"Y31,Y34",160601*,,H8,400.492,,DE,,R4,Poland,2016
45,A1050,Y17,190205*,,H12,42.836,,DE,,R4,Poland,2016
46,A1050,Y17,110109*,,H12,96.17,,DE,,R4,Poland,2016
