,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A1050,Y17,11 01 09,,H12,3.245,,DE,,R4,Slovakia,2016
1,A1050,Y17,11 01 09,,H12,18.0,,ES,,R4,Slovakia,2016
2,A1050,Y17,11 01 09,,H11,0.8,,DE,,R4,Slovakia,2016
3,A1050,Y17,11 01 09,,"H11,H12",108.8,,DE,,R4,Slovakia,2016
4,A1060,Y35,06 02 04,,H8,306.82,,DE,,R5,Slovakia,2016
5,A1060,Y17,11 01 05,,H8,4489.67,,PL,,R5,Slovakia,2016
6,A1030,Y24,06 04 03,,"H6.1,H12",10.8,,CZ,,R5,Slovakia,2016
7,A1030,Y24,06 04 03,,"H6.1,H10,H12",95.96,,DE,D12,,Slovakia,2016
8,A1030,Y29,18 01 10,,"H6.1,H11,H12",0.32,,CZ,,R4,Slovakia,2016
9,A1050,Y17,19 02 05,,H12,42.489,,DE,,R4,Slovakia,2016
10,A1100,Y23,10 06 03,,"H6.1,H12",494.91,,BE,,R4,Slovakia,2016
11,A1100,Y23,10 06 03,,"H6.1,H12",89.968,,BE,,R4,Slovakia,2016
12,A1100,Y23,10 06 03,,"H6.1,H12",725.622,,NL,,"R4,R13",Slovakia,2016
13,A1130,Y22,11 01 07,,"H6.1,H12",17.73,,GB,,R4,Slovakia,2016
14,A1130,Y17,11 01 07,,"H6.1,H12",17.5,,DE,,"R4,R13",Slovakia,2016
15,A1160,Y31,16 06 01,,"H8,H12",431.863,,PL,,"R3,R4,R6",Slovakia,2016
16,A1160,"Y31,Y34",16 06 01,,"H8,H12",139.11,,LT,,"R3,R5,R12",Slovakia,2016
17,A1160,Y34,16 06 01,,"H8,H12",509.335,,LT,,"R3,R5,R12",Slovakia,2016
18,"A1180,Y46",,"16 02 13,20 01 35",,H12,231.311,,CZ,,"R3,R4,R12",Slovakia,2016
19,A1180,Y45,"16 02 11,20 01 23",,H12,674.54,,CZ,,"R3,R4",Slovakia,2016
20,A2030,,16 08 02,,H6.1,3127.886,,AT,,R8,Slovakia,2016
21,A3020,Y8,19 02 07,,H12,51.05,,AT,,R1,Slovakia,2016
22,A3020,Y8,"13 01 10,13 02 05,13 02 06,13 02 08,13 03 07",,H12,765.35,,DE,,R9,Slovakia,2016
23,A3140,"Y12,Y42",07 01 04,,"H3,H12",104.35,,CZ,,R1,Slovakia,2016
24,A3140,Y42,14 06 03,,"H3,H4.2,H12",52.239,,HU,,R2,Slovakia,2016
25,A3140,Y6,14 06 03,,H3,74.206,,NL,,R2,Slovakia,2016
26,A4090,Y34,11 01 05,,"H8,H12",50.36,,CZ,,R5,Slovakia,2016
27,,Y17,16 05 07,,"H6.1,H11,H12",6.505,,DE,,R4,Slovakia,2016
28,,Y9,10 01 18 (AA060),,H12,154.793,,DE,,R4,Slovakia,2016
29,,Y17,12 01 18 (AB030),,H4.2,19.64,,DE,,R4,Slovakia,2016
30,,Y45,"16 02 11,20 01 23 (AC150)",,H12,47.36,,PL,,"R1,R3,R4,R5,R9,R12",Slovakia,2016
31,,Y18,"03 01 05,15 01 03,17 02 01,19 12 07,20 01 38 (AC170)",,,464.14,,AT,,R3,Slovakia,2016
32,Y46,,"03 01 05,15 01 03,17 02 01,19 12 07,20 01 38 (AC170)",,,121.48,,CZ,,R3,Slovakia,2016
33,Y46,Y18,19 12 10,,,150.6,,CZ,,R1,Slovakia,2016
