,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A3120,,19 10 04,fluff light fraction,,5466.68,,AT,,"R3,R4",Slovenia,2016
1,A4070,,08 03 07,water sludges containing printing inks,,42.4,,AT,,"R13,R1",Slovenia,2016
2,,,17 02 04,waste railway sleepers,"H1,H3",1869.16,,AT,,R1,Slovenia,2016
3,A4020,Y1,18 01 08,"Clinical wastes from medical care in hospitals, medical centres and clinics","H6.1,H6.2,H10",9.3817,,IT,,R1,Slovenia,2016
4,A4020,Y1,18 01 03,"Clinical wastes from medical care in hospitals, medical centres and clinics",H6.2,380.8023,,IT,,R1,Slovenia,2016
5,,"Y2,Y18",19 02 04,Wastes from the production and preparation of pharmaceutical products + Resudues arising from industrial waste disposal operations,"H3,H4.1,H4.2",221.1,,AT,D10,,Slovenia,2016
6,,"Y2,Y18",19 02 04,Wastes from the production and preparation of pharmaceutical products + Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",359.0,,AT,D10,,Slovenia,2016
7,A3150,"Y2,Y41",07 05 03,Wastes from the production and preparation of pharmaceutical products + Halogenated organic solvents,"H3,H6.1,H11",217.2,AT,DE,,R2,Slovenia,2016
8,A3140,"Y2,Y42",07 05 04,Wastes from the production and preparation of pharmaceutical products + Organic solvents excluding halogenated solvents,"H3,H6.1,H12",750.06,,AT,,"R13,R1",Slovenia,2016
9,A3020,Y8,13 02 05,Waste mineral oils unfit for their originally intended use,H12,25.64,,AT,,R1,Slovenia,2016
10,A3020,Y8,13 02 05,Waste mineral oils unfit for their originally intended use,H12,49.42,"HU,RO",BG,,R9,Slovenia,2016
11,A3020,Y8,13 02 05,Waste mineral oils unfit for their originally intended use,"H12,H13",47.82,,AT,,R1,Slovenia,2016
12,A3020,Y8,13 02 05,Waste mineral oils unfit for their originally intended use,"H12,H13",880.34,,AT,,"R13,R1",Slovenia,2016
13,A3020,"Y8,Y18",19 02 07,Waste mineral oils unfit for their originally intended use + Resudues arising from industrial waste disposal operations,"H12,H13",683.72,,AT,,"R13,R1",Slovenia,2016
14,A3020,"Y8,Y18",19 02 07,Waste mineral oils unfit for their originally intended use + Resudues arising from industrial waste disposal operations,"H12,H13",25.68,,AT,,R1,Slovenia,2016
15,,"Y8,Y18",19 02 04,Waste mineral oils unfit for their originally intended use + Resudues arising from industrial waste disposal operations,"H4.1,H12,H11",104.16,,AT,D10,,Slovenia,2016
16,,"Y8,Y18",19 02 04,Waste mineral oils unfit for their originally intended use + Resudues arising from industrial waste disposal operations,"H4.1,H12,H13",220.76,,AT,D10,,Slovenia,2016
17,A4060,"Y8,Y9",13 04 03,"Waste mineral oils unfit for their originally intended use + Waste oils/water, hydrocarbons/water mixtures, emulsions","H11,H13",233.4,,AT,D10,,Slovenia,2016
18,A4060,"Y8,Y9",13 04 03,"Waste mineral oils unfit for their originally intended use + Waste oils/water, hydrocarbons/water mixtures, emulsions",H13,45.6,,AT,"D15,D9",,Slovenia,2016
19,A4060,"Y9,Y17",12 01 09,"Waste oils/water, hydrocarbons/water mixtures, emulsions + Wastes resulting from surface treatment of metals and plastics",H13,344.51,,AT,,R3,Slovenia,2016
20,,"Y9,Y18",19 02 04,"Waste oils/water, hydrocarbons/water mixtures, emulsions + Resudues arising from industrial waste disposal operations","H11,H12,H13",73.87,,AT,D9,,Slovenia,2016
21,,"Y9,Y18",19 02 04,"Waste oils/water, hydrocarbons/water mixtures, emulsions + Resudues arising from industrial waste disposal operations","H11,H13",36.76,,AT,D9,,Slovenia,2016
22,A1180,"Y9,Y45",20 01 23,"Waste oils/water, hydrocarbons/water mixtures, emulsions + Organohalogen compounds other than substances referred to this Annex (eg. Y39, Y41, Y42, Y43, Y44)",H13,218.78,,AT,,"R3,R4",Slovenia,2016
23,A3180,Y10,16 02 09,Waste substancesand articles containig or contaminated with PCBs and/or PCTs and/or PBBs,H12,5.8,,AT,D10,,Slovenia,2016
24,A3140,"Y12,Y18",19 02 04,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Resudues arising from industrial waste disposal operations","H3,H12,H13",614.78,,AT,D10,,Slovenia,2016
25,,"Y12,Y18",19 02 04,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Resudues arising from industrial waste disposal operations","H4.1,H12,H13",1826.34,AT,DE,D10,,Slovenia,2016
26,,"Y12,Y18",19 02 04,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Resudues arising from industrial waste disposal operations","H4.1,H13",144.52,AT,DE,D10,,Slovenia,2016
27,A3140,"Y12,Y42",19 02 04,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Organic solvents excluding halogenated solvents","H3,H12",102.22,,AT,,R5,Slovenia,2016
28,A4070,"Y12,Y42",07 03 04,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Organic solvents excluding halogenated solvents","H3,H12",178.52,IT,FR,D10,,Slovenia,2016
29,A4070,"Y12,Y42",07 03 04,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Organic solvents excluding halogenated solvents","H3,H12,H13",1051.14,AT,DE,D10,,Slovenia,2016
30,A1050,Y17,19 02 05,Wastes resulting from surface treatment of metals and plastics,H11,62.155,AT,DE,,R4,Slovenia,2016
31,A1050,Y17,11 01 09,Wastes resulting from surface treatment of metals and plastics,H13,300.0,,AT,"D15,D14",,Slovenia,2016
32,A1050,Y17,11 01 09,Wastes resulting from surface treatment of metals and plastics,"H8,H11,H12",7.329,AT,DE,,R4,Slovenia,2016
33,A1050,Y17,19 02 05,Wastes resulting from surface treatment of metals and plastics,"H10,H12",123.958,AT,DE,,R4,Slovenia,2016
34,A1050,Y17,11 01 09,Wastes resulting from surface treatment of metals and plastics,"H11,H12",11.954,AT,DE,,R4,Slovenia,2016
35,A1050,Y17,19 02 05,Wastes resulting from surface treatment of metals and plastics,"H11,H12",16.88,AT,DE,,R4,Slovenia,2016
36,A1050,Y17,19 02 05,Wastes resulting from surface treatment of metals and plastics,H12,311.605,AT,DE,,R4,Slovenia,2016
37,A1060,Y17,11 01 05,Wastes resulting from surface treatment of metals and plastics,H8,499.66,,AT,,R4,Slovenia,2016
38,,Y17,19 12 11,Wastes resulting from treatment  plastics,"H11,H12",165.02,AT,DE,,R4,Slovenia,2016
39,A4140,"Y17,Y22",16 05 06,Wastes resulting from surface treatment of metals and plastics + Copper compounds,"H4.1,H5.1,H6.1",5.56,AT,DE,D10,,Slovenia,2016
40,A1020,Y18,19 02 05,Resudues arising from industrial waste disposal operations,H13,1785.0,,AT,D9,,Slovenia,2016
41,A4100,Y18,19 01 07,Resudues arising from industrial waste disposal operations,H13,793.2,,AT,D9,,Slovenia,2016
42,,Y18,19 02 04,Resudues arising from industrial waste disposal operations,H13,50.6,,AT,,R1,Slovenia,2016
43,,Y18,19 02 04,Resudues arising from industrial waste disposal operations,H13,281.42,,AT,,R11,Slovenia,2016
44,,Y18,19 03 04,Resudues arising from industrial waste disposal operations,H13,1508.82,,AT,D10,,Slovenia,2016
45,,Y18,19 02 04,Resudues arising from industrial waste disposal operations,"H4.1,H12",497.51,,AT,,R11,Slovenia,2016
46,,Y18,19 02 09,Resudues arising from industrial waste disposal operations,"H4.1,H12",320.22,,AT,D10,,Slovenia,2016
47,,Y18,19 02 09,Resudues arising from industrial waste disposal operations,"H4.1,H12",570.81,,AT,"D15,D10",,Slovenia,2016
48,,Y18,19 03 04,Resudues arising from industrial waste disposal operations,H13,609.48,,AT,D10,,Slovenia,2016
49,,Y18,19 02 04,Resudues arising from industrial waste disposal operations,"H4.1,H12,H13",1190.76,,AT,D10,,Slovenia,2016
50,,Y18,17 05 03,Resudues arising from industrial waste disposal operations,"H11,H12",408.66,,AT,D8,,Slovenia,2016
51,,Y18,19 02 04,Resudues arising from industrial waste disposal operations,"H11,H12,H13",1857.02,,AT,D10,,Slovenia,2016
52,,Y18,19 02 04,Resudues arising from industrial waste disposal operations,"H12,H13",2077.04,,AT,D10,,Slovenia,2016
53,,Y18,16 10 02,Resudues arising from industrial waste disposal operations,H13,1137.98,,AT,,"R3,R5",Slovenia,2016
54,,Y18,16 10 01,Resudues arising from industrial waste disposal operations,H8,730.53,,AT,D9,,Slovenia,2016
55,,"Y18,Y23",19 02 04,Resudues arising from industrial waste disposal operations + Zinc compounds,"H4.1,H11,H12",660.32,AT,DE,D10,,Slovenia,2016
56,,"Y18,Y23",19 02 04,Resudues arising from industrial waste disposal operations + Zinc compounds,"H4.1,H11,H12",1198.28,AT,DE,D10,,Slovenia,2016
57,A1020,"Y18,Y31",19 12 11,Resudues arising from industrial waste disposal operations + Lead; lead compounds,"H12,H13",483.32,AT,DE,,R4,Slovenia,2016
58,A1020,"Y18,Y31",19 12 11,Resudues arising from industrial waste disposal operations + Lead; lead compounds,"H6.1,H11,H13",927.98,,AT,D10,,Slovenia,2016
59,A1020,"Y18,Y31",19 12 11,Resudues arising from industrial waste disposal operations + Lead; lead compounds,"H6.1,H11,H13",747.96,,AT,D10,,Slovenia,2016
60,,"Y18,Y31",19 02 04,Resudues arising from industrial waste disposal operations + Lead; lead compounds,"H4.1,H11,H13",96.16,AT,DE,D10,,Slovenia,2016
61,A3150,"Y18,Y41",19 02 08,Resudues arising from industrial waste disposal operations + Halogenated organic solvents,"H3,H6.1,H8",2076.56,,AT,D10,,Slovenia,2016
62,A3150,"Y18,Y41",19 02 08,Resudues arising from industrial waste disposal operations + Halogenated organic solvents,"H3,H6.1,H12",3634.3,,AT,D10,,Slovenia,2016
