,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,Y46,,20 03 01,municipal waste,,2923.8,-,DE,,R1,Azerbaijan,2017
1,A1180,"Y18,Y31",20 01 35,WEEEs,H13,440.8,-,DE,,R3,Azerbaijan,2017
2,Y46,,20 01 99,biodgradable waste from households,,7693.0,-,DE,,R3,Azerbaijan,2017
3,Y46,,20 03 01,municipal waste,,4913.0,-,DE,,R3,Azerbaijan,2017
4,A3120,"Y18,Y31",19 10 03,FLUFF,H12,1618.0,-,DE,,R3,Azerbaijan,2017
5,A1180,Y31,20 01 35,WEEEs,"H12,H13",190.7,-,DE,,R4,Azerbaijan,2017
6,A1160,"Y31,Y34",16 06 01,lead acid batteries,"H8,H11,H12",538.8,-,DE,,R4,Azerbaijan,2017
7,,Y17,16 03 03,production residues,"H11,H12",36.7,-,DE,,R4,Azerbaijan,2017
8,A1060,"Y17,Y34",11 01 05,etching solutions,"H8,H12,H13",427.0,-,DE,,R4,Azerbaijan,2017
9,,"Y18,Y31",19 02 05,sludge from C/P-treatment,"H11,H12",10.7,-,DE,,R4,Azerbaijan,2017
10,A1190,Y11,17 04 10,tar containing cables,H11,136.2,-,DE,,R4,Azerbaijan,2017
11,,"Y18,Y31",10 08 10,dross,H4.1,67.1,-,DE,,R4,Azerbaijan,2017
12,A1180,Y45,16 02 11,CFC containing equipment,H12,1058.8,-,DE,,R4,Azerbaijan,2017
13,A1180,"Y18,Y31",16 02 13,WEEEs,H12,16779.6,-,DE,,R4,Azerbaijan,2017
14,,Y17,12 01 14,sludge,H12,10.0,-,DE,,R4,Azerbaijan,2017
15,,Y17,12 01 18,sludge,"H11,H12",327.9,-,DE,,R4,Azerbaijan,2017
16,,Y17,12 01 21,sludge,"H11,H12",554.6,-,DE,,R4,Azerbaijan,2017
17,A1060,Y34,11 01 05,etching solutions,"H8,H12",103.2,-,DE,,R5,Azerbaijan,2017
18,A4160,Y41,15 02 02,activated carbon,H11,725.0,-,DE,,R7,Azerbaijan,2017
19,Y46,,20 03 01,municipal waste,,2282.0,-,DE,,R12,Azerbaijan,2017
20,Y47,,19 12 03 ,scrap frm MSW incineration,,188.7,-,DE,,R12,Azerbaijan,2017
21,,Y11,17 02 04,impregnated wood,"H11,H12",147.0,-,DE,,R12,Azerbaijan,2017
22,A4060,Y9,19 02 07,oil-water mixtures,"H12,H13",22.3,-,DE,,R12,Azerbaijan,2017
23,,Y18,17 05 03,contaminated soil ,H11,1484.0,-,SI,D8,,Azerbaijan,2017
24,,,16 11 01,furnace lining,H12,74.0,-,SI,D9,,Azerbaijan,2017
25,,,16 10 02,rinsing water,H13,724.5,-,SI,D9,,Azerbaijan,2017
26,A4060,"Y9,Y18",19 02 04,pre-mixed wastes,"H12,H13",292.5,-,SI,D9,,Azerbaijan,2017
27,,Y18,19 03 04,pre-mixed wastes,"H11,H12,H13",2730.9,-,SI,D9,,Azerbaijan,2017
28,A4100,Y23,10 02 07,steelmill dust,"H11,H12",371.3,-,SI,D9,,Azerbaijan,2017
29,,Y18,19 02 05,sludge from CP-treatment,"H11,H12",785.7,-,SI,D9,,Azerbaijan,2017
30,A4100,Y18,19 01 07,fly ash,"H11,H13",1038.5,-,SI,D9,,Azerbaijan,2017
31,A3150,Y18,19 13 03,residues from clean-up procedures,"H11,H13",39.7,-,SI,D10,,Azerbaijan,2017
32,A3050,Y13,08 05 01,isocyanates,H6.1,49.7,-,SI,D10,,Azerbaijan,2017
33,A4060,Y8,13 04 03,oil-water mixtures,"H12,H13",23.0,-,SI,D10,,Azerbaijan,2017
34,A3140,Y18,19 02 04,premixed solvents,"H3,H13",2778.4,-,SI,D10,,Azerbaijan,2017
35,,Y18,19 02 04,premixed waste,"H4.1,H11,H12,H13",4421.3,-,SI,D10,,Azerbaijan,2017
