,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,,Y_,,Flammable Gases in contact with wate,H4.3,9.56821,,US      ,,R4,China,2017
1,A4140,Y_,,Oxidizing,H5.1,1066.51917,,US      ,D9,,China,2017
2,,Y_,,Miscellaneous waste dangerous,H_,7.277,,US      ,,R1,China,2017
3,A1170,Y_,,Flammable Gases in contact with wate,H4.3,0.153,,US      ,,R4,China,2017
4,,Y_,,Ecotoxic,H12,10.041,,US      ,,R4,China,2017
5,,Y_,,Ecotoxic,H12,28.913,,US      ,D9,,China,2017
6,,Y_,,Ecotoxic,H12,275.853,,US      ,D10,,China,2017
7,A1170,Y_,,Miscellaneous waste dangerous,H_,623.32196,,US      ,,R4,China,2017
8,A1170,Y_,,Miscellaneous waste dangerous,H_,6.803,DE,RU      ,,R4,China,2017
9,A1170,Y_,,Miscellaneous waste dangerous,H_,8.307,US,AE      ,,R4,China,2017
10,A1170,Y_,,Miscellaneous waste dangerous,H_,4.64824,,VE      ,,R4,China,2017
11,A1170,Y_,,Miscellaneous waste dangerous,H_,97.00299,,US      ,,R13,China,2017
12,A1170,Y_,,Ecotoxic,H12,55.167,,US      ,,R13,China,2017
13,A1170,Y_,,Miscellaneous waste dangerous,H_,145.48201,,US      ,D9,,China,2017
14,A1180,Y_,,Miscellaneous waste dangerous,H_,0.341,US,AE      ,,R4,China,2017
15,A1180,Y_,,Miscellaneous waste dangerous,H_,14.678,,US      ,,R4,China,2017
16,A4140,Y_,,Oxidizing,H5.1,2.525,,US      ,D9,,China,2017
17,,Y_,,Oxidizing,H5.1,0.893,,US      ,D9,,China,2017
18,A4010,Y2,Wastes from the production and preparation of pharmaceutical products,Flammable Liquids,H3,0.364,,US      ,,R2,China,2017
19,A4030,Y4,"Wastes from the production, formulation, and use of biocides and phytopharmaceuticals",Toxic (Poisonous),H6.1,23.73,,US      ,D13,,China,2017
20,A4030,Y4,"Wastes from the production, formulation, and use of biocides and phytopharmaceuticals",Ecotoxic,H12,6281.57471,,US      ,D10,,China,2017
21,A4030,Y4,"Wastes from the production, formulation, and use of biocides and phytopharmaceuticals",Ecotoxic,H12,19.861,,US      ,D9,,China,2017
22,A4040,Y4,"Wastes from the production, formulation, and use of biocides and phytopharmaceuticals",Toxic (Poisonous),H6.1,5.495,,US      ,D13,,China,2017
23,A4030,Y4,"Wastes from the production, formulation, and use of biocides and phytopharmaceuticals",Ecotoxic,H12,713.7099,,US      ,D5,,China,2017
24,A4030,Y4,"Wastes from the production, formulation, and use of biocides and phytopharmaceuticals",Toxic (Poisonous),H6.1,69.478,,US      ,D5,,China,2017
25,A4030,Y4,"Wastes from the production, formulation, and use of biocides and phytopharmaceuticals",Leachate,H13,3.32,,US      ,D5,,China,2017
26,A4040,Y5,Wastes from the manufacture and use of wood-preserving chemicals,Toxic (Poisonous),H6.1,85.356,,US      ,D13,,China,2017
27,A3150,Y6,Wastes from the production and use of organic solvents,Toxic (Poisonous),H6.1,508.48511,,US      ,,R2,China,2017
28,A3140,Y6,Wastes from the production and use of organic solvents,Flammable Liquids,H3,1.819,,US      ,,R2,China,2017
29,A3140,Y6,Wastes from the production and use of organic solvents,Flammable Liquids,H3,46.951,,US      ,,R_,China,2017
30,A3140,Y6,Wastes from the production and use of organic solvents,Flammable Liquids,H3,93.16493,,US      ,D13,,China,2017
31,A4060,Y9,Waste oil;  water,Ecotoxic,H12,5716.038,,US      ,,R11,China,2017
32,,Y9,(AC060) Waste oil;  water,Ecotoxic,H12,82756.255,,US      ,,R9,China,2017
33,A3190,Y11,"Waste tarry residues arising from refining, distillation, and any pyrolytic treatment",Ecotoxic,H12,261.86899,,US      ,D10,,China,2017
34,A3190,Y11,"Waste tarry residues arising from refining, distillation, and any pyrolytic treatment",Ecotoxic,H12,115.692,,US      ,D5,,China,2017
35,A3190,Y11,"Waste tarry residues arising from refining, distillation, and any pyrolytic treatment",Leachate,H13,507.39502,,US      ,D5,,China,2017
36,A3190,Y11,"Waste tarry residues arising from refining, distillation, and any pyrolytic treatment",Ecotoxic,H12,279.73999,,US      ,D8,,China,2017
37,A4070,Y12,"Wastes from production, formulation, and use of inks, dyes, pigments, paints, lacquers, and varnishes",Flammable Liquids,H3,79.248,MX,UY      ,D9,,China,2017
38,A3050,Y13,"Wastes from production, formulation, and use of resins, latex, plasticizers, and glues/adhesives",Toxic (Poisonous),H6.1,176.08601,,US      ,D13,,China,2017
39,,Y16,"(AD090)  Wastes from the production, formulation, and use of photographic chemicals and processing materials",Leachate,H13,47.042,,US      ,,R4,China,2017
40,A1050,Y17,Wastes resulting from the surface treatment of metals and plastics,Ecotoxic,H12,32.62,,US      ,D9,,China,2017
41,A4050,Y17,Wastes resulting from the surface treatment of metals and plastics,Toxic (Poisonous),H6.1,54.038,,US      ,D9,,China,2017
42,A4090,Y17,Wastes resulting from the surface treatment of metals and plastics,Corrosive,H8,67.47199,,US      ,D9,,China,2017
