,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,,Y12,08 01 11*,,H4.1,1.87,"AT,DE",NL,,R4,Hungary,2017
1,,Y23,10 02 07*, ,H13,3122.46,SK,PL,,R4,Hungary,2017
2,,Y45,10 03 08*, ,H10,5982.72,"SK,CZ",DE,,R5,Hungary,2017
3,,Y31,10 04 01*,,H6.1,8.43,SK,PL,,R4,Hungary,2017
4,,Y31,10 04 02*,,H13,35.827,"AT,DE",NL,,"R13,R4",Hungary,2017
5,,Y31,10 04 02*,,H12,46.3,"AT,DE",NL,,R4,Hungary,2017
6,,Y17,11 01 05*,,H8,377.26,-,AT,D9,,Hungary,2017
7,,Y17,11 01 09*,,"H11,H12",94.399,"SK,CZ",DE,,R4,Hungary,2017
8,,Y12,15 01 10*,,H4.1,1.398,AT,DE,,R4,Hungary,2017
9,,Y12,15 02 02*,,H4.1,2.35,AT,DE,,R4,Hungary,2017
10,,Y31,16 02 15*,,H12,511.7,"AT,CZ",DE,,R5,Hungary,2017
11,,"Y31,Y34",16 06 01*,,"H8,H12",2373.31,-,AT,,R4,Hungary,2017
12,,"Y31,Y34",16 06 01*,,"H8,H11",762.538,-,AT,,"R4,R6",Hungary,2017
13,,"Y31,Y34",16 06 01*,,"H8,H12",680.5,SK,CZ,,R4,Hungary,2017
14,,"Y31,Y34",16 06 01*,,"H8,H12",47.247,-,HR,,R4,Hungary,2017
15,,"Y31,Y34",16 06 01*,,"H8,H11,H12",4346.381,-,RO,,R4,Hungary,2017
16,,"Y31,Y34",16 06 01*,,"H8,H11,H12",456.973,-,RO,,"R4,R6",Hungary,2017
17,,"Y31,Y34",16 06 01*,,H8,288.748,"SK,CZ,DE",SE,,R4,Hungary,2017
18,,"Y31,Y34",16 06 01*,,"H6.1,H8,H11,H12",4151.266,-,SI,,R4,Hungary,2017
19,,Y2,"16 08 02*, 16 08 07*",,H4.2,110.628,AT,DE,,R8,Hungary,2017
20,,Y2,19 02 04*,,H12,96.84,"SK,CZ",PL,D10,,Hungary,2017
21,,Y18,19 02 05*,,H13,68.7,-,AT,D10,,Hungary,2017
22,,Y29,20 01 21*,,H13,101.926,-,RO,,"R12,R4",Hungary,2017
