,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,40600.0,,BD,,R4,Indonesia,2017
1,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,50600.0,,BD,,R4,Indonesia,2017
2,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,41750.0,,BD,,R4,Indonesia,2017
3,A1020,Y32,B407,Electric Arc Furnace Dust,H11,2141.97,,KR,,R4,Indonesia,2017
4,A3180,Y10,A101d,Printed Circuit Board,H13,99.17,,SG,,R4,Indonesia,2017
5,A3180,Y10,A101d,Printed Circuit Board,H13,49.74,,SG,,R4,Indonesia,2017
6,A3180,Y10,A101d,Printed Circuit Board,H13,24.86,,SG,,R4,Indonesia,2017
7,A3180,Y10,A101d,Printed Circuit Board,H13,24.94,,SG,,R4,Indonesia,2017
8,A3180,Y10,A101d,Printed Circuit Board,H13,24.87,,SG,,R4,Indonesia,2017
9,A3180,Y10,A101d,Printed Circuit Board,H13,24.82,,SG,,R4,Indonesia,2017
10,A3180,Y10,A101d,Printed Circuit Board,H13,24.88,,SG,,R4,Indonesia,2017
11,A3180,Y10,A101d,Printed Circuit Board,H13,25.13,,SG,,R4,Indonesia,2017
12,A3180,Y10,A101d,Printed Circuit Board,H13,25.23,,SG,,R4,Indonesia,2017
13,A3180,Y10,A101d,Printed Circuit Board,H13,24.58,,SG,,R4,Indonesia,2017
14,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,52751.84,,AE,,R4,Indonesia,2017
15,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,52654.63,,AE,,R4,Indonesia,2017
16,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,51000.0,,AE,,R4,Indonesia,2017
17,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,55000.0,,AE,,R4,Indonesia,2017
18,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,53160.0,,AE,,R4,Indonesia,2017
19,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,51600.0,,AE,,R4,Indonesia,2017
20,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,37800.0,,BD,,R4,Indonesia,2017
21,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,40500.0,,BD,,R4,Indonesia,2017
22,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,40300.0,,BD,,R4,Indonesia,2017
23,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,45650.0,,BD,,R4,Indonesia,2017
24,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,41000.0,,BD,,R4,Indonesia,2017
25,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,40600.0,,BD,,R4,Indonesia,2017
26,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,50600.0,,BD,,R4,Indonesia,2017
27,B1200,Y_,B402,Granulated Blast Furnace Slag (GBFS),H_,41750.0,,BD,,R4,Indonesia,2017
28,A3180,Y10,A101d,Printed circuit board (PCB),H13,99.17,,SG,,R4,Indonesia,2017
29,A3180,Y10,A101d,Printed circuit board (PCB),H13,49.72,,SG,,R4,Indonesia,2017
30,A3180,Y10,A101d,Printed circuit board (PCB),H13,24.85,,SG,,R4,Indonesia,2017
31,A3180,Y10,A101d,Printed circuit board (PCB),H13,24.93,,SG,,R4,Indonesia,2017
32,A3180,Y10,A101d,Printed circuit board (PCB),H13,24.87,,SG,,R4,Indonesia,2017
33,A3180,Y10,A101d,Printed circuit board (PCB),H13,24.81,,SG,,R4,Indonesia,2017
34,A3180,Y10,A101d,Printed circuit board (PCB),H13,24.88,,SG,,R4,Indonesia,2017
35,A3180,Y10,A101d,Printed circuit board (PCB),H13,25.13,,SG,,R4,Indonesia,2017
36,A3180,Y10,A101d,Printed circuit board (PCB),H13,25.22,,SG,,R4,Indonesia,2017
37,A3180,Y10,A101d,Printed circuit board (PCB),H13,24.57,,SG,,R4,Indonesia,2017
38,,Y_,B301-3,Used palladium carbon catalyst,H_,17.89,,KR,,R4,Indonesia,2017
39,,Y_,B413,Spent Bleaching Earth (SBE),H_,2930.0,,MY,,R4,Indonesia,2017
40,,Y_,B413,Spent Bleaching Earth (SBE),H_,706.0,,MY,,R4,Indonesia,2017
41,,Y_,B413,Spent Bleaching Earth (SBE),H_,862.55,,MY,,R4,Indonesia,2017
42,,Y_,B413,Spent Bleaching Earth (SBE),H_,2253.0,,MY,,R4,Indonesia,2017
43,,Y_,B413,Spent Bleaching Earth (SBE),H_,2004.48,,MY,,R4,Indonesia,2017
44,,Y_,B413,Spent Bleaching Earth (SBE),H_,2229.38,,MY,,R4,Indonesia,2017
45,,Y_,B413,Spent Bleaching Earth (SBE),H_,1570.86,,MY,,R4,Indonesia,2017
46,,Y_,B413,Spent Bleaching Earth (SBE),H_,1995.0,,MY,,R4,Indonesia,2017
47,,Y_,B413,Spent Bleaching Earth (SBE),H_,1803.0,,MY,,R4,Indonesia,2017
48,,Y_,B413,Spent Bleaching Earth (SBE),H_,2612.0,,MY,,R4,Indonesia,2017
49,,Y_,B413,Spent Bleaching Earth (SBE),H_,2149.0,,MY,,R4,Indonesia,2017
50,,Y_,B413,Spent Bleaching Earth (SBE),H_,2268.0,,MY,,R4,Indonesia,2017
51,,Y_,B413,Spent Bleaching Earth (SBE),H_,1828.0,,MY,,R4,Indonesia,2017
52,,Y_,B413,Spent Bleaching Earth (SBE),H_,1992.0,,MY,,R4,Indonesia,2017
53,A3020,Y31,,"Copper, Copper alloy scraps",H8,25307.0,,JP,,R4,Indonesia,2017
54,,Y19,,Catalyst DeH-7,H4.1,4.29,,JP,,R4,Indonesia,2017
55,,Y19,,Catalyst DeH-8,H4.1,3.9,,JP,,R4,Indonesia,2017
56,,Y19,,Catalyst DeH-9,H4.1,4.1,,JP,,R4,Indonesia,2017
57,,Y19,,Catalyst DeH-10,H4.1,2.34,,JP,,R4,Indonesia,2017
58,,Y19,,Catalyst DeH-11,H4.1,10.8,,JP,,R4,Indonesia,2017
59,A1020,Y31,B407,EAF Dust,H11,79.99,,KR,,R4,Indonesia,2017
60,A1020,Y31,B407,EAF Dust,H11,99.99,,KR,,R4,Indonesia,2017
61,A1020,Y31,B407,EAF Dust,H11,59.99,,KR,,R4,Indonesia,2017
62,A1020,Y31,B407,EAF Dust,H11,59.99,,KR,,R4,Indonesia,2017
63,A1020,Y31,B407,EAF Dust,H11,304.82,,KR,,R4,Indonesia,2017
64,A1020,Y31,B407,EAF Dust,H11,39.53,,KR,,R4,Indonesia,2017
65,A1020,Y31,B407,EAF Dust,H11,217.1,,KR,,R4,Indonesia,2017
66,A1020,Y31,B407,EAF Dust,H11,106.81,,KR,,R4,Indonesia,2017
67,A1020,Y31,B407,EAF Dust,H11,126.57,,KR,,R4,Indonesia,2017
68,A1020,Y31,B407,EAF Dust,H11,164.04,,KR,,R4,Indonesia,2017
69,A1020,Y31,B407,EAF Dust,H11,184.91,,KR,,R4,Indonesia,2017
70,,Y_,B413,Spent Bleaching Earth (SBE),H_,3080.87,,MY,,R4,Indonesia,2017
71,,Y_,B413,Spent Bleaching Earth (SBE),H_,1107.3,,MY,,R4,Indonesia,2017
72,,Y_,B413,Spent Bleaching Earth (SBE),H_,813.55,,MY,,R4,Indonesia,2017
73,,Y_,B413,Spent Bleaching Earth (SBE),H_,975.47,,MY,,R4,Indonesia,2017
74,,Y_,B413,Spent Bleaching Earth (SBE),H_,803.85,,MY,,R4,Indonesia,2017
75,,Y_,B413,Spent Bleaching Earth (SBE),H_,995.02,,MY,,R4,Indonesia,2017
76,,Y_,B413,Spent Bleaching Earth (SBE),H_,1009.32,,MY,,R4,Indonesia,2017
77,,Y_,B413,Spent Bleaching Earth (SBE),H_,1380.48,,MY,,R4,Indonesia,2017
78,,Y_,B413,Spent Bleaching Earth (SBE),H_,785.7,,MY,,R4,Indonesia,2017
79,,Y_,B413,Spent Bleaching Earth (SBE),H_,1020.92,,MY,,R4,Indonesia,2017
80,,Y_,B413,Spent Bleaching Earth (SBE),H_,8527.06,,MY,,R4,Indonesia,2017
81,,Y_,B413,Spent Bleaching Earth (SBE),H_,1503.32,,MY,,R4,Indonesia,2017
82,A1180,"Y22,Y31",B107d,Electronics Waste,H11,23.17,,SG,,R4,Indonesia,2017
83,A1180,"Y22,Y31",B107d,Electronics Waste,H11,12.47,,SG,,R4,Indonesia,2017
84,A1180,"Y22,Y31",B107d,Electronics Waste,H11,37.58,,SG,,R4,Indonesia,2017
