,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",25.0,,KR,,R4,Japan,2017
1,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",176.0,,KR,,R4,Japan,2017
2,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",255.0, ,KR,,R4,Japan,2017
3,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",300.0, ,KR,,R4,Japan,2017
4,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",75.0,,KR,,R4,Japan,2017
5,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",220.0,,KR,,R4,Japan,2017
6,"A1020,A1030","Y24,Y27,Y31",,lead ash,H11,150.0,,KR,,R4,Japan,2017
7,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",360.0,,KR,,R4,Japan,2017
8,A1160,"Y30,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",125.0,,KR,,R4,Japan,2017
9,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",1020.0,,KR,,R4,Japan,2017
10,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",108.0,,KR,,R4,Japan,2017
11,A1020,Y31,,lead compounds,H11,120.0,,BE,,R4,Japan,2017
12,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",1260.0,,KR,,R4,Japan,2017
13,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",96.0,,KR,,R4,Japan,2017
14,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",50.0,,KR,,R4,Japan,2017
15,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",520.0,,KR,,R4,Japan,2017
16,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",350.0,,KR,,R4,Japan,2017
