,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A4010,Y2,,Out-of-date pharmaceutical and cosmetic preparations,"H3,H6.1,H12",750,"SA,GB,EG,MA,ES,MT",FR,D10,,United Arab Emirates,2017
1,A1160,Y31,,USED LEAD ACID BATTERY,H11,3000,,KR,,R1,United Arab Emirates,2017
2,A1160,Y31,,USED LEAD ACID BATTERY,H13,10000,,KR,,R4,United Arab Emirates,2017
3,A1160,Y31,,"USED LEAD ACID BATTERY SCRAP, WHOLE OR CRUSHED",H11,10000,,KR,,R4,United Arab Emirates,2017
4,A1160,Y31,,"USED LEAD ACID BATTERY (RAINS,RINKS)/ USED CAR BATTER",H11,6000,,KR,,R4,United Arab Emirates,2017
5,A1170,,,"UN3090 Lithium metal batteries,",,10,US,CA,,R4,United Arab Emirates,2017
6,A1180,,, UN3091 Lithium metal batteries in equipment,,5,US,CA,,R4,United Arab Emirates,2017
7,A1160,Y31,,USED LEAD ACID BATTERY,H11,2000,,KR,,R1,United Arab Emirates,2017
8,A1160,Y31,,"LEAD ACID BATTERY SCRAP
(RINKS, RAINS, RAILS, INDUSTRIAL RAILS)",H11,6000,,KR,,R4,United Arab Emirates,2017
9,A1160,"Y31,Y34",,SPENT LEAD BATTERIES,H11,10000,,KR,,R4,United Arab Emirates,2017
10,A1160,Y31,,"USED LEAD ACID  BATTERY (RAINS, RINKS) USED CAR BATTERY",H11,5000,,KR,,R1,United Arab Emirates,2017
11,A1160,Y31,,"BATTERY SCRAPS AS PER ISRI: RAINS, RINKS",H11,5000,,KR,,R4,United Arab Emirates,2017
12,A1160,Y31,,USED LEAD ACID BATTERY,H13,10000,,KR,,R4,United Arab Emirates,2017
13,A1160,"Y31,Y34",,SPENT LEAD BATTERIES,H11,5000,,KR,,R4,United Arab Emirates,2017
14,A1160,"Y31,Y34",,SPENT LEAD BATTERIES,H11,2500,,KR,,R4,United Arab Emirates,2017
15,A1160,"Y31,Y34",,SPENT LEAD BATTERIES,H11,5000,,KR,,R4,United Arab Emirates,2017
16,A1160,"Y31,Y34",,SPENT LEAD BATTERIES,H11,2500,,KR,,R4,United Arab Emirates,2017
17,A1160,"Y31,Y34",,SPENT LEAD BATTERIES,H11,3000,,KR,,R4,United Arab Emirates,2017
18,A1160,Y31,,USED LEAD ACID BATTERY,H11,3000,,KR,,R1,United Arab Emirates,2017
19,A1160,"Y31,Y34",,SPENT LEAD BATTERIES,H11,10000,,KR,,R4,United Arab Emirates,2017
20,A1160,Y31,,USED LEAD ACID BATTERY,H11,15000,,KR,,R4,United Arab Emirates,2017
21,A1020,Y25,,"FLUE DUST WASTE CONTAINING SELENIUM COMPOUNDS, GOLD AND SILVER",H12,70,,BE,,R1,United Arab Emirates,2017
22,A1160,Y31,,"BATTERY SCRAP AS PER ISRI: RAINS, RINKS",H11,10000,,KR,,R4,United Arab Emirates,2017
23,A1160,Y31,,"USED LEAD ACID BATTERY (RAINS, RINKS) / USED CAR BATTERY",H11,10000,,KR,,R4,United Arab Emirates,2017
24,A1160,Y31,,"LEAD SCRAP(ISRI-RINKS,RAINS, OR ROPERS), Batteries,
Drained or wet acid and Electric Storage",H13,2000,,KR,,R4,United Arab Emirates,2017
25,A1160,Y31,,"USED LEAD ACID BATTERY (RINK ,RAINS ) / USED CAR BATTERY ",H11,3000,,KR,,R4,United Arab Emirates,2017
26,A1160,Y31,,"USED LEAD ACID BATTERY (RINK, RAINS ) / USED CAR BATTERIES ",H11,3000,,IN,,R1,United Arab Emirates,2017
