,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,,Y18,10 03 08*,Salt Slag,H4.3,753.4,,NO,,"R5,R4",Uruguay,2017
1,A1020,Y31,10 04 02*,Lead Dross Waste,H6.1,25.0,,IE,,R4,Uruguay,2017
2,A1160,Y31,16 06 01*,Lead Acid Batteries,H8,1447.0,,IE,,R4,Uruguay,2017
3,A4050,Y33,16 11 01*,Spent Pot liner,H4.3,1056.4,,IS,,"R5,R4",Uruguay,2017
4,A1160,"Y31,Y34",16 06 01*,Lead Acid Batteries,H8,370.3,,IE,,R4,Uruguay,2017
5,,,16 02 13* 16 05 04*,Waste packages and containers containing hazardous substances,H_,0.5,,IE,,"R13,R4",Uruguay,2017
6,,Y18,10 03 08,Aluminium salt slag,H4.3,4959.8,,IS,,"R4,R5",Uruguay,2017
7,A4050,"Y32,Y33",16 11 03*,Spent Pot liner,"H4.3,H6.1",4058.7,"PE,PA,US",NZ,,"R4,R5",Uruguay,2017
8,A4050,Y33,16 11 03,Spent Pot Liner,H4.3,5111.9,"ES,BE",AE,,R13,Uruguay,2017
9,A1160,Y31,16 06 01,Lead Acid Batteries,H8,821.4,,IE,,R4,Uruguay,2017
10,A1160,Y31,16 06 01,Lead Acid Batteries,"H8,H12",237.6,,IS,,R4,Uruguay,2017
11,A4050,Y33,16 11 01* 16 11 03*,Spent Pot liner,H4.3,520.8,,IS,,R5,Uruguay,2017
12,A4050,"Y32,Y33",16 11 03*,Spent Pot liner,"H4.3,H6.1",1211.2,"AU,MY,SG,LK,OM,DJ,SA,EG,GR,IT,ES,BE",NZ,,"R4,R5",Uruguay,2017
13,A4050,Y32,16 11 03*,Spent Refractory,H13,618.0,"NL,BE,FR",DE,,"R4,R5",Uruguay,2017
14,A1160,Y31,16 06 01*,Lead Acid Batteries,H_,776.8,,FR,,"R4,R5",Uruguay,2017
15,A1160,"Y31,Y34",16 06 01*,Lead Acid Batteries,H8,723.9,,FR,,R4,Uruguay,2017
16,,Y45,14 06 01*,Waste refrigerant gases,H12,13.8,,IE,,R3,Uruguay,2017
17,A1160,Y31,16 06 01*,Lead Acid Batteries,H8,733.9,,IE,,R4,Uruguay,2017
18,A2030,,"15 02 02*, 16 08 07*",Waste catalysts but excluding such wastes specified on list B,"H4.2,H6.1",20.0,FR,BE,,R4,Uruguay,2017
19,A2030,,16 08 07*,Waste catalysts but excluding such wastes specified on list B,H12,17.155,"BE,FR",DE,,"R5,R12",Uruguay,2017
20,A2030,,16 08 07*,Waste catalysts but excluding such wastes specified on list B,"H6.1,H8",1.3329,BE,NL,,R4,Uruguay,2017
21,A2030,,16 08 07*,Waste catalysts but excluding such wastes specified on list B,H12,25.806,,PL,,R4,Uruguay,2017
22,A3150,,07 07 07*,Waste halogenated organic solvents,H3,1429.25,,NL,,"R3,R13",Uruguay,2017
23,A4090,,14 06 03*,"Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120)","H6.1,H8",23.25,,IE,,R2,Uruguay,2017
24,A4130,,16 05 04*,Waste packages and containers containing Annex I substances in concentrations sufficient to exhibit Annex III hazard characteristics,"H12,H3,H6.1",22.9,,IE,,"R3,R4",Uruguay,2017
25,A4140,,16 05 06*,Waste consisting of or containing off-specification or out-dated chemicals corresponding to Annex I categories and exhibiting Annex III hazard characteristics,"H5.1,H5.2,H6.1,H8",5.0,,IE,D10,,Uruguay,2017
26,,,"10 09 11*,AA010 ","Dross, scalings and other wastes from the iron or steel industry .",H12,815.67,NL,IS,,"R4,R5",Uruguay,2017
27,,,"17 02 04*,AC170 ",Treated cork and wood wastes,H4.1,1006.59,,IE,,R3,Uruguay,2017
28,,,"17 02 04*,AC170 ",Treated cork and wood wastes,H12,800.0,,NL,,R3,Uruguay,2017
29,,,"17 02 04*,AC170 ",Treated cork and wood wastes,H12,1050.0,,NL,,"R3,R13",Uruguay,2017
30,,,10 03 04*,Aluminium pot pads,"H12,H12",283.68,NL,IS,,R4,Uruguay,2017
31,,,10 03 04*,Aluminum skimmings,H4.3,657.6,NL,IS,,R4,Uruguay,2017
32,,,10 13 12*,Cement kiln dust,H_,5648.56,,IE,,R10,Uruguay,2017
33,,,"16 02 14, 16 02 16, 20 01 36","Discarded electrical and electronic equipment, non hazardous",H12,1754.77,,IE,,R4,Uruguay,2017
34,,,15 01 10*,Empty IBC that used to contain polyester resin,H3,53.284,,IE,,R11,Uruguay,2017
35,,,10 13 12*,Flue Dust,H_,27.94,,IE,,R10,Uruguay,2017
36,,,"15 01 10*, 19 12 11*",High density polyethylene,H_,16.0,,IE,,R5,Uruguay,2017
37,,,"15 01 10*, 19 12 11*",Solid plastic waste - High density polyethylene,H_,236.36,,IE,,R5,Uruguay,2017
38,,,"16 02 13*, 16 02 14, 16 02 15*, 16 02 16, 20 01 35*, 20 01 36",WEEE containing hazardous and non hazardous parts,H12,1371.44,,IE,,R4,Uruguay,2017
39,A3010,Y11,"05 01 03*, 15 01 06",Waste from the production or processing of petroleum coke and bitumen,H12,259.98,"BE,ES,MR,MR,SN",MR,D10,,Uruguay,2017
40,A3160,"Y12,Y18,Y6","07 01 04*, 07 03 04*, 07 05 04*, 14 06 03*, 19 02 05*",Waste halogenated or unhalogenated non-aqueous distillation residues arising from organic solvent recovery operations,H3,202.21,,IE,D10,,Uruguay,2017
41,A3160,"Y12,Y18,Y6","07 01 04*, 07 03 04*, 07 05 04*, 14 06 03*, 19 02 05*",Waste halogenated or unhalogenated non-aqueous distillation residues arising from organic solvent recovery operations,H3,233.59,,IE,,R3,Uruguay,2017
42,A3140,"Y12,Y42,Y6","07 01 04*, 07 01 08*, 07 02 04*, 07 02 08*, 07 03 04*, 07 03 08*, 07 04 04*, 07 04 08*, 07 05 04*, 07 05 08*, 07 06 04*, 07 06 08*, 07 07 04*, 07 07 08*, 08 01 11*, 08 03 12*, 08 03 14*, 14 06 03*, 16 05 08*, 20 01 13*",Waste non-halogenated organic solvents but excluding such wastes specified on list B,"H3,H6.1",35.698,,IE,,"R2,R12",Uruguay,2017
43,A3140,"Y12,Y42,Y6","07 01 04*, 07 01 08*, 07 02 04*, 07 02 08*, 07 03 04*, 07 03 08*, 07 04 04*, 07 04 08*, 07 05 04*, 07 05 08*, 07 06 04*, 07 06 08*, 07 07 04*, 07 07 08*, 08 01 11*, 08 03 12*, 08 03 14*, 14 06 03*, 16 05 08*, 20 01 13*",Waste non-halogenated organic solvents but excluding such wastes specified on list B,"H3,H6.1,H_",81.366,,IE,,"R2,R12",Uruguay,2017
44,,Y16,"09 01 99,AD090 ","Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included",,871.149,,BE,,R4,Uruguay,2017
45,,Y16,"09 01 99,AD090 ","Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included",H12,46.251,,BE,,R4,Uruguay,2017
46,,Y16,"09 01 01*, 09 01 04*, 09 01 05*,AD090 ","Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included",H_,24.22,,IE,,"R4,R12",Uruguay,2017
47,,Y16,"09 01 04*, 09 01 05*,AD090 ","Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included",H8,69.669,,IE,,"R4,R12",Uruguay,2017
48,A2030,Y17,16 08 06*,Waste catalysts but excluding such wastes specified on list B,H12,479.525,"GR,PT,TR",MK,,R4,Uruguay,2017
49,A3140,Y17,11 01 13*,Waste non-halogenated organic solvents but excluding such wastes specified on list B,H3,50.32,,IE,,R2,Uruguay,2017
50,A4090,Y17,"06 01 01*, 06 01 04*, 06 01 06*, 11 01 05*, 16 03 03*","Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120)",H8,204.365,,BE,,R5,Uruguay,2017
51,A4090,Y17,"06 01 01*, 06 01 04*, 06 03 13*","Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120)",H8,549.855,,BE,,R5,Uruguay,2017
52,A4090,Y17,11 01 11*,"Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120)",H6.1,4562.599,,IE,,R5,Uruguay,2017
53,A4090,Y17,14 06 03*,"Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120)","H6.1,H8",5314.31,,IE,D10,,Uruguay,2017
54,,Y17,"16 08 07*,AB030 ",Wastes from non-cyanide based systems which arise from surface treatment of metals,H_,51.162,,DE,,R4,Uruguay,2017
55,,Y17,"11 01 98*,AB030 ",Wastes from non-cyanide based systems which arise from surface treatment of metals,"H6.1,H8",26.091,,IE,,R4,Uruguay,2017
56,,Y17,12 01 03,Aluminium waste from casting of non ferrous pieces.,,205.8,,IE,,R4,Uruguay,2017
57,,Y17,15 02 02*,Material containing metal particles & dust from orthopaedic impants,"H4.1,H_",13.1,,IE,,R4,Uruguay,2017
58,,Y17,15 02 02*,Material containing metal particles & dust from orthopaedic impants,H4.1,6.6,,IE,,R4,Uruguay,2017
59,,Y17,12 01 20*,Nickel production dust,H12,6.36,,IE,,R4,Uruguay,2017
60,,Y17,12 01 20*,Nickel production dust,H12,1.68,,IE,,R4,Uruguay,2017
