,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,"B1210,B1230",,,"Slag, dross (other than granulated slag), scale and other waste from the production of fer-rous metals (iron-bearing waste of elec-tro steel melting, roll-ing and metalware shops) (dross)",H13,30000.0,,RU,,R4,Belarus,2018
1,"B1210,B1230",,,"Slag, dross (other than granulated slag), scale and other waste from the production of fer-rous metals (iron-bearing waste of elec-tro steel melting, roll-ing and metalware shops) (iron-containing products)",H13,9000.0,,UA,,R4,Belarus,2018
2,"B1210,B1230",,,"Slag, dross (other than granulated slag), scale and other waste from the production of fer-rous metals (iron-bearing waste of elec-tro steel melting, roll-ing and metalware shops) (dust of gas clianing)",H13,2000.0,,RU,,R4,Belarus,2018
3,B1100,Y23,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds (con-taining mainly zinc (hard zinc) ",H13,295.0,,LV,,R4,Belarus,2018
4,B1100,Y23,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds (con-taining mainly zinc (hard zinc) ",H13,21.0,,DE,,R4,Belarus,2018
5,B1100,Y23,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds (con-taining mainly zinc (hard zinc) ",H13,84.0,,RU,,R4,Belarus,2018
6,B1100,Y23,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds (con-taining mainly zinc),other",H13,8.666,,LV,,R4,Belarus,2018
7,B1100,Y23,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds (con-taining mainly zinc),other",H13,5.008,,LT,,R4,Belarus,2018
8,B1100,Y23,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds (con-taining mainly zinc),zinc dust",H13,110.0,,LV,,R4,Belarus,2018
9,B1100,Y23,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds (con-taining mainly zinc),zinc dross",H13,390.0,,LV,,R4,Belarus,2018
10,A1020,Y31,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds, oth-er (lead dross)",H13,20.04,,LT,,R4,Belarus,2018
11,B2040,Y22,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds, con-taining mainly copper (copper-containing slag)",H13,658.82,PL,DE,,R4,Belarus,2018
12,B2100,,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds, con-taining mainly nickel (nickel catalysts)",H13,1500.0,,RU,,R4,Belarus,2018
13,B2040,Y22,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds, con-taining mainly copper (copper-containing slag)",H13,22.02,,LT,,R4,Belarus,2018
14,B1100,,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds, con-taining mainly alumi-num (slags aluminum alloys)",H11,1410.0,,RU,,R4,Belarus,2018
15,B1100,,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds, con-taining mainly alumi-num (slags aluminum alloys)",H11,20.0,,LV,,R4,Belarus,2018
16,B1100,,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds, con-taining mainly alumi-num (slags aluminum alloys)",H11,80.0,,UA,,R4,Belarus,2018
17,A1020,Y31,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds, oth-er (ash metallurgical lead)",H11,110.0,,UA,,R4,Belarus,2018
18,B1120,,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds, con-taining mainly nickel (nickel catalysts)",H11,30.801,,LV,,R8,Belarus,2018
19,A2030,,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain ing metals, arsenic or their compounds, con-taining mainly alumi-num (aluminum cata-lysts)",H11,334.493,,DE,,R8,Belarus,2018
20,B1120,,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds, con-taining mainly molyb-denum (molybdenum catalysts)",H11,78.878,,DE,,R8,Belarus,2018
21,B1120,,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds, con-taining mainly molyb-denum (molybdenum catalysts)",H11,0.1792,,LV,,R8,Belarus,2018
22,B1120,,,"Slag, ash and residues (other than resulting in the production of fer-rous metals), contain-ing metals, arsenic or their compounds, con-taining mainly tung-sten (tungsten cata-lysts)",H11,0.1662,,LT,,R8,Belarus,2018
23,A3180,Y10,,"Other wastes from the chemical or allied in-dustries, mainly con-taining organic con-stituents (unsuitable pesticides)",H4.2,200.0,"DE,PL",FR,D10,,Belarus,2018
24,B3080,,,"Waste, cuttings and scrap of rubber (other than hard rubber), powders and granules obtained from it (butyl rubber diaphragm)",H4.1,420.07,,UA,,R3,Belarus,2018
25,B3080,,,"Waste, cuttings and scrap of rubber (other than hard rubber), powders and granules obtained from it (butyl rubber diaphragm)",H4.1,375.0,"KZ,KG,UA",PK,,R3,Belarus,2018
26,B3140,,,"Other pneumatic tires, used",H4.1,280.0,RU,GR,,R3,Belarus,2018
27,A1010,Y27,,"Waste and scrap of precious metals or metals clad with pre-cious metals, other (antimony concen-trate)",H11,10.738,,DE,,R2,Belarus,2018
28,"A1160,A1170,A1180",Y13,,"Waste and scrap of primary elements, pri-mary batteries and electric accumulators (other) (nickel-iron)",H12,179.439,,LT,,R13,Belarus,2018
29,"A1160,A1170,A1180",Y31,,"Waste and scrap of primary elements, pri-mary batteries and electric accumulators (other) (nickel-cadmium)",H12,190.34,,LT,,R13,Belarus,2018
