,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A4020,Y1,180103,,,478.888,,IE,D10,,Benin,2018
1,A4020,Y1,180103,,,224.52,,LU,D10,,Benin,2018
2,A4020,Y1,180103,,,239.589,,NL,D10,,Benin,2018
3,A4020,Y1,180108,,,0.041,,MT,D10,,Benin,2018
4,A4010,Y2,60101,,,35.838,,IE,D10,,Benin,2018
5,A4090,Y2,60102,,,19.25,,IE,D9,,Benin,2018
6,,Y2,60102,,,32.12171,,IE,D10,,Benin,2018
7,A4010,Y2,60106,,,16.318,,IE,D9,,Benin,2018
8,A4010,Y2,60106,,,74.388,,IE,D10,,Benin,2018
9,A4010,Y2,60205,,,77.362,,IE,D10,,Benin,2018
10,A4140,Y2,60313,,,57.365,,GR,D10,,Benin,2018
11,A4160,Y2,61302,,,106.86,,CH,,R7,Benin,2018
12,A3140,Y2,70101,,,368.22339,,IE,D10,,Benin,2018
13,A4140,Y2,70107,,,56.51885,,IE,D10,,Benin,2018
14,A3140,Y2,70501,,,216.84,,IE,,R1,Benin,2018
15,A4010,Y2,70501,,,387.96,,IE,,R1,Benin,2018
16,A4010,Y2,70501,,,50.4917,,IE,,R12,Benin,2018
17,A4010,Y2,70501,,,13418.76706,,IE,D10,,Benin,2018
18,A4010,Y2,70501,,,878.16405,,IE,D15,,Benin,2018
19,A4010,Y2,70501,,,445.0975,,NL,D10,,Benin,2018
20,A3140,Y2,70504,,,375.7,,AT,,R2,Benin,2018
21,A4010,Y2,70504,,,8.398,,IE,D10,,Benin,2018
22,A4010,Y2,70509,,,63.737,,IE,D10,,Benin,2018
23,A4010,Y2,70510,,,951.70179,,IE,D10,,Benin,2018
24,A4010,Y2,70511,,,72.993,,IE,D10,,Benin,2018
25,A4010,Y2,70513,,,146.489,,GR,D10,,Benin,2018
26,A4010,Y2,70513,,,1098.70294,,IE,D10,,Benin,2018
27,A4010,Y2,70513,,,43.011,,MT,D10,,Benin,2018
28,A4010,Y2,70513,,,469.69349,,NL,D10,,Benin,2018
29,A4140,Y2,70513,,,20.87,,IE,,R1,Benin,2018
30,,Y2,70601,,,32.5,,FR,,R1,Benin,2018
31,,Y2,70601,,,63.8,,FR,,R5,Benin,2018
32,A4010,Y2,150110,,,17.919,,IE,D10,,Benin,2018
33,A4130,Y2,150110,,,49.113,,IE,D10,,Benin,2018
34,,Y2,150202,,,113.59133,,IE,D10,,Benin,2018
35,A4140,Y2,160303,,,39.67303,,IE,D10,,Benin,2018
36,,Y2,160303,,,12.381,,IE,D9,,Benin,2018
37,,Y2,160303,,,23.475,,IE,D10,,Benin,2018
38,A4140,Y2,160305,,,137.12193,,IE,D10,,Benin,2018
39,,Y2,160504,,,23.344,,IE,D10,,Benin,2018
40,A4010,Y2,160506,,,71.63,,PT,D10,,Benin,2018
41,A4140,Y2,160506,,,9.68,,IT,D10,,Benin,2018
42,A4140,Y2,160506,,,12.73,,LU,D10,,Benin,2018
43,,Y2,160506,,,66.64014,,IE,D10,,Benin,2018
44,A4010,Y2,180103,,,26.94692,,NL,D10,,Benin,2018
45,A4020,Y2,180103,,,23.76535,,NL,D10,,Benin,2018
46,A4010,Y2,180202,,,188.82,,NL,D10,,Benin,2018
47,A4010,Y2,180207,,,163.22,,NL,D10,,Benin,2018
48,A4010,Y3,70504,,,381.71222,,NL,D10,,Benin,2018
49,A4010,Y3,70513,,,985.735,,PT,D10,,Benin,2018
50,A4130,Y3,150110,,,109.4375,,NL,,R12,Benin,2018
51,A4010,Y3,160506,,,6.313,,MT,D10,,Benin,2018
52,A4010,Y3,180108,,,65.65991,,NL,D10,,Benin,2018
53,A4030,Y4,20108,,,0.08,,LU,D10,,Benin,2018
54,A4030,Y4,20108,,,7.247,,OM,D10,,Benin,2018
55,A4030,Y4,20108,,,13.032,,PT,D10,,Benin,2018
56,A3140,Y4,70103,,,25.46,,DE,D10,,Benin,2018
57,A4030,Y4,70409,,,121.06,,DE,,R4,Benin,2018
58,A4030,Y4,70410,,,100.9,,NL,D10,,Benin,2018
59,A4160,Y4,70410,,,6.5,,FR,,R7,Benin,2018
60,A4160,Y4,70413,,,1703.85,,DE,,R7,Benin,2018
61,A4130,Y4,150110,,,100.263,,FR,,R3,Benin,2018
62,A4130,Y4,150110,,,145.6,,LU,,R1,Benin,2018
63,A4030,Y4,160305,,,90.14,,FR,,R4,Benin,2018
64,A4130,Y4,160504,,,111.2,,NL,,R12,Benin,2018
65,A4030,Y4,200119,,,19.74,,LU,D10,,Benin,2018
66,A4030,Y4,200119,,,62.82,,NL,D10,,Benin,2018
67,A4130,Y5,150110,,,197.31,,FR,,R3,Benin,2018
68,,Y5,170204,,,72.0,,CH,,R1,Benin,2018
69,,Y5,170204,,,10494.76514,,FR,,R12,Benin,2018
70,A3150,Y6,70103,,,38.652,,PT,D10,,Benin,2018
71,A3140,Y6,70104,,,272.2,,NL,,R1,Benin,2018
72,A3170,Y6,70107,,,1483.311,,NL,D10,,Benin,2018
73,A4060,Y6,70108,,,3683.24,,NL,,R1,Benin,2018
74,A3140,Y6,70204,,,7.494,,NL,D10,,Benin,2018
75,,Y6,70210,,,253.0,,NL,,R1,Benin,2018
76,,Y6,70210,,,1360.3,,NL,,R12,Benin,2018
77,A3140,Y6,70504,,,94.6,,PT,D10,,Benin,2018
78,A4140,Y6,70504,,,76.17,,IE,,R1,Benin,2018
79,A3150,Y6,70703,,,533.97508,,NL,D10,,Benin,2018
80,,Y6,70704,,,21.78,,IE,D10,,Benin,2018
81,,Y6,70708,,,114.724,,IE,D10,,Benin,2018
82,A4070,Y6,80111,,,811.96,,IE,,R1,Benin,2018
83,A3150,Y6,140602,,,8.14,,GR,,R2,Benin,2018
84,A3140,Y6,140603,,,4.749,,NL,,R2,Benin,2018
85,A3160,Y6,140605,,,549.586,,DE,,R1,Benin,2018
86,A4070,Y6,150110,,,437.85,,IE,,R1,Benin,2018
87,A4130,Y6,150110,,,45.301,,FR,,R3,Benin,2018
88,A3050,Y6,160305,,,56.9,,NL,D10,,Benin,2018
89,A2030,Y6,160806,,,122.7,,DE,,R4,Benin,2018
90,A2030,Y6,160806,,,129.48,,SE,,R4,Benin,2018
91,A2030,Y6,160807,,,123.52842,,DE,,R4,Benin,2018
92,A2030,Y6,160807,,,27.805,,US,,R4,Benin,2018
93,A4060,Y6,161001,,,1024.84,,NL,D10,,Benin,2018
94,A3140,Y6,190208,,,153.82,,GB,,R1,Benin,2018
95,A3140,Y6,190208,,,11195.91568,,NL,D10,,Benin,2018
96,,Y6,190208,,,42.06,,DE,,R1,Benin,2018
97,,Y6,190209,,,9928.304,,DE,,R1,Benin,2018
98,,Y8,70108,,,390.22,,GB,,R1,Benin,2018
99,A4060,Y8,120107,,,36.99,,IE,,R1,Benin,2018
100,,Y8,130113,,,44.69081,,IE,D10,,Benin,2018
101,A3020,Y8,130204,,,47.12,,PT,D10,,Benin,2018
102,A3020,Y8,130205,,,43.008,,FR,,R9,Benin,2018
103,A3020,Y8,130205,,,116.0,,LU,,R13,Benin,2018
104,A4060,Y8,130703,,,5.7,,NL,D10,,Benin,2018
105,A4130,Y8,150202,,,103.18461,,LU,D10,,Benin,2018
106,,Y8,160104,,,1100.0,,IS,,R4,Benin,2018
107,,Y8,160104,,,3645.0,,NL,,R4,Benin,2018
108,A3020,Y8,160107,,,98.48,,DE,,R12,Benin,2018
109,A3020,Y8,160107,,,571.864,,IE,,R12,Benin,2018
110,,Y8,160107,,,204.7,,NL,,R12,Benin,2018
111,A3020,Y8,160708,,,21.08,,FR,,R9,Benin,2018
112,A3020,Y8,190207,,,635.68999,,LU,,R12,Benin,2018
113,A4090,Y9,50111,,,987.8,,NL,D8,,Benin,2018
114,,Y9,60502,,,269.18,,FR,D9,,Benin,2018
115,A4060,Y9,70201,,,15.48,,NL,D9,,Benin,2018
116,A4060,Y9,70201,,,9.98,,NL,D10,,Benin,2018
117,A3140,Y9,70504,,,254.56,,NL,D10,,Benin,2018
118,,Y9,100211,,,3894.42498,,LU,,R5,Benin,2018
119,A4060,Y9,120109,,,187.34,,IE,,R1,Benin,2018
120,A4060,Y9,120109,,,3005.77075,,LU,D9,,Benin,2018
121,A4060,Y9,130101,,,10.0,,IE,D14,,Benin,2018
122,A4060,Y9,130205,,,8.79,,IE,,R1,Benin,2018
123,A4060,Y9,130507,,,128.77569,,FR,D9,,Benin,2018
124,A4060,Y9,130802,,,23.44,,FR,D9,,Benin,2018
125,A4130,Y9,150110,,,39.526,,FR,,R3,Benin,2018
126,,Y9,150202,,,147.98,,NL,,R12,Benin,2018
127,,Y9,160104,,,47.0,,NL,,R2,Benin,2018
128,,Y9,160104,,,3135.0,,FR,,R4,Benin,2018
129,,Y9,160104,,,2035.0,,FR,,R12,Benin,2018
130,A3020,Y9,160107,,,454.99039,,FR,,R12,Benin,2018
131,A3020,Y9,160107,,,520.70657,,NL,,R12,Benin,2018
132,,Y9,160113,,,45.11,,NL,,R3,Benin,2018
133,,Y9,160114,,,763.806,,NL,,R2,Benin,2018
134,A4060,Y9,160708,,,1991.57802,,FR,D9,,Benin,2018
135,A4060,Y9,160709,,,152.03143,,NL,D9,,Benin,2018
136,A4060,Y9,160709,,,367.745,,OM,D10,,Benin,2018
137,,Y9,161001,,,2247.23942,,LU,D8,,Benin,2018
138,A4060,Y9,190207,,,48.9,,NL,,R1,Benin,2018
139,A4060,Y9,190208,,,26.4,,IE,D10,,Benin,2018
140,,Y9,190813,,,298.56875,,NL,D9,,Benin,2018
141,A3180,Y10,130101,,,2.08,,LU,D10,,Benin,2018
142,A1180,Y10,130111,,,84.82,,PT,D10,,Benin,2018
143,A3180,Y10,150202,,,2.662,,IE,,R4,Benin,2018
144,A3180,Y10,160209,,,46.092,,DE,,R12,Benin,2018
145,A3180,Y10,160209,,,2545.82494,,FR,,R4,Benin,2018
146,A3180,Y10,160209,,,33.842,,LU,,R4,Benin,2018
147,A3180,Y10,170503,,,12.48,,ES,D10,,Benin,2018
148,A3190,Y11,70108,,,1639.33012,,NL,D10,,Benin,2018
149,,Y11,190117,,,2780.32,,NL,,R1,Benin,2018
150,A4070,Y12,60502,,,124.82,,FR,,R4,Benin,2018
151,A3050,Y12,70214,,,8.9,,NL,,R1,Benin,2018
152,A3050,Y12,70214,,,1054.42,,NL,D10,,Benin,2018
153,A4160,Y12,70310,,,2.292,,DE,,R7,Benin,2018
154,A4070,Y12,70601,,,52.5,,LU,D10,,Benin,2018
155,A4070,Y12,70601,,,11.74,,LU,D13,,Benin,2018
156,A3050,Y12,80111,,,251.12,,FR,,R1,Benin,2018
157,A3050,Y12,80111,,,131.58,,NL,,R1,Benin,2018
158,A4070,Y12,80111,,,1719.34,,FR,,R5,Benin,2018
