,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A1050,Y17,11 01 09*,Metal bearing hydroxide and filtercakes containing dangerous substances from chemical surface treatment,"H11,H12",300,,DE,,R4,Brazil,2018
1,A1180,"Y22,Y27,Y31",20 01 35*,Electronic boards,H11,480,SG,JP,,R4,Brazil,2018
2,A1180,"Y22,Y27,Y31",20 01 35*,Electronic boards,H11,480,SG,JP,,R4,Brazil,2018
3,A1180,"Y22,Y27,Y31",20 01 35*,Electronic boards,H11,700,SG,JP,,R4,Brazil,2018
4,A1180,"Y22,Y27,Y31",20 01 35*,Electronic boards,H11,700,SG,JP,,R4,Brazil,2018
5,A1020,Y31,,SnPb Residues,H12,250,,BE,,R4,Brazil,2018
6,A1020,Y22,,Cu mud,H12,100,,BE,,R4,Brazil,2018
7,A2030,Y17,7503.00.00,Spent Ni catalysts ,H4.2,45,,DE,,R4,Brazil,2018
8,A1020,"Y22,Y23",06 05 02*,Waste water sludge containing precious metals,H12,300,,BE,,R4,Brazil,2018
9,A2030,Y18,19 01 11*,"PGM ashes – waste of ashes from spent automotive catalyst containing precious metals from platinum group (Pd, Pt and Rh)",H8,5,DE,BE,,R4,Brazil,2018
10,A1020,Y18,19 01 17*,Sweeps Industry (jewelry and others) residues with precious metals,"H8,H6.1",95,,BE,,R4,Brazil,2018
11,A1020,Y18,19 01 17*,Sweeps Industry (jewelry and others) residues with precious metals,"H8,H6.1",5,DE,BE,,R4,Brazil,2018
12,A1020,Y18,01 03 07*,Spent Au on carbon containing precious metals,H12,500,"SN,ZM,MA,DE,GB",BE,,R4,Brazil,2018
13,A1170,Y18,16 06 05,End of life NiMH rechargeable batteries,H12,50,"SN,ZM,MA,DE,GB",BE,,R4,Brazil,2018
14,A1170,Y18,16 06 05,End of life Li-Ion rechargeable batteries,H12,400,"SN,ZM,MA,DE,GB",BE,,R4,Brazil,2018
15,A4090,Y18,06 07 04*,"Lab solutions – waste water from laboratory containing precious metals (gold, silver, nitrates, palladium, rhodium)",H8,8,"SN,ZM,MA,DE,GB",BE,,R4,Brazil,2018
16,A1180,Y18,16 02 15*,"Electronic scrap containing precious metals (Au bearing, cellphones without batteries, printed circuit boards, memory boards and processors scrap)",H12,2000,"SN,ZM,MA,DE,GB",BE,,R4,Brazil,2018
17,A1020,Y17,10 07 01,Slag form Au and Ag concentration,H8,50,"SN,ZM,MA,DE,GB",BE,,R4,Brazil,2018
18,A4160,Y18,06 13 02*,Carbon fines,,1200,"ES,GB,NL,DE",BE,,R4,Brazil,2018
19,A2030,Y18,16 08 02*,Exhausted catalyst containing Rhodium,,120,,BE,,R4,Brazil,2018
