,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A1160,"Y31,Y34",-,Lead-acid batteries,,100.0,,KR,,R4,Brunei Darussalam,2018
1,A1160,"Y31,Y34",-,Lead-acid batteries,,75.0,,KR,,R4,Brunei Darussalam,2018
2,A1160,"Y31,Y34",-,Lead-acid batteries,,75.0,,KR,,R4,Brunei Darussalam,2018
3,A1160,"Y31,Y34",-,Lead-acid batteries,,175.0,,KR,,R4,Brunei Darussalam,2018
4,A1160,"Y31,Y34",-,Lead-acid batteries,,75.0,,KR,,R4,Brunei Darussalam,2018
5,A1160,"Y31,Y34",-,Lead-acid batteries,,125.0,,KR,,R4,Brunei Darussalam,2018
6,A1160,"Y31,Y34",-,Lead-acid batteries,,75.0,,KR,,R4,Brunei Darussalam,2018
7,A1160,"Y31,Y34",-,Lead-acid batteries,,100.0,,KR,,R4,Brunei Darussalam,2018
8,A1160,"Y31,Y34",-,Lead-acid batteries,,125.0,,KR,,R4,Brunei Darussalam,2018
9,A1160,"Y31,Y34",-,Lead-acid batteries,,176.807,,KR,,R4,Brunei Darussalam,2018
10,A1160,"Y31,Y34",-,Lead-acid batteries,,132.011,,KR,,R4,Brunei Darussalam,2018
11,A1160,"Y31,Y34",-,Lead-acid batteries,,89.842,,KR,,R4,Brunei Darussalam,2018
12,A1160,"Y31,Y34",-,Lead-acid batteries,,45.756,,KR,,R4,Brunei Darussalam,2018
13,A1160,"Y31,Y34",-,Lead-acid batteries,,67.62,,KR,,R4,Brunei Darussalam,2018
14,A1160,"Y31,Y34",-,Lead-acid batteries,,44.997,,KR,,R4,Brunei Darussalam,2018
15,A1160,"Y31,Y34",-,Lead-acid batteries,,112.101,,KR,,R4,Brunei Darussalam,2018
16,A1160,"Y31,Y34",-,Lead-acid batteries,,89.803,,KR,,R4,Brunei Darussalam,2018
17,A1160,"Y31,Y34",-,Lead-acid batteries,,150.0,,KR,,R4,Brunei Darussalam,2018
18,A1160,"Y31,Y34",-,Lead-acid batteries,,125.0,,KR,,R4,Brunei Darussalam,2018
19,A1160,"Y31,Y34",-,Lead-acid batteries,,125.0,,KR,,R4,Brunei Darussalam,2018
20,A1160,"Y31,Y34",-,Lead-acid batteries,,125.0,,KR,,R4,Brunei Darussalam,2018
