,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",1281.0,,KR,,R4,Japan,2018
1,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",70.0,,KR,,R4,Japan,2018
2,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",1080.0, ,KR,,R4,Japan,2018
3,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",160.0, ,KR,,R4,Japan,2018
4,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",155.0,,KR,,R4,Japan,2018
5,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",162.0,,KR,,R4,Japan,2018
6,A1020,Y31,,copper dross,H11,22.0,,KR,,R4,Japan,2018
7,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",320.0,,KR,,R4,Japan,2018
8,"A1020,A1030","Y24,Y27,Y31",,lead ash,H11,160.0,,KR,,R4,Japan,2018
9,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",2088.0,,KR,,R4,Japan,2018
10,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",700.0,,KR,,R4,Japan,2018
11,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",100.0,,KR,,R4,Japan,2018
12,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",218.0,,KR,,R4,Japan,2018
13,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",415.0,,KR,,R4,Japan,2018
14,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",200.0,,KR,,R4,Japan,2018
15,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",534.2,,KR,,R4,Japan,2018
16,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",685.0,,KR,,R4,Japan,2018
17,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",440.0,,KR,,R4,Japan,2018
18,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",1810.0,,KR,,R4,Japan,2018
19,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",84.0,,KR,,R4,Japan,2018
20,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",600.0,,KR,,R4,Japan,2018
21,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",614.79,,KR,,R4,Japan,2018
22,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",330.0,,KR,,R4,Japan,2018
23,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",220.0,,KR,,R4,Japan,2018
24,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",396.0,,KR,,R4,Japan,2018
25,A1020,"Y22,Y31",,copper alloy ashes and residues,H11,350.0,,BE,,R4,Japan,2018
26,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",391.3,,KR,,R4,Japan,2018
27,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",100.0,,KR,,R4,Japan,2018
28,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",3623.0,,KR,,R4,Japan,2018
29,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",2508.0,,KR,,R4,Japan,2018
30,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",1460.0,,KR,,R4,Japan,2018
31,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",1328.0,,KR,,R4,Japan,2018
32,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",75.0,,KR,,R4,Japan,2018
33,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",840.0,,KR,,R4,Japan,2018
34,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",152.0,,KR,,R4,Japan,2018
35,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",22.0,,KR,,R4,Japan,2018
36,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",682.0,,KR,,R4,Japan,2018
37,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",980.0,,KR,,R4,Japan,2018
38,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",780.0,,KR,,R4,Japan,2018
39,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",150.0,,KR,,R4,Japan,2018
40,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",100.0,,KR,,R4,Japan,2018
41,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",300.0,,KR,,R4,Japan,2018
42,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",2650.0,,KR,,R4,Japan,2018
43,A1180,Y31,,waste electrical and electronic assembles or scrap,H11,119.0,,SG,,R4,Japan,2018
44,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",300.0,,KR,,R4,Japan,2018
45,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",955.0,,KR,,R4,Japan,2018
46,A1080,"Y22,Y23,Y31",,zinc copper ash ,H11,576.889,,KR,,R4,Japan,2018
47,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",3433.0,,KR,,R4,Japan,2018
48,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",200.0,,KR,,R4,Japan,2018
49,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",6580.0,,KR,,R4,Japan,2018
50,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",5120.0,,KR,,R4,Japan,2018
51,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",572.0,,KR,,R4,Japan,2018
52,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",330.0,,KR,,R4,Japan,2018
53,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",2842.0,,KR,,R4,Japan,2018
54,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",480.0,,KR,,R4,Japan,2018
55,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",3330.0,,KR,,R4,Japan,2018
56,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",4355.0,,KR,,R4,Japan,2018
57,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",4730.0,,KR,,R4,Japan,2018
58,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",45.0,,KR,,R4,Japan,2018
59,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",1240.0,,KR,,R4,Japan,2018
60,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",2162.0,,KR,,R4,Japan,2018
61,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",2327.0,,KR,,R4,Japan,2018
62,A1160,"Y31,Y34",,"waste lead-acid batteries, whole or crushed","H6.1,H11",2214.0,,KR,,R4,Japan,2018
63,A1080,"Y22,Y23,Y31",,zinc copper ash ,H11,225.96,,KR,,R4,Japan,2018
64,A1020,"Y27,Y31",,lead sulphate,H11,6000.0,,KR,,R4,Japan,2018
65,"A1020,A1030","Y24,Y27,Y31",,lead ash,H11,651.087,,KR,,R4,Japan,2018
66,A1020,Y31,,copper dross,H11,242.0,,KR,,R4,Japan,2018
67,A1020,Y31,,lead compounds,H11,227.0,,BE,,R4,Japan,2018
68,A1020,Y31,,lead compounds,H11,831.0,,BE,,R4,Japan,2018
69,A1080,"Y22,Y23,Y31",,zinc compounds,H11,733.0,,KR,,R4,Japan,2018
70,A2060,Y35,,coal fly ash,H11,40000.0,,TH,,R5,Japan,2018
71,A1070,"Y24,Y26,Y31",,zinc lead residues,H11,12199.391,,KR,,R4,Japan,2018
72,A1020,Y31,,lead compounds,H11,40.0,,BE,,R4,Japan,2018
73,A2060,Y35,,coal fly ash,H11,10000.0,,TH,,R5,Japan,2018
74,A1180,Y31,,waste electrical and electronic assembles or scrap,H11,112.0,,SG,,R4,Japan,2018
75,A1020,"Y22,Y31",,copper alloy ashes and residues,H11,930.0,,BE,,R4,Japan,2018
76,A1080,"Y22,Y23,Y31",,zinc copper ash,H11,274.0,,KR,,R4,Japan,2018
77,A1080,"Y22,Y23,Y31",,zinc copper ash ,H11,87.0,,KR,,R4,Japan,2018
