,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,,Y12,,USED TONER,,94.34,,TH,,"R1,R4,R5,R13",Malaysia,2018
1,,Y12,,USED TONER,,218.2,,CA,,R13,Malaysia,2018
2,A1160,,,LITIUM ION RECHARGEABLE BATTERIES,,1.0,,SG,,R4,Malaysia,2018
3,,Y6,,WASTE ORGANIC SOLVENT,,122.2,SG,GE,,R2,Malaysia,2018
4,A2060,,,ALUMINIUM DROSS,,1800.0,,JP,,R4,Malaysia,2018
5,A2060,,,ELECTRIC ARC FURNACE DUST,,7996.88,,KR,,R4,Malaysia,2018
6,A1180,Y22,,ELECTRONIC WASTE,,193.621,GE,BE,,R4,Malaysia,2018
7,A1180,Y22,,ELECTRONIC WASTE,,297.68,,JP,,R4,Malaysia,2018
8,A1180,Y22,,ELECTRONIC WASTE,,232.91,,TH,,R4,Malaysia,2018
9,A1180,Y22,,ELECTRONIC WASTE,,774.09,SG,US,,R4,Malaysia,2018
