,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A4010,"Y2,Y3",07 05 13*,Solid wastes containing dangerous substances,"H6.1,H12",160.19,"HR,SI",AT,D10,,Serbia,2018
1,A4010,,15 01 10*,Packaging containing residues of or contaminated by dangerous substances,,5.86,"HR,SI",AT,D10,,Serbia,2018
2,A4010,,15 02 02*,"Absorbents, filter materials, wiping cloths, protective clothing contaminated by dangerous substances",,0.078,"HR,SI",AT,D10,,Serbia,2018
3,A4010,,16 03 05*,Organic wastes containing dangerous substances,,27.38,"HR,SI",AT,D10,,Serbia,2018
4,A4010,Y2,16 03 05*,Organic wastes containing dangerous substances,H6.1,170.48,"CZ,HU,RO,SK",DE,D10,,Serbia,2018
5,A4010,,"16 05 06*
","Laboratory chemicals, consisting of or containing dangerous substances, including mixtures of laboratory chemicals",,3.71,"HR,SI",AT,D10,,Serbia,2018
6,A4010,,16 05 08*,Discarded organic chemicals consisting of orcontaining dangerous substances,,2.027,"HR,SI",AT,D10,,Serbia,2018
7,A4010,,18 01 08*,Cytotoxic and cytostatic medicines,,8.72,"HR,SI",AT,D10,,Serbia,2018
8,A1020,,10 04 01*,Slags from primary and secondary production,,1560.54,,BG,,R12,Serbia,2018
9,A1020,,19 12 11*,Other wastes (including mixtures of materials) from mechanical treatment of waste containing dangerous substances,,384.4,"CZ,HU,SK",DE,D10,,Serbia,2018
10,A1160,,16 06 01*,Lead batteries,H8,3434.45,HR,SI,,R4,Serbia,2018
11,A1160,,16 06 01*,Lead batteries,H8,2391.2,,HR,,R13,Serbia,2018
12,A2010,,16 02 15*,Hazardous components removed from discarded equipment,,991.06,"AT,HR,SI",DE,,R5,Serbia,2018
13,A2010,,16 02 15*,Hazardous components removed from discarded equipment,,284.18,"AT,HR,DE,SI",NL,,R5,Serbia,2018
14,A2030,,16 08 07*,Spent catalysts contaminated with dangerous substances,"H6.1,H8",71.4,,RO,,R2,Serbia,2018
15,A2030,,16 08 06*,Spent liquids used as catalysts,"H3,H8",179.3,,RO,,R2,Serbia,2018
16,A3020,Y8,13 01 10*,Mineral based non-chlorinated hydraulic oils,,16.81,,BG,,R9,Serbia,2018
