,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A4020,Y3,,"*MEDICAMENTOS CITOTÓXICOS Y CITOSTÁTICOS,  COD LER 180108-180207 ","H11,H6.1",396.54,,PT,D10,,Spain,2018
1,A4020,Y1,,"*BIOSANITARIO ESPECIAL, COD LER 180103-180202 ",H6.2,6.03,,PT,D10,,Spain,2018
2,A4010,Y45,,*TORTA DE DESTILACIÓN DE ÁCIDO ACÉTICO CON COMPUESTOS CONTENIENDO YODO CON COD LER 070507  ,H8,28.02,"FR,BE",DE,,R5,Spain,2018
3,A4160,Y45,,"* CARBÓN AGOTADO CON COMPUESTOS CONTENIENDO YODO,  COD LER 070509",H12,150.18,"FR,BE",DE,,R5,Spain,2018
4,A1170,Y26,,"*ACUMULADORES FUERA DE USO NIQUEL Y CADMIO , COD LER  160602",H8,192.11,,FR,,R4,Spain,2018
5,A1180,,,"*EQUIPOS ELÉCTRICOS Y ELECTRÓNICOS DESECHADOS QUE CONTIENEN COMPONENTES PELIGROSOS DISTINTOS DE LOS ESPECIFICADOS EN LOS CÓDIGOS 160209 AL 160212, COD LER 160213",,111.97,,FR,,"R4,R5,R12",Spain,2018
6,,Y33,,"*RESINAS INTERCAMBIADORAS DE IONES SATURADAS, COD LER 110116",H6.1,0.02,"FR,BE",DE,,R4,Spain,2018
7,,Y18,,"*LODOS COMPACTADOS Y DESHIDRATADOS, COD LER 190205",H12,29.87,"FR,BE",DE,,R4,Spain,2018
8,A3180,Y10,160209*  130301*  150202*,transformers and capacitors containing PCBs,H12,20.16,,FR,D10,,Spain,2018
9,A3180,Y10,160209*  130301*  150202*,transformers and capacitors containing PCBs,H12,68.88,,FR,D10,,Spain,2018
10,A1020,Y22,110202*,"sludges from zinc hydrometallurgy (including jarosite, goethite)",H12,1223.3,FR,BE,,R4,Spain,2018
11,A1020,Y22,110202*,copper cements,H12,541.01,FR,FR,,R4,Spain,2018
12,A1020,Y22,110202*,copper cements,H12,416.25,FR,FR,,R4,Spain,2018
13,,Y9,"
130703*",PELIGROSO,H3,4.0,,PT,,R9,Spain,2018
14,,Y3,"
180108*  180207*  180109",PELIGROSO Y NO PELIGROSO,"H11,H6.1",60.0,,PT,D10,,Spain,2018
15,,Y3,"
180108*  180207*  180109",PELIGROSO Y NO PELIGROSO,"H11,H6.1",60.0,,PT,D10,,Spain,2018
16,,Y3,"
180108* 180207*  180109",PELIGROSO Y NO PELIGROSO,"H11,H6.1",60.0,,PT,D10,,Spain,2018
17,,Y9,"
130703*",PELIGROSO,H3,24.0,,PT,,R9,Spain,2018
18,A4010,Y3,160504,"Gases en recipientes a 
presión (incluidos los halones) que contienen sustancias peligrosas.",,59.66,,GB,,R3,Spain,2018
19,,Y2,140601*,"Clorofluorocarbonos, HCFC, HFC.",,38.55,,GB,,R3,Spain,2018
20,A3140,,140603*,Otros disolventes y mezclas de disolventes.,,16.94,,FR,,R2,Spain,2018
21,A4130,Y36,150111*,Botellas de acetileno con masa porosa que puede contener amianto,,153.781,FR,DE,,R4,Spain,2018
22,,Y6,140603*,,H3,79.88,,PT,,R2,Spain,2018
23,,Y23,100207*,,H13,2294.68,,IT,,R4,Spain,2018
24,,Y43,160601*,,H8,155.66,,PT,,R4,Spain,2018
25,,Y1,180103*/ 180202*,,H6.2,232.82,,PT,D9,,Spain,2018
26,,Y1,180103*,,H6.2,3.545,,PT,D10,,Spain,2018
27,,Y1,180202*,,H6.2,2.741,,PT,D10,,Spain,2018
28,,Y3,180108*,,H11,2.741,,PT,D10,,Spain,2018
29,,Y3,180207*,,H11,3.608,,PT,D10,,Spain,2018
30,,Y1,180103*,,H6.2,44.062,,PT,D9,,Spain,2018
31,A2030,,160802*,Catalizadores usados,H13,606.5,,FR,,R8,Spain,2018
32,A3140,Y6,140603*,Disolvente orgánico no halogenado,H3,31.192,,PT,,R2,Spain,2018
