,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A1160,,160601*,Baterías de plomo,,24290.05,,FR,,R4,Sri Lanka,2018
1,A3020,,1302,Residuos de aceite de motor de trasmisión mecánica y de lubricantes,,221.19,,AD,,R9,Sri Lanka,2018
2,A3180,Y10,"160209* 
160213*
160210*",transformers and capacitors containing PCBs,,105.36,,FR,D9,,Sri Lanka,2018
3,A3180,Y10,160209*,transformers and capacitors containing PCBs,H11,64.02,FR,DE,,R5,Sri Lanka,2018
4,A3180,Y10,160209*,transformers and capacitors containing PCBs,H12,13.0,"SI,IT,FR",HR,,R4,Sri Lanka,2018
5,A3180,Y10,160209*,transformers and capacitors containing PCBs,H11,29.975,FR,DE,D9,,Sri Lanka,2018
6,,Y18,190205*,Lodos de tratamientos fisicoquímicos que contienen sustancias peligrosas,,181.18,,FR,D9,,Sri Lanka,2018
7,,Y35,161001*,Aguas básicas residuales,,198.32,,FR,D9,,Sri Lanka,2018
8,,Y18,161001*,Aguas sucias,,2531.78,,FR,"D9,D8,D5,D6",,Sri Lanka,2018
9,,Y9,160708*,Residuos de hidrocarburos,,456.86,,FR,"D9,D8",,Sri Lanka,2018
10,,Y34,161001*,Aguas ácidas,,94.0,,FR,D9,,Sri Lanka,2018
11,,Y35,161001*,Aguas básicas residuales,,31.28,,FR,D9,,Sri Lanka,2018
12,,Y35,161001*,Aguas básicas  ,,23.36,,FR,D9,,Sri Lanka,2018
13,,Y34,161001*,Ácidos residuales,,704.7,,FR,D9,,Sri Lanka,2018
14,,Y9,160708*,Residuos de hidrocarburos,,530.94,,FR,"D9,D8",,Sri Lanka,2018
15,,Y6,150110*,Envases que han contenido sustancias peligrosas,,16.51,,FR,,"R4,R5",Sri Lanka,2018
16,,Y32,060205*,Otras bases,,138.4,,FR,D9,,Sri Lanka,2018
17,,Y35,161001*,Aguas básicas residuales,,19.02,,FR,"D8,D9",,Sri Lanka,2018
18,Y46,,191210*,Residuo combustible,,44.24,,GB,,R1,Sri Lanka,2018
19,,Y6,150110*,Envases que han contenido sustancias peligrosas,,125.65,,FR,,"R4,R5",Sri Lanka,2018
20,,Y4,150110*,Envases que han contenido sustancias peligrosas,,390.34,,FR,,"R4,R5",Sri Lanka,2018
21,,Y2,150110*,Envases que han contenido sustancias peligrosas,,65.87,,FR,,"R4,R5",Sri Lanka,2018
22,A4130,,150110,ENVASOS QUE CONTENEN RESTES DE SUBSTANCIES PERILLOSES,,33.13,FR,DE,,R3,Sri Lanka,2018
23,A4130,,150110,ENVASOS CONTAMINATS,,412.19,FR,DE,,R3,Sri Lanka,2018
24,A4130,,150110,ENVASOS QUE CONTENEN RESTES DE SUBSTANCIES PERILLOSES,,148.52,FR,DE,,R3,Sri Lanka,2018
25,A4060,Y9,160107,FILTRES D'OLI,,19.28,,FR,,R4,Sri Lanka,2018
26,A4130,Y18,150110,ENVASOS BRUTS,,1.56,,FR,,R3,Sri Lanka,2018
27,A4130,Y2,150110,ENVASOS AMB SUBSTÀNCIES PERILLOSES,,123.82,,FR,,R3,Sri Lanka,2018
28,A4130,Y23,150110,ENVASOS CONTAMINATS,,16.896,,FR,,R3,Sri Lanka,2018
29,A4130,Y18,150110,ENVASOS BRUTS,,4.984,,FR,,R3,Sri Lanka,2018
30,A4130,Y18,150110,BIDONS BRUTS,,48.69,,FR,,R3,Sri Lanka,2018
31,A4130,Y6,150110,ENVASOS BRUTS,,52.362,,FR,,R3,Sri Lanka,2018
32,A4130,Y18,150110,ENVASOS QUE CONTENEN SUBSTÀNCIES PERILLOSES,,19.913,,FR,,R3,Sri Lanka,2018
33,A3140,Y42,070504,DISSOLVENTS NO HALOGENATS,,20.46,,FR,,R2,Sri Lanka,2018
