,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A4020,Y1   ,18 01 03*,wastes whose collection and disposal is subject to special requirements in order to prevent infection,H6.2,21.76,,NO,D10,,Switzerland,2018
1,A4020,Y1   ,18 01 03*,wastes whose collection and disposal is subject to special requirements in order to prevent infection,H6.2,48.66,,NO,D10,,Switzerland,2018
2,A4020,Y1   ,18 01 03*,wastes whose collection and disposal is subject to special requirements in order to prevent infection,H6.2,59.94,,NO,D10,,Switzerland,2018
3,A4020,Y1   ,"18 01 02, 18 01 03*, 18 01 08*","body parts and organs including blood bags and blood preserves (except 18 01 03), cytotoxic and cytostatic medicines, sharps (except 18 01 03), wastes whose collection and disposal is subject to special requirements in order to prevent infection",H6.2,98.72,,NO,D10,,Switzerland,2018
4,A4020,Y1   ,18 01 03*,wastes whose collection and disposal is subject to special requirements in order to prevent infection,H6.2,133.68,,NO,D10,,Switzerland,2018
5,A4020,Y1   ,"18 01 02, 18 01 03*, 18 01 08*","body parts and organs including blood bags and blood preserves (except 18 01 03), cytotoxic and cytostatic medicines, sharps (except 18 01 03), wastes whose collection and disposal is subject to special requirements in order to prevent infection",H6.2,459.368,,NO,D10,,Switzerland,2018
6,A4020,Y1   ,"18 01 03*, 18 01 08*, 18 02 02*","cytotoxic and cytostatic medicines, wastes whose collection and disposal is subject to special requirements in order to prevent infection, wastes whose collection and disposal is subject to special requirements in order to prevent infection",H6.2,493.656,,NO,D10,,Switzerland,2018
7,A4020,"Y1,Y2,Y3",18 01 08*,cytotoxic and cytostatic medicines,H_,16.6,"BE,DE,ES,GB,IT,LT",LB,D10,,Switzerland,2018
8,A4010,Y2,"07 05 03*, 07 05 07*, 07 05 13*, 07 05 14","halogenated still bottoms and reaction residues, organichalogenated solvents, washing liquids and mother liquors, solid wastes containing dangerous substances, solid wastes other than those mentioned in 07 05 13",H12,397.56,,NO,,R1,Switzerland,2018
9,A4010,Y2,"07 05 03*, 07 05 07*, 07 05 13*, 07 05 14","halogenated still bottoms and reaction residues, organichalogenated solvents, washing liquids and mother liquors, solid wastes containing dangerous substances, solid wastes other than those mentioned in 07 05 13",H12,514.66,,NO,,R1,Switzerland,2018
10,A2030,"Y2,Y23",16 08 02*,spent catalysts containing dangerous transition metals (3) or dangerous transition metal compounds,"H4.1,H4.3",7.0,GB,IE,D10,,Switzerland,2018
11,A4010,Y3,"18 01 09, 20 01 32","medicines other than those mentioned in 18 01 08, medicines other than those mentioned in 20 01 31",H6.1,14.2,,FI,D10,,Switzerland,2018
12,A4030,Y4,"02 01 08*, 07 04 03*, 07 04 10*, 07 04 11*, 07 04 13*, 07 05 13*, 20 01 19*","agrochemical waste containing dangerous substances, organichalogenated solvents, washing liquids and mother liquors, other filter cakes and spent absorbents, pesticides, sludges from on-site effluent treatment containing dangerous substances, solid wastes containing dangerous substances, solid wastes containing dangerous substances","H11,H3,H4.2,H6.1,H8",31.037,"BE,DE,DK,ES,FR,GB,IL,IT,LT,LT,NO,PT",GR,D10,,Switzerland,2018
13,A4030,Y4,"02 01 08*, 15 01 10*, 15 02 02*, 20 01 19*","absorbents, filter materials (including oil filters not otherwise specified), wiping cloths, protective clothing contaminated by dangerous substances, agrochemical waste containing dangerous substances, packaging containing residues of or contaminated by dangerous substances, pesticides",H_,212.881,"BE,DE,ES,GB,LT,LT",MW,D10,,Switzerland,2018
14,A4030,Y4,20 01 19*,pesticides,H6.1,10.62,,NO,D10,,Switzerland,2018
