,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A4020,Y1,180108*,Cytotoxic and cytostatic medicines,H6.2,1.956,-,ES,D10,,Andorra,2019
1,A4010,Y3,"200132,180109,180208",Expired medicines,,7.705,-,ES,"D9,D5",,Andorra,2019
2,A3020,Y8,1302XX,Mineral oils,H12,242.79,-,ES,,"R13,R9",Andorra,2019
3,,Y9,190205*,sludges from physico/chemical treatment containing dangerous substances,H13,93.09,-,ES,D5,,Andorra,2019
4,A4060,Y9,190207*,Oils and concentrates of Tanks,H3,100.0,-,ES,,R3,Andorra,2019
5,A4130,Y12,150110*,contaminated packaging,H13,42.988,-,ES,"D15,D10","R13,R3,R4",Andorra,2019
6,A3050,Y13,"070216*,080409*",Adhesives and silicones,"H11,H3",0.688,-,ES,"D15,D10",,Andorra,2019
7,A4070,Y12,080312*,Printing inks,H3,1.033,-,ES,"D9,D15,D10",,Andorra,2019
8,"A3050,A4070","Y12,Y13,Y18","200127*,080111*,080119*","Paintings, inks, adhesives and resins","H3,H11,H13",59.535,-,ES,"D9,D15,D10","R13,R12,R1",Andorra,2019
9,A4140,Y16,"090101*,090102*,090103*,090104*,090105*",Photographic waste,"H3,H11,H13",2.933,-,ES,"D9,D10",,Andorra,2019
10,,Y16,90107.090108000004,photolits,H13,1.503,-,ES,"D15,D5",R13,Andorra,2019
11,A1010,Y17,120117,Abrasive materials,,1.558,-,ES,"D15,D5",,Andorra,2019
12,A4140,Y18,200129*,Detergents,"H8,H13",0.929,-,ES,"D9,D5",,Andorra,2019
13,A4140,Y18,150202*,Absorbents and filtration materials,H13,29.282,-,ES,"D15,D10","R13,R3",Andorra,2019
14,,Y18,"170503*,170504",Contaminated land,H13,97.7,-,ES,D5,,Andorra,2019
15,A4110,Y18,161105*,Waste of refractory material,H12,22.08,-,ES,D5,,Andorra,2019
16,A3040,Y18,120109*,Taladrina and other emulsions and dissolutions of mechanization,H13,4.842,-,ES,"D9,D10",,Andorra,2019
17,A1180,Y29,200121*,Fluorescent tubes and tubes,H12,10.04,-,ES,D5,"R12,R5,R4",Andorra,2019
18,A1030,Y29,200133*,Batteries,H12,5.828,-,ES,,"R12,R4",Andorra,2019
19,A1160,Y31,160601*,Batteries,H8,193.66,-,ES,D9,"R13,R4,R6",Andorra,2019
20,,Y32,160213*,Equipment with SF6,H12,3.835,-,ES,"D15,D10",,Andorra,2019
21,A4090,Y34,"200114*,060101*,060102*,060103*,060104*,060105*,060106*",Acids and acidic aqueous solutions,"H8,H13",1.979,-,ES,"D9,D5",,Andorra,2019
22,A4140,"Y18,Y34","160506*,160507*,160509",Reactive laboratories ,"H8,H11,H13",3.79,-,ES,"D9,D15,D10",,Andorra,2019
23,A4090,Y35,"200115*,060201*,060203*,060204*,060205*","Bases, alkalis and basic aqueous solutions","H8,H13",0.62,-,ES,"D9,D5",,Andorra,2019
24,A2050,Y36,"160111*,170601*,170605*",Asbests,H11,53.54,-,ES,D5,,Andorra,2019
25,A3150,Y41,"140602*,140604*,200113*",Halogenated solvents,"H3,H13",5.584,-,ES,"D15,D10","R13,R2",Andorra,2019
26,A3140,Y42,"140603*,200113*,140605*",Non-halogenated solvents and other similar waste,"H3,H13",7.674,-,ES,"D15,D10","R13,R2",Andorra,2019
27,A3140,Y42,160113*,Brake fluids,H13,6.18,-,ES,"D15,D10",,Andorra,2019
28,A3140,Y42,160114*,Hazardous antifreeze,H13,14.508,-,ES,"D15,D10",,Andorra,2019
29,A1180,"Y45,Y21",200123*,Refrigerators,H13,169.831,-,ES,"D15,D10","R12,R3,R4,R5,R9,R1",Andorra,2019
30,A4140,Y45,140601*,"Coolant gases (chlorofluorocarbons, HCFC, HFC)",H13,2.148,-,ES,,"R13,R4,R3,R1",Andorra,2019
31,A4130,"Y12,Y18,Y35,Y45","160504*,150111*",Aerosols and gases in pressure containers,H3,45.518,-,ES,,"R13,R4,R3,R1",Andorra,2019
32,A1180,"Y20,Y22,Y25,Y27,Y29,Y31,Y45",200135*,WEEE,H12,68.281,-,ES,,"R12,R4",Andorra,2019
33,Y47,,190113*,Ashes,H12,1433.92,-,ES,D5,,Andorra,2019
34,Y47,,190113*,Ashes,H12,179.5,-,FR,D5,,Andorra,2019
