,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A2030,,16 08 02,catalysts,H11,979.5,DE,BE,,R8,Azerbaijan,2019
1,A1010,Y29,18 01 10,amalgam,H12,9.9,DE,DK,,R4,Azerbaijan,2019
2,A2030,,16 08 02,catalysts,H6.1,4531.4,DE,FI,,R8,Azerbaijan,2019
3,,,12 01 14,metal sludge,H12,19.7,DE,FR,,R4,Azerbaijan,2019
4,A1010,Y29,18 01 10,amalgam,H12,3.4,DE,FR,,R4,Azerbaijan,2019
5,A4100,Y21,10 02 07,steelmill dust,H11,192.7,,IT,D9,,Azerbaijan,2019
6,A4100,,10 12 09,gas cleaning residues,H12,429.7,,IT,D1,,Azerbaijan,2019
7,A1060,Y17,11 01 05,etching solutions,H8,6698.9,,IT,,R4,Azerbaijan,2019
8,A4130,Y18,15 01 10,packaging with residues,H12,419.2,,IT,,R12,Azerbaijan,2019
9,A4130,Y18,15 01 10,packaging with residues,H12,69.1,,IT,,R4,Azerbaijan,2019
10,A2010,Y31,16 02 15,monitor glass,H11,266.1,,IT,,R5,Azerbaijan,2019
11,A2030,,16 08 02,catalysts,H11,465.4,,IT,,R8,Azerbaijan,2019
12,,Y18,17 02 04,railway sleepers,H11,1270.5,,IT,,R12,Azerbaijan,2019
13,,Y18,17 03 01,tar vwaste,H11,42.9,,IT,D10,,Azerbaijan,2019
14,,Y32,17 05 03,contaminated soil,H11,3016.7,,IT,D9,,Azerbaijan,2019
15,A4100,Y18,19 01 05,flue gas cleaning residues,H12,8416.3,,IT,D9,,Azerbaijan,2019
16,A4100,Y18,19 01 13,fly ash,H6.1,242.0,,IT,D9,,Azerbaijan,2019
17,,Y18,19 02 04,premixed wastes,H13,11866.1,,IT,D10,,Azerbaijan,2019
18,,Y18,19 02 04,premixed wastes,H12,1651.4,,IT,D9,,Azerbaijan,2019
19,,Y18,19 02 04,premixed wastes,H12,140.7,,IT,,R12,Azerbaijan,2019
20,,Y18,19 02 04,premixed wastes,H12,404.6,,IT,,R3,Azerbaijan,2019
21,A4060,Y9,19 02 07,oils,H12,303.3,,IT,D9,,Azerbaijan,2019
22,,Y18,19 02 08,solvent mixture,H3,62.3,,IT,,R12,Azerbaijan,2019
23,,Y18,19 02 08,fuel substitute,H3,1370.7,,IT,,R1,Azerbaijan,2019
24,,Y18,19 02 09,premixed wastes,H4.1,2183.5,,IT,D10,,Azerbaijan,2019
25,,Y18,19 02 09,premixed wastes,H4.1,15423.4,,IT,,R1,Azerbaijan,2019
26,,Y18,19 03 04,stabilzed wastes,H12,1902.1,,IT,D1,,Azerbaijan,2019
27,,Y18,19 03 04,stabilzed wastes,H12,1057.3,,IT,D10,,Azerbaijan,2019
28,,Y18,19 03 04,stabilzed wastes,H12,1459.6,,IT,D9,,Azerbaijan,2019
29,,Y18,19 12 11,premixed wastes,H4.1,3886.8,,IT,D10,,Azerbaijan,2019
30,,Y18,19 12 11,premixed wastes,H12,3942.8,,IT,D9,,Azerbaijan,2019
31,,Y18,19 12 11,premixed wastes,H12,3681.6,,IT,,R12,Azerbaijan,2019
32,,Y18,19 12 11,premixed wastes,H12,3262.5,,IT,,R3,Azerbaijan,2019
33,A4130,Y18,19 12 11,premixed wastes,H12,433.5,,IT,,R4,Azerbaijan,2019
34,,Y18,19 02 04,premixed wastes,H4.1,34.1,"RO,HU",BG,D10,,Azerbaijan,2019
35,A2030,,16 08 02,catalysts,H4.2,3229.8,"RO,HU",BG,,R4,Azerbaijan,2019
36,A2030,,16 08 02,catalysts,H4.2,5981.4,CZ,PL,,R4,Azerbaijan,2019
37,A1060,Y34,11 01 05,etching solutions,H8,66.4,,CZ,,R4,Azerbaijan,2019
38,,,12 01 14,metal sludge,H12,39.9,,CZ,,R4,Azerbaijan,2019
39,A1160,Y41,15 02 02,activated carbon,H11,677.9,,CZ,,R7,Azerbaijan,2019
40,A1190,Y31,17 04 09,cable wste,H11,856.5,DE,NL,,R4,Azerbaijan,2019
41,,,10 01 04,vanadium ash,H6.1,346.2,DE,NL,,R4,Azerbaijan,2019
42,A4030,Y4,02 01 08,chemicals,H6.1,15.9,SI,HR,D10,,Azerbaijan,2019
43,A4130,Y6,04 02 14,solvents,H3,470.3,SI,HR,D10,,Azerbaijan,2019
44,A4090,Y2,06 01 01 ,chemicals,H8,189.5,SI,HR,D10,,Azerbaijan,2019
45,A4070,Y34,06 01 01,acids,H8,593.4,SI,HR,D9,,Azerbaijan,2019
46,A4090,Y35,06 02 01,chemicals,H8,71.6,SI,HR,D10,,Azerbaijan,2019
47,A4090,Y35,06 02 03,bases,H8,23.8,SI,HR,D9,,Azerbaijan,2019
48,A1160,Y6,06 13 02,activated carbon,H6.1,119.8,SI,HR,,R7,Azerbaijan,2019
49,A4130,Y6,07 01 04,solvents,H3,146.6,SI,HR,D10,,Azerbaijan,2019
50,A4010,Y2,07 05 11,production residues,H3,15.9,SI,HR,D10,,Azerbaijan,2019
51,A4100,Y23,10 02 07,steelmill dust,H12,131.9,SI,HR,D1,,Azerbaijan,2019
52,A1060,Y34,11 01 05,etching solutions,H8,203.5,SI,HR,,R4,Azerbaijan,2019
53,A4090,Y34,11 01 05,acids,H8,114.7,SI,HR,,R6,Azerbaijan,2019
54,A4130,Y18,15 01 10,packaging with residues,H3,2.2,SI,HR,D10,,Azerbaijan,2019
55,A4130,Y12,15 01 10,packaging with residues,H4.1,602.0,SI,HR,,R4,Azerbaijan,2019
56,A4010,Y18,16 05 06,chemicals,H6.1,106.6,SI,HR,D9,,Azerbaijan,2019
57,A4010,Y21,16 05 06,chemicals,H3,9.5,SI,HR,D10,,Azerbaijan,2019
58,A4140,Y18,16 05 06,chemicals,H3,13.3,SI,HR,D10,,Azerbaijan,2019
59,A1160,Y31,16 06 01,LAB,H8,182.8,SI,HR,,R4,Azerbaijan,2019
60,,Y18,19 02 04,premixed wastes,H3,1858.0,SI,HR,D10,,Azerbaijan,2019
61,,Y31,19 02 05,C/P sludge,H11,24.6,SI,HR,D1,,Azerbaijan,2019
62,A4130,Y18,19 02 08,solvents,H3,60.3,SI,HR,D10,,Azerbaijan,2019
63,,Y18,19 02 08,solvents,H3,654.0,SI,HR,D10,,Azerbaijan,2019
64,,Y18,19 02 09,premixed wastes,H12,255.9,SI,HR,D10,,Azerbaijan,2019
65,,Y18,19 12 11,premixed wastes,H4.1,212.6,SI,HR,,R4,Azerbaijan,2019
66,,Y18,19 12 11,premixed wastes,H4.1,4825.1,SI,HR,D10,,Azerbaijan,2019
67,A1060,Y17,06 03 13,concentrates,H8,155.8,,DE,,R4,Azerbaijan,2019
68,A1060,Y34,11 01 05,etching solutions,H8,65.5,,DE,,R5,Azerbaijan,2019
69,A1060,Y17,11 01 05,etching solutions,H8,829.12,,DE,,R4,Azerbaijan,2019
70,,,12 01 14,metal sludge,H11,13.8,,DE,,R4,Azerbaijan,2019
71,,Y17,12 01 18,metal sludge,H12,262.6,,DE,,R4,Azerbaijan,2019
72,A4160,Y41,15 02 02,activated carbon,H11,369.7,,DE,,R7,Azerbaijan,2019
73,A1180,Y45,16 02 11,CFC containing equipment,H12,1073.8,,DE,,R4,Azerbaijan,2019
74,A1180,,16 02 13,E-waste,H13,18661.4,,DE,,R4,Azerbaijan,2019
75,,,16 05 07,chemicals,H13,0.6,,DE,,R4,Azerbaijan,2019
76,A1160,Y31,16 06 01,LAB,H8,459.7,,DE,,R4,Azerbaijan,2019
