,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A1010,Y1,"Clinical wastes from medical care in hospitals, medical centres, and clinics",Ecotoxic: Substances or wastes which if released present or may present immediate or delayed adverse impacts to the environment by means of bioaccumulation and/or toxic effects upon biotic systems.,,30.042,DE,AT,,R13,Canada,2019
1,A1010,Y1,"Clinical wastes from medical care in hospitals, medical centres, and clinics",Ecotoxic: Substances or wastes which if released present or may present immediate or delayed adverse impacts to the environment by means of bioaccumulation and/or toxic effects upon biotic systems.,,30.042,BE,AT,,R13,Canada,2019
2,A1010,Y1,"Clinical wastes from medical care in hospitals, medical centres, and clinics",Ecotoxic: Substances or wastes which if released present or may present immediate or delayed adverse impacts to the environment by means of bioaccumulation and/or toxic effects upon biotic systems.,,67.74,BE,AT,,R4,Canada,2019
3,A1010,Y1,"Clinical wastes from medical care in hospitals, medical centres, and clinics",Ecotoxic: Substances or wastes which if released present or may present immediate or delayed adverse impacts to the environment by means of bioaccumulation and/or toxic effects upon biotic systems.,,67.74,DE,AT,,R4,Canada,2019
4,A1010,Y26,"Cadmium, cadmium compounds","Capable, by any means, after disposal, of yielding another material, e.g., leachate, which possesses any of the characteristics listed above.",,75.976,,US,,R4,Canada,2019
5,A1010,Y29,"Mercury, mercury compounds","Capable, by any means, after disposal, of yielding another material, e.g., leachate, which possesses any of the characteristics listed above.",,24.16,,US,D9,,Canada,2019
6,A1010,Y29,"Mercury, mercury compounds","Corrosives: Substances or wastes which, by chemical action, will cause severe damage when in contact with living tissue, or, in the case of leakage, will materially damage, or even destroy, other goods or the means of transport; they may also cause other hazards.",,2.059,,US,,R4,Canada,2019
7,A1010,Y31,"Lead, lead compounds","Capable, by any means, after disposal, of yielding another material, e.g., leachate, which possesses any of the characteristics listed above.",,308.945,,US,,R4,Canada,2019
8,A1010,Y35,Basic solutions or bases in solid form,"Corrosives: Substances or wastes which, by chemical action, will cause severe damage when in contact with living tissue, or, in the case of leakage, will materially damage, or even destroy, other goods or the means of transport; they may also cause other hazards.",,0.716,,US,,R4,Canada,2019
9,A1020,Y20,"Beryllium, beryllium compounds","Substances or wastes which, in contact with water, emit flammable gases: Substances or wastes which, by interaction with water, are liable to become spontaneously flammable or to give off flammable gases in dangerous quantities.",,10430.329,,US,,R4,Canada,2019
10,A1020,Y23,Zinc compounds,Ecotoxic: Substances or wastes which if released present or may present immediate or delayed adverse impacts to the environment by means of bioaccumulation and/or toxic effects upon biotic systems.,,7.766,,US,,R4,Canada,2019
11,A1020,Y26,"Cadmium, cadmium compounds",Ecotoxic: Substances or wastes which if released present or may present immediate or delayed adverse impacts to the environment by means of bioaccumulation and/or toxic effects upon biotic systems.,,1479.307,US,MX,,R4,Canada,2019
12,A1020,Y26,"Cadmium, cadmium compounds",Ecotoxic: Substances or wastes which if released present or may present immediate or delayed adverse impacts to the environment by means of bioaccumulation and/or toxic effects upon biotic systems.,,713.266,US,KR,,R4,Canada,2019
13,A1020,Y26,"Cadmium, cadmium compounds",Ecotoxic: Substances or wastes which if released present or may present immediate or delayed adverse impacts to the environment by means of bioaccumulation and/or toxic effects upon biotic systems.,,348.278,,US,D5,,Canada,2019
14,A1020,Y26,"Cadmium, cadmium compounds","Corrosives: Substances or wastes which, by chemical action, will cause severe damage when in contact with living tissue, or, in the case of leakage, will materially damage, or even destroy, other goods or the means of transport; they may also cause other hazards.",,56.205,,US,,R4,Canada,2019
15,A1020,Y27,"Antimony, antimony compounds","Capable, by any means, after disposal, of yielding another material, e.g., leachate, which possesses any of the characteristics listed above.",,20.221,,BE,,R4,Canada,2019
16,A1020,Y31,"Lead, lead compounds",Poisonous (acute): Substances or wastes liable either to cause death or serious injury or to harm health if swallowed or inhaled or by skin contact.,,2556.745,BE,DE,,R4,Canada,2019
17,A1020,Y31,"Lead, lead compounds",Ecotoxic: Substances or wastes which if released present or may present immediate or delayed adverse impacts to the environment by means of bioaccumulation and/or toxic effects upon biotic systems.,,3134.88,US,MX,,R4,Canada,2019
18,A1020,Y31,"Lead, lead compounds",Poisonous (acute): Substances or wastes liable either to cause death or serious injury or to harm health if swallowed or inhaled or by skin contact.,,1361.341,GB,BE,,R4,Canada,2019
19,A1020,Y31,"Lead, lead compounds","Flammable liquids: Liquids, or mixtures of liquids, or liquids containing solids in solution or suspension which give off a flammable vapour at temperatures of not more than 60.5ºC, closed-cup test, or not more than 65.6ºC, open-cup test.",,36.112,,US,D10,,Canada,2019
20,A1020,Y31,"Lead, lead compounds",Ecotoxic: Substances or wastes which if released present or may present immediate or delayed adverse impacts to the environment by means of bioaccumulation and/or toxic effects upon biotic systems.,,6153.854,,US,,R4,Canada,2019
21,A1020,Y31,"Lead, lead compounds",Poisonous (acute): Substances or wastes liable either to cause death or serious injury or to harm health if swallowed or inhaled or by skin contact.,,2572.365,GB,DE,,R4,Canada,2019
22,A1020,Y31,"Lead, lead compounds","Capable, by any means, after disposal, of yielding another material, e.g., leachate, which possesses any of the characteristics listed above.",,49.94,,US,,R_,Canada,2019
23,A1020,Y31,"Lead, lead compounds",Poisonous (acute): Substances or wastes liable either to cause death or serious injury or to harm health if swallowed or inhaled or by skin contact.,,101.842,,BE,,R4,Canada,2019
24,A1020,Y31,"Lead, lead compounds",Ecotoxic: Substances or wastes which if released present or may present immediate or delayed adverse impacts to the environment by means of bioaccumulation and/or toxic effects upon biotic systems.,,172.11,,US,D5,,Canada,2019
25,A1020,Y31,"Lead, lead compounds","Capable, by any means, after disposal, of yielding another material, e.g., leachate, which possesses any of the characteristics listed above.",,18.322,,US,D3,,Canada,2019
26,A1020,Y32,"Inorganic fluorine compounds, excluding calcium fluoride","Capable, by any means, after disposal, of yielding another material, e.g., leachate, which possesses any of the characteristics listed above.",,1323.3,,US,,R4,Canada,2019
27,A1020,Y35,Basic solutions or bases in solid form,"Corrosives: Substances or wastes which, by chemical action, will cause severe damage when in contact with living tissue, or, in the case of leakage, will materially damage, or even destroy, other goods or the means of transport; they may also cause other hazards.",,0.465,,US,,R4,Canada,2019
28,A1030,Y24,"Arsenic, arsenic compounds",Poisonous (acute): Substances or wastes liable either to cause death or serious injury or to harm health if swallowed or inhaled or by skin contact.,,101.397,,US,D10,,Canada,2019
29,A1030,Y29,"Mercury, mercury compounds",Poisonous (acute): Substances or wastes liable either to cause death or serious injury or to harm health if swallowed or inhaled or by skin contact.,,15.517,,US,D10,,Canada,2019
30,A1030,Y18,Residues arising from industrial waste-disposal operations,"Capable, by any means, after disposal, of yielding another material, e.g., leachate, which possesses any of the characteristics listed above.",,2.107,,US,,R4,Canada,2019
31,A1030,Y29,"Mercury, mercury compounds",Ecotoxic: Substances or wastes which if released present or may present immediate or delayed adverse impacts to the environment by means of bioaccumulation and/or toxic effects upon biotic systems.,,4.453,,US,,R4,Canada,2019
32,A1040,Y21,Hexavalent chromium compounds,Poisonous (acute): Substances or wastes liable either to cause death or serious injury or to harm health if swallowed or inhaled or by skin contact.,,112.666,,US,D10,,Canada,2019
33,A1040,Y21,Hexavalent chromium compounds,Ecotoxic: Substances or wastes which if released present or may present immediate or delayed adverse impacts to the environment by means of bioaccumulation and/or toxic effects upon biotic systems.,,356.95,,US,,R4,Canada,2019
34,A1040,Y17,Wastes resulting from the surface treatment of metals and plastics,"Corrosives: Substances or wastes which, by chemical action, will cause severe damage when in contact with living tissue, or, in the case of leakage, will materially damage, or even destroy, other goods or the means of transport; they may also cause other hazards.",,32.757,,US,,R4,Canada,2019
35,A1080,Y23,Zinc compounds,Ecotoxic: Substances or wastes which if released present or may present immediate or delayed adverse impacts to the environment by means of bioaccumulation and/or toxic effects upon biotic systems.,,11266.229,,US,,R4,Canada,2019
36,A1110,Y22,Copper compounds,"Corrosives: Substances or wastes which, by chemical action, will cause severe damage when in contact with living tissue, or, in the case of leakage, will materially damage, or even destroy, other goods or the means of transport; they may also cause other hazards.",,16.5,,US,,R4,Canada,2019
37,A1130,Y34,Acidic solutions or acids in solid form,"Corrosives: Substances or wastes which, by chemical action, will cause severe damage when in contact with living tissue, or, in the case of leakage, will materially damage, or even destroy, other goods or the means of transport; they may also cause other hazards.",,794.224,,US,,R_,Canada,2019
