,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,,y_,16 03 06,Mixed waste,,26.94,,HU,,R1,Croatia,2019
1,,y_,16 03 06,Mixed waste,,5.8,,HU,,R1,Croatia,2019
2,,y_,19 02 03,Mixed waste,,1186.62,SI,AT,,R1,Croatia,2019
3,,y_,19 02 03,Mixed waste,,1447.12,SI,AT,,R1,Croatia,2019
4,,y_,19 08 01,Mixed waste,,975.78,SI,AT,,R1,Croatia,2019
5,,y_,19 12 04,Mixed waste,,902223.0,SI,AT,,R3,Croatia,2019
6,,y_,19 12 04,Mixed waste,,269584.0,SI,AT,,R3,Croatia,2019
7,,y_,19 12 04,Mixed waste,,156.47,SI,AT,,R3,Croatia,2019
8,,y_,19 12 10,Mixed waste,,2021.82,,BA,,R1,Croatia,2019
9,,y_,19 12 10,Mixed waste,,359.66,HU,SK,,R1,Croatia,2019
10,,y_,19 12 12,Mixed waste,,273.02,SI,AT,,R1,Croatia,2019
11,,y_,19 12 12,Mixed waste,,219.65,SI,AT,,R1,Croatia,2019
12,,y_,19 12 12,Mixed waste,,892.48,SI,AT,,R1,Croatia,2019
13,,y_,19 12 12,Mixed waste,,735.86,SI,AT,,R1,Croatia,2019
14,,"Y12,Y13,Y17,Y18",19 12 11*,Mixed waste,"H4.1,H13",453.71,SI,AT,D10,,Croatia,2019
15,,"Y12,Y18",19 12 11*,"HP14, HP3,mixed waste","H4.1,H12,H13",1502.8,SI,AT,D10,,Croatia,2019
16,,"Y12,Y18",19 12 11*,"HP14, mixed waste","H4.1,H12",22.7,"SI,AT,DE",BE,,"R1,R12",Croatia,2019
17,,"Y12,Y18",19 12 11*,"HP14, HP3, mixed waste","H4.1,H12,H13",149.12,SI,AT,D10,,Croatia,2019
18,,Y17,11 03 01*,,H6.1,17.88,"SI,AT",DE,D12,,Croatia,2019
