,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,,Y3,20 01 32,Waste pharmaceuticals,H_,63.46,,DE,D10,,Finland,2019
1,A4010,Y3,"18 01 09, 20 01 32",Waste pharmaceuticals,H6.1,112.22,,SE,D10,,Finland,2019
2,,Y5,19 12 06*,Treated wood wastes,H12,30439.9,,DE,,R1,Finland,2019
3,A2030,Y6,16 08 07*,Waste catalyst (amber),H3,30.0,,DE,,R4,Finland,2019
4,A4070,Y12,19 12 11*,Paint and pigment waste,H3,98.92,,DE,D10,,Finland,2019
5,A4070,Y12,"08 01 11*, 20 01 27*",Paint and pigment waste,"H3,H4.1",437.4,SE,NO,,"R12,R1",Finland,2019
6,A4070,Y12,"08 01 11*, 20 01 27*",Paint and pigment waste,"H3,H4.1,H6.1,H8",428.28,,DE,D10,,Finland,2019
7,A4070,Y12,"08 01 11*, 20 01 27*",Paint and pigment waste,"H3,H4.1,H8",11.6,,DE,D10,,Finland,2019
8,A4070,Y12,"08 01 11*, 08 03 14*, 08 03 17*, 08 04 09*, 20 01 27*",Paint and pigment waste,H4.1,1281.5,,DE,D10,,Finland,2019
9,B4010,Y12,"08 01 12, 20 01 28",Paint and pigment waste,H_,27.16,,SE,D10,,Finland,2019
10,,Y12,19 12 11*,Unclassified; shredded paint and varnish waste and packages,H4.1,44.19,,DE,,"R3,R4",Finland,2019
11,A4080,Y15,16 04 03*,Waste explosives,"H1,H5.1",236.0,,SE,D10,,Finland,2019
12,A1050,Y17,11 01 09*,Galvanic sludge,"H11,H12",77.659,,DE,,R4,Finland,2019
13,A4160,Y18,07 04 09*,Active carbon (non-food industry & waste water),H13,88.88,,BE,,R7,Finland,2019
14,A1070,Y18,06 04 05*,Leaching residues from zinc processing,H5.1,3.0,,SE,,R12,Finland,2019
15,,Y18,16 01 07*,"Oil filters, used",H12,51.94,DE,DK,,R12,Finland,2019
16,,Y18,16 01 07*,"Oil filters, used",H12,121.46,DE,DK,,"R12,R1",Finland,2019
17,A2030,Y18,16 08 07*,Waste catalyst (amber),H11,1.4,SE,GB,,R8,Finland,2019
18,,Y21,16 07 08*,Sludge and scales from steel and iron production,"H11,H12",642.08,,SE,,R4,Finland,2019
19,A1020,Y22,"10 06 01, 10 06 02, 10 06 04, 10 06 99",Copper slag,H11,150.6,NL,BE,,R4,Finland,2019
20,A1170,Y23,19 12 11*,"Battery waste, black mass","H6.1,H8,H12",1148.04,,PL,,R4,Finland,2019
21,A4100,Y23,10 02 07*,Filter dust from stainless steel production,"H11,H12",234.5,"BE,GR,NL,PT,SE,TR",BG,,R4,Finland,2019
