,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A1010,Y24,60403,,H6.1,7.59,CZ,SK,,R4,Greece,2019
1,A1010,Y29,180110,Amalgam waste,H12,5.15,,AT,,R4,Greece,2019
2,A1010,Y31,60405,,H6.1,34.1,,CZ,,R4,Greece,2019
3,A1010,Y31,170409,,H12,49.19,,SE,,R4,Greece,2019
4,A1020,Y22,60405,,H12,1369.76,NL,BE,,R4,Greece,2019
5,A1020,Y23,60405,,H12,632.21,,BE,,R4,Greece,2019
6,A1020,Y31,60405,,H12,196.0,,SE,,R4,Greece,2019
7,A1020,Y31,60405,,H6.1,6166.86,,BE,,R4,Greece,2019
8,A1020,Y31,100401,,H6.1,2.3,,NL,,R12,Greece,2019
9,A1020,Y31,100401,,H6.1,19.38,,NL,,R4,Greece,2019
10,A1020,Y31,100401,,H6.1,2288.84,NL,BE,,R4,Greece,2019
11,A1020,Y31,100402,,H6.1,770.3,,be,,R4,Greece,2019
12,A1020,Y31,100402,,H6.1,161.09,,PL,,R4,Greece,2019
13,A1020,Y31,100402,,H6.1,3272.13,NL,BE,,R4,Greece,2019
14,A1020,Y31,100404,,H6.1,3737.15,,BE,,R4,Greece,2019
15,A1020,Y31,100404,,H6.1,185.26,,CZ,,R4,Greece,2019
16,A1020,Y31,100810,,H6.1,1554.04,NL,BE,,R4,Greece,2019
17,A1020,,110207,,H12,26.13,,BE,,R4,Greece,2019
18,A1020,,110207,,H12,11.0,NL,BE,,R4,Greece,2019
19,A1030,Y24,60403,,H6.1,37.07,CZ,SK,,R4,Greece,2019
20,A1050,Y17,110109,,H12,169.08,,BE,,R4,Greece,2019
21,A1050,Y17,110109,,H12,23.52,,NL,,R12,Greece,2019
22,A1050,Y17,110109,,H12,13.04,,NL,,R4,Greece,2019
23,A1050,Y17,110109,,H12,367.64,,PL,,R4,Greece,2019
24,A1050,Y17,110109,,H12,111.99,NL,BE,,R4,Greece,2019
25,A1050,Y17,110198,,H12,169.44,,BE,,R4,Greece,2019
26,A1060,Y17,110105,,H8,1060.61,,AT,,R4,Greece,2019
27,A1060,Y17,110105,,H8,70.09,,AT,,R5,Greece,2019
28,A1060,Y17,110105,,H8,10.0,,BE,,R4,Greece,2019
29,A1060,Y17,110105,,H8,516.26,,BE,,R5,Greece,2019
30,A1060,Y17,110105,,H8,39.12,,CH,D9,,Greece,2019
31,A1060,Y17,110105,,H8,64.49,NL,BE,,R4,Greece,2019
32,A1060,Y17,110106,,H8,560.05,,BE,,R5,Greece,2019
33,A1070,Y17,110503,,H12,60.23,,BE,,R5,Greece,2019
34,A1080,Y23,101009,,H12,576.84,,BE,,R4,Greece,2019
35,A1100,Y22,101009,,H12,5.14,,NL,,R4,Greece,2019
36,A1130,Y17,110106,,H8,24.85,,BE,,R4,Greece,2019
37,A1130,Y17,110107,,H8,173.09,,BE,,R12,Greece,2019
38,A1130,Y17,110107,,H8,845.61,,BE,,R4,Greece,2019
39,A1130,Y17,110107,,H8,995.85,LU,BE,,R4,Greece,2019
40,A1160,Y31,160601,,H8,874.52,,AT,,R4,Greece,2019
41,A1160,Y31,160601,,H8,23738.99,,CZ,,R4,Greece,2019
42,A1160,Y31,160601,,H8,2136.55,,PL,,R12,Greece,2019
43,A1160,Y31,160601,,H8,3987.71,,PL,,R4,Greece,2019
44,A1160,Y31,160601,,H8,462.36,,SI,,R4,Greece,2019
45,A1160,Y31,160601,,H8,3979.34,AT,SI,,R4,Greece,2019
46,A1160,Y31,160601,,H8,263.41,"CZ,SK,HU,RO,BG",GR,,R4,Greece,2019
47,A1160,Y31,160601,,H8,1131.97,NL,BE,,R4,Greece,2019
48,A1170,Y26,160602,,H6.1,253.59,,FR,,R4,Greece,2019
49,A1170,Y26,160602,,H6.1,563.2,LU,FR,,R4,Greece,2019
50,A1180,,160211,"Discarded equipment containing CFC, HCFC, HFC",H12,1064.23,,AT,,R12,Greece,2019
51,A1180,,160213,,H12,3640.0,,AT,,R4,Greece,2019
52,A1180,,160213,,H12,4532.48,,BE,,R4,Greece,2019
53,A1180,,160213,,H12,4565.09,,CZ,,R12,Greece,2019
54,A1180,,160213,,H12,2537.01,,NL,,R12,Greece,2019
55,A1180,,200135,,H12,886.26,,AT,,R12,Greece,2019
56,A1180,,200135,,H12,15028.55,,AT,,R4,Greece,2019
57,A1190,Y31,170409,,H12,157.44,,NL,,R4,Greece,2019
58,A1190,Y31,170409,,H12,297.14,,SE,,R4,Greece,2019
59,A1190,Y31,170409,,H12,126.32,DK,SE,,R4,Greece,2019
60,A1190,,170410,,H12,69.34,,AT,,R4,Greece,2019
61,A1190,,170410,,H12,1197.61,,NL,,R12,Greece,2019
62,A1190,,170410,,H12,2613.89,,NL,,R4,Greece,2019
63,A2030,Y18,191211,Residues from mechanical treatment of waste,H12,13.75,,SE,,R4,Greece,2019
64,A2030,Y18,191211,Residues from mechanical treatment of waste,H12,1346.18,,US,,R4,Greece,2019
65,A2030,Y18,191211,Residues from mechanical treatment of waste,H6.1,20.2,,CH,,R4,Greece,2019
66,A2030,,160802,,H12,593.48,,FR,,R8,Greece,2019
67,A2030,,160802,,H12,361.38,,NL,,R8,Greece,2019
68,A2030,,160802,,H12,70.22,BE,LU,,R5,Greece,2019
69,A2030,,160802,,H4.1,322.6,,NL,,R8,Greece,2019
70,A2030,,160802,,H4.2,305.85,,FR,,R8,Greece,2019
71,A2030,,160802,,H4.2,751.35,,NL,,R8,Greece,2019
72,A2030,,160802,,H4.2,505.4,BE,LU,,R5,Greece,2019
73,A2030,,160802,,H5.1,18.0,,SE,,R8,Greece,2019
74,A2030,,160802,,H6.1,726.69,,NL,,R8,Greece,2019
75,A2030,,160806,,H12,125.82,NL,BE,,R4,Greece,2019
76,A2030,,160807,,H11,26.09,,NL,,R4,Greece,2019
77,A2030,,160807,,H11,24.39,AT,IT,,R8,Greece,2019
78,A2030,,160807,,H11,236.11,"BE,FR",GB,,R4,Greece,2019
79,A2030,,160807,,H11,85.64,"BE,FR",GB,,R5,Greece,2019
80,A2030,,160807,,H11,298.18,"BE,FR,NL",CH,,R8,Greece,2019
81,A2030,,160807,,H12,301.1,,BE,,R4,Greece,2019
82,A2030,,160807,,H12,82.3,,GB,,R4,Greece,2019
83,A2030,,160807,,H12,9.6,,IT,,R1,Greece,2019
84,A2030,,160807,,H12,10080.88,AT,IT,,R8,Greece,2019
85,A2030,,160807,,H12,45.42,GB,US,,R4,Greece,2019
86,A2030,,160807,,H12,300.98,NL,BE,,R4,Greece,2019
87,A2030,,160807,,H3,21.8,,BE,,R4,Greece,2019
88,A2030,,160807,,H4.2,33.69,,BE,,R4,Greece,2019
89,A2030,,160807,,H8,329.24,,US,,R4,Greece,2019
90,A3010,Y11,70108,,H4.2,360.16,"BE,NL",FR,,R1,Greece,2019
91,A3010,Y11,70108,,H4.2,219.98,LU,FR,,R1,Greece,2019
92,A3020,Y8,130110,,H6.1,5824.85,,PL,,R9,Greece,2019
93,A3020,Y8,130205,,H6.1,191.94,,CH,,R1,Greece,2019
94,A3020,Y8,130205,,H6.1,215.48,"BE,NL",FR,,R9,Greece,2019
95,A3020,Y8,130206,,H6.1,453.06,,PL,,R9,Greece,2019
96,A3020,Y8,130208,,H6.1,5447.64,,CH,,R1,Greece,2019
97,A3020,Y8,130208,,H6.1,271.9,,CH,,R12,Greece,2019
98,A3020,Y8,130208,,H6.1,912.93,,FR,,R9,Greece,2019
99,A3050,Y12,80409,,H3,14.6,,DK,,R1,Greece,2019
100,A3050,Y13,80409,,H12,10.23,,CH,D10,,Greece,2019
101,A3120,Y18,191003,,H12,2724.22,,AT,,R12,Greece,2019
102,A3120,Y18,191003,,H12,3174.25,,AT,,R3,Greece,2019
103,A3140,Y42,70104,,H3,2249.99,,CH,,R2,Greece,2019
104,A3140,Y42,70104,,H3,1526.38,,DK,,R1,Greece,2019
105,A3140,Y42,70104,,H3,3330.8,,DK,D10,,Greece,2019
106,A3140,Y42,70104,,H3,2053.25,,FR,,R1,Greece,2019
107,A3140,Y42,70104,,H3,6065.95,,FR,,R2,Greece,2019
108,A3140,Y42,70104,,H3,1414.92,,NL,D10,,Greece,2019
109,A3140,Y42,70104,,H3,1785.36,BE,FR,,R2,Greece,2019
110,A3140,Y42,70104,,H3,1512.76,,CH,,R1,Greece,2019
111,A3140,Y42,70204,,H3,9368.94,,FR,,R1,Greece,2019
112,A3140,Y42,70204,,H3,1090.61,,NL,,R2,Greece,2019
113,A3140,Y42,70504,,H3,2662.83,,FR,,R2,Greece,2019
114,A3140,Y42,70504,,H3,644.05,LU,FR,,R2,Greece,2019
115,A3140,Y42,70704,,H12,1564.7,,FR,,R2,Greece,2019
116,A3140,Y42,70704,,H12,3662.16,de,CH,,R13,Greece,2019
117,A3140,Y42,70704,,H3,2481.96,,FR,,R2,Greece,2019
118,A3140,Y42,70704,,H3,1230.63,,NL,,R2,Greece,2019
119,A3140,Y42,70704,,H3,69.74,BE,FR,,R2,Greece,2019
120,A3140,Y42,70704,,H3,604.26,LU,FR,,R2,Greece,2019
121,A3140,Y42,70704,,H8,1583.1,,CH,,R13,Greece,2019
122,A3140,Y42,140603,,H3,5.0,,CH,,R1,Greece,2019
123,A3140,Y42,140603,,H3,52.99,,FR,,R2,Greece,2019
124,A3140,Y42,190208,,H3,1232.06,,BE,,R1,Greece,2019
125,A3140,Y42,190208,,H3,67.98,,CH,,R1,Greece,2019
126,A3140,Y42,190208,,H3,7925.58,,FR,,R1,Greece,2019
127,A3140,Y42,190208,,H3,8167.35,,LU,,R1,Greece,2019
128,A3140,Y42,190208,,H3,373.14,BE,FR,D10,,Greece,2019
129,A3140,Y42,190208,,H3,290.02,NL,BE,,R1,Greece,2019
130,A3140,Y42,190208,,H3,528.53,NL,BE,,R12,Greece,2019
