,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A3150,,20 01 23*,"Used refrigerators, may containin CFC",H12,198.1,"GB,NL",DK,,"R12,R9",Iceland,2019
1,A1170,"Y23,Y26,Y31",20 01 33*,"Batteries, dry, containing potassium hydroxide solid",H8,76.0,"GB,NL,BE",FR,,R4,Iceland,2019
2,,"Y8,Y18",15 02 02*,"PPE, absorbents, filter materials contaminated by hazardous substances","H4.1,H12",73.8,"NL,BE,FR",ES,,"R13,R3",Iceland,2019
3,,,10 03 04*,MSDS 471 Aluminum Skim and Dross,H4.3,274.8,NL,GB,,R4,Iceland,2019
4,,,16 02 14*,Small electronic equipment ,H12,617.7,DK,NL,,"R13,R4",Iceland,2019
5,A3020,Y9,13 02 08*,Processed waste oil,H3,1.322,,DE,,R9,Iceland,2019
6,A1160,,16 06 01*,"Lead acid batteries, car batteries","H8,H12",92.19,,GB,,R4,Iceland,2019
7,A1170,"Y26,Y29","20 01 33, 16 06 02, 16 06 05","Mercury oxide batteries dry containing KOH, solid and lithium batteries","H6.1,H8,H10",2.75,"DK,NL",DE,,R12,Iceland,2019
8,,,10 09 11*,Iron oxide   -   Slag from induction furnaces,H11,282.65,NL,GB,,"R4,R5",Iceland,2019
9,,,10 03 04*,Aluminium pot pads,"H11,H12",2021.6,NL,GB,,R4,Iceland,2019
10,A1180,"Y19,Y22",20 01 35*,Plasma and LCD televisions and monitors containing CRT glass,"H11,H12",346.8,"DK,NL,DE,DK",SE,,R12,Iceland,2019
11,A1190,,17 04 10*,Metal caples,,85.97,DK,NL,,R4,Iceland,2019
12,A1160,"Y31,Y34",16 06 01*,Batteries wet filled with sulphuric acid,"H8,H12",253.0,DK,GB,,"R13,R4",Iceland,2019
13,A1180,"Y31,Y22,Y29",20 01 35*,TV sets and monitors,H11,214.8,"DK,NL",DE,,R5,Iceland,2019
14,A4070,Y12,20 01 27*,Paint- and print-related materials,H3,26.65,"DK,GB,NL,DE,SE",DK,D10,,Iceland,2019
15,A3150,,20 01 13*,"Solvents, may contain halogens",H3,145.44,"DK,GB,SE,DE",DK,D10,,Iceland,2019
16,A1160,"Y31,Y34",16 06 01*,"Scrap batteries, Wet",H8,511.3,"NL,DE,DK,DK",SE,,R4,Iceland,2019
17,A3150,,"20 01 23, 14 06 01","Used refridgerators, may include C.F.C",H12,75.83,DK,DK,D10,"R3,R4,R9,R12",Iceland,2019
18,,Y18,10 03 08*,Salt slag,H4.3,3877.61,,ES,,"R4,R5",Iceland,2019
19,,,10 03 04*,Aluminium skimmings,H4.3,1527.82,NL,GB,,R4,Iceland,2019
20,,Y32,10 03 21*,Carbon dust,"H11,H12",2504.98,NL,GB,,"R4,R5",Iceland,2019
21,,"Y8,Y9,Y31,Y36",16 01 04*,Cement carrier Fjordvik,"H3,H4.1,H5.1,H8,H11",3312.0,NL,BE,,"R4,R12",Iceland,2019
22,A4050,Y33,"16 11 01*, 16 11 03","Spent pot lining, spent pot lining insulation",H4.3,4225.6,NL,NO,D5,,Iceland,2019
23,,"Y8,Y9,Y31,Y36",16 01 04*,End-of-life-vessels,"H3,H4.1,H5.1,H8,H11",1159.0,NL,BE,,"R4,R12",Iceland,2019
24,,,16 02 14*,Small electrical appliances,H12,78.5,,NL,,"R13,R4",Iceland,2019
25,A1180,,"16 02 13*, 20 01 35*","Small electrical appliances, mainly from households",H12,286.3,"DK,GB,NL,DE,DK",SE,D10,"R12,R1,R3,R4,R5",Iceland,2019
26,,,20 03 01*,Mixed municipal waste,H4.2,3178.0,GB,NL,,R1,Iceland,2019
27,A3020,Y8,"13 02 06, 13 02 05",Waste oil and used lubricants,"H3,H12",4306.7,,NO,,R1,Iceland,2019
28,A1160,Y31,16 06 01*,"Scrap batteries, Wet","H8,H12",230.84,,GB,,R4,Iceland,2019
29,A4090,Y34,"06 01 01*, 06 01 02*, 06 01 05*, 06 01 06*, 20 01 14*","Hydrochloric-, nitric-, acetic-, boric-, propionic-, and sulfuric acid",H8,57.38,"DK,NL",DE,D10,,Iceland,2019
30,A4020,Y1,16 03 05*,Formaldehyde solution,H11,20.74,"DK,NL",DE,D10,,Iceland,2019
31,A1160,"Y31,Y34",16 06 01*,"Scrap batteries, Wet",H8,190.06,,GB,,"R13,R4",Iceland,2019
32,A4050,Y33,"16 11 01*, 16 11 03*","Spent pot lining, spent pot lining insulation",H4.3,396.4,NL,NO,D5,,Iceland,2019
33,,Y18,10 03 04*,Aluminium skimmings,H4.3,163.64,NL,GB,,R4,Iceland,2019
34,,,10 03 04*,Aluminium pot pads,"H11,H12",945.27,NL,GB,,R4,Iceland,2019
35,A2060,,19 01 13*,Fly-ash containing heavy metals,H13,1298.3,,NO,,R5,Iceland,2019
