,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A1170,Y26,,Li-ion Li Polymer and NiMH batteries,H12,37.7,,FI,,R4,Israel,2019
1,A1020,Y31,,Electronic capacitor manufacturer,H13,73.4,,GB,,R4,Israel,2019
2,,Y18,,sludge containing waste salts,,67.7,"NL,GB,ES",DE,,R5,Israel,2019
3,A4060,Y9,,Sulfur Oil,H12,139.0,,FR,,"R12,R1",Israel,2019
4,A4060,Y9,,Emulsion Oil,H12,209.0,,FR,,"R12,R1",Israel,2019
5,A2030,Y11,,Spent transition metal catalyst (Cobalt/Molbdenum),H4.2,484.0,,FR,,"R4,R8",Israel,2019
6,A4030,Y4,,Carbon tetrachlorid waste,H6.1,42.1,ES,GB,D10,,Israel,2019
7,A4100,Y23,,DUST FROM GAS CLEANING SYSTEM,H12,1913.0,TR,BG,,R4,Israel,2019
8,A4100,Y23,,metal dust,H12,2175.0,"ES,GB,NL",DE,,R4,Israel,2019
9,A4070,Y12,,Waste paint and varnish containing organic solvents or other dangerous substances,"H3,H4.1",36.7,"IT,ES,GB,NL",DE,,"R3,R4",Israel,2019
10,A4130,"Y2,Y6",,Packages containing  residues of dangerous chemicals or were contaminated by dangerous chemicals,H12,230.0,"IT,ES,GB,NL",DE,,"R3,R4",Israel,2019
11,A4010,Y2,,obsolate medicines,"H6.1,H12

",146.8,"IT,ES,GB,NL",DE,,R1,Israel,2019
12,A3190,"Y11,Y18",,Drill cut sludges and oil refinery sludges,"H4.1,H6.1,H8,H12",436.3,"IT,ES",PT,,"R12,R1",Israel,2019
13,A4140,"Y19,Y27,Y29,Y31,Y33,Y37,Y38,Y45",,Off-specification/outdated chemicals,,6.47,"ES,GB,NL",DE,D10,,Israel,2019
14,A1170,,,"Discarded batteries and accumulators, unsorted","H8,H12",44.2,"IT,ES,GB,NL",DE,,"R4,R12‎",Israel,2019
15,A4020,"Y1,Y2",,Cytotoxic waste.,H6.1,32.471,"IT,ES,GB,NL",DE,D10,,Israel,2019
16,,"Y11,Y18",,Solid waste containing dangerous substance from the chemical or petrochemical industry,"H4.1,H6.1,H11",392.7,"IT,ES",PT,,"R12,R1",Israel,2019
17,A4070,Y12,,"absorbents, filter materials (including oil filters not otherwise specified), wiping cloths, protective clothing contaminated by dangerous substances",H4.1,300.4,"IT,ES",PT,,"R12,R1",Israel,2019
18,A3150,"Y2,Y6,Y41",,Halogenated solvents,"H3,H6.1‎",317.7,"IT,ES,GB,NL",DE,D10,,Israel,2019
19,A4010,Y2,,solid wastes containing dangerous substances,"H4.1,H6.1,H11",173.8,"IT,ES",PT,,"R12,R1",Israel,2019
20,,Y6,,solid wastes containing dangerous substances,"H4.1,H6.1,H12",465.0,"IT,ES,GB,NL",DE,,R1,Israel,2019
21,A3150,"Y2,Y6,Y41",,"Halogenated solvents up to 15% Cl.
solvents","H3,H6.1,H12‎",70.9,"IT,ES,GB,NL",DE,,R1,Israel,2019
22,A4010,Y5,,Wood contaminated by hazardous substances,H12,16.24,"IT,ES,GB,NL",DE,,R1,Israel,2019
23,A4070,Y12,,Waste paint and varnish containing organic solvents or other dangerous substances,,560.0,"IT,ES",PT,,"R12,R1",Israel,2019
24,A4100,Y23,,metal dust,H12,1674.0,,KR,,R4,Israel,2019
25,A1170,,,"Discarded batteries and accumulators, unsorted","H8,H12",36.7,"ES,GB,NL",DE,,"R4,R12‎",Israel,2019
26,A4010,Y2,,solid wastes containing dangerous substances,"H4.1,H6.1,H11",24.8,"ES,GB,NL",DE,,R1,Israel,2019
27,A4070,Y12,,Waste paint and varnish containing organic solvents or other dangerous substances,"H3,H4.1",177.3,"ES,GB,NL",DE,,R1,Israel,2019
28,A3150,"Y2,Y6,Y41",,"Halogenated solvents
solvents","H3,H6.1‎",44.0,"ES,GB,NL",DE,D10,,Israel,2019
29,A3150,"Y2,Y6,Y41",,"Halogenated solvents up to 15% Cl.
solvents","H3,H6.1,H12‎",155.0,"IT,ES,GB,NL",DE,,R1,Israel,2019
30,,Y6,,solid wastes containing dangerous substances,"H4.1,H6.1,H12
",58.1,"ES,GB,NL",DE,,R1,Israel,2019
31,,Y17,,grinding machine contains oil,,240.2,"IT,ES,GB,NL",DE,,R4,Israel,2019
32,A1010,Y17,,Metal sludge,H12,153.0,"IT,ES,GB,BE,NL",DE,,R3,Israel,2019
33,A1030,Y4,,"Salt Mixture, crystalline",,3155.0,"
ES,GB,NL",DE,,R5,Israel,2019
34,A4130,Y2,,empty metal pachging,"H11,H12",4.0,,ES,,R4,Israel,2019
35,A3020,"Y8,Y11,Y17",,oily sludge,H12,375.0,,ES,,"R12,R3,R11",Israel,2019
36,A3140,"Y6,Y42",,non haloganated organic solvents,H3,456.61,,ES,,R1,Israel,2019
37,A3020,"Y8,Y11,Y17",,oily sludge,H12,47.08,,ES,,R1,Israel,2019
38,A4160,,,activated carbon,H6.1,439.7,,ES,,R1,Israel,2019
39,A4070,Y12,,paint waste,"H3,H6.1,H12",237.2,,ES,,R1,Israel,2019
40,A1170,,,Mixed batteries and accumulators ,"H12,H8",7.88,"ES,GB,NL",DE,,R4,Israel,2019
41,,Y34,,benzoic acids,,237.05,,FR,,R1,Israel,2019
42,B1080,Y23,,Zinc Oxide fraction from separation of Zinc Ashes originating in hot dipped galvanizers baths.,H12,50.0,,IN,,R4,Israel,2019
43,B1080,Y23,,Zinc Oxide fraction from separation of Zinc Ashes originating in hot dipped galvanizers baths.,H12,170.7,,BE,,R4,Israel,2019
44,B1080,Y23,,Zinc Oxide fraction from separation of Zinc Ashes originating in hot dipped galvanizers baths.,H12,25.0,,NL,,R4,Israel,2019
45,B1080,Y23,,Zinc Oxide fraction from separation of Zinc Ashes originating in hot dipped galvanizers baths.,H12,200.0,,GB,,R4,Israel,2019
