,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A2030,Y_,,Auto Catalyst,H_,0.1,,DE,,R8,Nigeria,2019
1,A1160,Y31,,Battery Waste,H8,2.5,,UA,,R4,Nigeria,2019
2,A1160,Y31,,Battery Waste,H8,1.5,,KR,,R4,Nigeria,2019
3,B1010,Y22,,Copper and Brass Waste,H11,2.0,,DE,,R4,Nigeria,2019
4,A1180,Y_,,E-Waste,H11,0.18,,TR,,R3,Nigeria,2019
5,A1160,Y31,,Battery Waste,H8,0.25,,CA,,R4,Nigeria,2019
6,A1160,Y31,,Battery Waste,H8,0.5,,ES,,R4,Nigeria,2019
7,A1160,Y31,,Battery Waste,H8,12.0,,ZA,,R4,Nigeria,2019
8,A1160,Y31,,Battery Waste,H8,12.0,,PL,,R4,Nigeria,2019
9,A4060,Y9,,Oil Waste,H3,1.0,,DE,,R9,Nigeria,2019
10,A1160,Y31,,Battery Waste,H8,0.5,,GR,,R4,Nigeria,2019
11,A1160,Y31,,Battery Waste,H8,5.0,,NL,,R4,Nigeria,2019
12,A1160,Y31,,Battery Waste,H8,0.5,,ES,,R4,Nigeria,2019
13,A1160,Y31,,Battery Waste,H8,1.0,,DE,,R4,Nigeria,2019
14,B1010,Y22,,"Copper, Brass and Stainless Steel Waste",H11,3.0,,NL,,R4,Nigeria,2019
15,A4060,Y9,,Oil Waste,H3,0.5,,IN,,R9,Nigeria,2019
