,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A3020,Y8,"12 01 07*, 12 01 10*, 13 01 10*, 13 01 11*, 13 01 13*, 13 02 05*, 13 02 06*, 13 02 08*, 13 03 07*, 13 03 08*, 13 03 10*, 13 04 01*, 13 05 06*",waste mineral oils,H3,1788.98,,BG,,R9,Romania,2019
1,A1120,Y17,12 01 14*,machining sludges containing dangerous substances,H11,19.59,"HU,SK,CZ",DE,,R4,Romania,2019
2,A1030,Y29,20 01 21*,used fluorescent tubes containing mercury ,H12,132.732,,HU,,"R4,R5",Romania,2019
3,A1170,Y26,16 06 02*,used Ni-Cd batteries,H12,33.257,"HU,AT",DE,,R4,Romania,2019
4,A1170,Y26,16 06 02*,used Ni-Cd batteries,H8,26.213,"HU,AT,DE",FR,,R4,Romania,2019
5,A2010,Y31,16 02 15*,funnel glass from CRT,H12,92.0,"HU,SK,CZ",DE,,R5,Romania,2019
6,A2010,Y31,19 12 11*,funnel glass from CRT,H12,1551.389,"HU,AT,CZ",DE,,R5,Romania,2019
7,A2010,Y31,19 12 11*,funnel glass from CRT,H12,180.456,"HU,SK,CZ",DE,,R5,Romania,2019
8,,Y17,12 01 18*,metal sludges containing oil,H12,20.178,"HU,AT,CZ",DE,,R4,Romania,2019
9,,Y45,"16 02 11*, 20 01 23*","discarded equipment containing chlorofluorocarbons, HCFC, HFC (fridges, frizeers)",H13,908.27,,HU,,R12,Romania,2019
10,,Y45,"16 02 11*, 20 01 23*",used not treated fridges and freezers containing HCFC,H12,525.16,"HU,SK",PL,,R12,Romania,2019
11,A1020,Y31,19 12 11*,lead paste,H12,404.808,,BG,,R4,Romania,2019
12,A1020,Y31,10 04 01*,lead slag,H12,1103.1,,BG,,"R12,R4",Romania,2019
13,A1020,Y31,19 02 04*,polyethylene separators,"H11,H12",1059.57,,BG,,"R12,R3",Romania,2019
14,A1160,Y31,16 06 01*,waste lead acid batteries,H8,11289.394,,BG,,R4,Romania,2019
15,,Y18,10 03 08*,salt slag from aluminium industry,"H8,H10",1178.32,"HU,SK,CZ",DE,,R5,Romania,2019
16,A1020,Y31,"06 04 05*, 16 03 03*",expired solder paste containing lead,"H11,H12",19.5395,"HU,SI,IT,FR",ES,,R4,Romania,2019
17,A4060,Y9,16 07 08*,waste containing oil,H3,129.86,,BG,,R9,Romania,2019
18,A1040,Y21,16 11 05*,refractory material,H12,52.52,"HU,SI,IT",FR,,R5,Romania,2019
19,A3180,Y10,16 02 15*,hazardous components removed from discarded equipment,"H11,H12",9.301,"HU,AT",DE,D10,,Romania,2019
20,A3180,Y10,13 03 01*,PCB contaminated oil,H11,9.599,"HU,AT",DE,D10,,Romania,2019
21,A1030,Y29,"06 04 04*, 19 02 11*",mercury waste,"H6.1,H8,H11",0.66701,"HU,AT",DE,D9,,Romania,2019
