,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,,Y5,17 02 04*,railway sleepers,H11,2005.34,,AT,,"R12,R1",Slovenia,2019
1,,Y5,17 02 04*,railway sleepers,H11,1065.68,,AT,,"R12,R1",Slovenia,2019
2,,"Y2,Y12",19 02 04*,"Wastes from the production and preparation of pharmaceutical products + Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish","H4.1,H11,H12",487.66,,AT,D10,,Slovenia,2019
3,,Y5,17 02 04*,railway sleepers,H11,68.08,,AT,,"R12,R1",Slovenia,2019
4,,"Y8,Y18",15 02 02*,Waste mineral oils unfit for their originally intended use + Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",94.3,,AT,D10,,Slovenia,2019
5,,"Y8,Y18",19 02 04*,Waste mineral oils unfit for their originally intended use + Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",207.5,,AT,D10,,Slovenia,2019
6,,"Y8,Y9",17 05 03*,"Waste mineral oils unfit for their originally intended use + Waste oils/water, hydrocarbons/water mixtures, emulsions","H3,H11,H12",2176.58,,AT,D8,,Slovenia,2019
7,,"Y12,Y13",19 02 04*,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Wastes from production, formulation and use of resins, latex, plasticizers, glues/adhesives","H4.1,H11,H12",103.44,,AT,D10,,Slovenia,2019
8,,"Y12,Y18",19 02 04*,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Resudues arising from industrial waste disposal operations","H11,H12",219.32,AT,DE,D10,,Slovenia,2019
9,,"Y12,Y18",19 02 04*,"Wastes from production, formulation and use of inks,dyes, pigments, paints, lacques, varnish + Resudues arising from industrial waste disposal operations","H4.1,H11,H12",613.5,AT,DE,D10,,Slovenia,2019
10,,Y18,19 02 04*,Resudues arising from industrial waste disposal operations,"H11,H12,H13",1586.98,,AT,D10,,Slovenia,2019
11,,Y18,19 02 04*,Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",307.64,,AT,D10,,Slovenia,2019
12,,Y18,19 02 04*,Resudues arising from industrial waste disposal operations,"H4.1,H12",73.66,AT,DE,D10,,Slovenia,2019
13,,Y18,19 02 05*,Resudues arising from industrial waste disposal operations,H12,4.799,AT,DE,,R4,Slovenia,2019
14,,Y18,19 02 09*,Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",1481.83,,AT,,R3,Slovenia,2019
15,,Y18,19 02 09*,Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",693.76,,AT,D10,,Slovenia,2019
16,,Y18,19 02 09*,Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",187.44,,AT,"D15,D10",,Slovenia,2019
17,,Y18,19 02 09*,Resudues arising from industrial waste disposal operations,"H4.1,H12",247.0,,AT,D10,,Slovenia,2019
18,,Y18,19 02 09*,Resudues arising from industrial waste disposal operations,"H4.1,H12,H13",148.19,,AT,,"R12,R1",Slovenia,2019
19,,Y18,19 02 09*,Resudues arising from industrial waste disposal operations,"H4.1,H12,H13",443.58,,AT,"D15,D10",,Slovenia,2019
20,,Y18,19 02 09*,Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",25.1,AT,DE,D10,,Slovenia,2019
21,,Y18,19 02 09*,Resudues arising from industrial waste disposal operations,"H4.1,H11,H12",1437.04,,HU,,R1,Slovenia,2019
22,,Y18,19 02 11*,Resudues arising from industrial waste disposal operations,"H12,H13",2415.81,,AT,,"R3,R5",Slovenia,2019
23,,Y18,19 02 11*,Resudues arising from industrial waste disposal operations,"H12,H13",1271.43,,AT,D9,,Slovenia,2019
24,,Y18,19 03 04*,Resudues arising from industrial waste disposal operations,H12,4346.42,,AT,D9,,Slovenia,2019
25,,Y18,19 03 04*,Resudues arising from industrial waste disposal operations,"H4.1,H12,H13",3559.48,,AT,D10,,Slovenia,2019
26,,Y18,19 03 06*,Resudues arising from industrial waste disposal operations,"H6.1,H8,H12",508.76,,AT,D9,,Slovenia,2019
27,,"Y18,Y23",19 02 04*,Resudues arising from industrial waste disposal operations + Zinc compounds,"H4.1,H10,H12",469.36,AT,DE,D10,,Slovenia,2019
28,,"Y18,Y31",19 02 04*,Resudues arising from industrial waste disposal operations + Lead; lead compounds,"H4.1,H11,H13",1068.18,AT,DE,D10,,Slovenia,2019
