,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A1030,"Y22,Y25,Y27,Y31",,Waste Containing Arsenic,H6.1,10,NL,GB,,"R13,R4",South Africa,2019
1,,"Y31,Y34",,Waste lead acid battery,H11,500,,KR,,R4,South Africa,2019
2,A2030,,,Precious metal containing spent catalyst,H3,140,"DE,NL,ES,GB",BE,,R4,South Africa,2019
3,A1170,Y26,,Nickel Cadmium batteries,H11,150,,KR,,R4,South Africa,2019
4,,"Y31,Y34",,Lead Acid Battery Scrap,H11,2000,,KR,,R4,South Africa,2019
5,A1030,"Y22,Y25,Y27,Y31",,Waste Containing Arsenic,H6.1,10,,GB,,R4,South Africa,2019
6,A1020,Y18,, Lead anode scrapings,H6.1,300,"ES,GB,DE,NL",BE,,R4,South Africa,2019
7,A1080,Y23,,"Zinc Cake, Zinc and Cadmiun Oxide",H6.1,4500,,KR,,R4,South Africa,2019
8,A1160,"Y31,Y34",,Waste lead acid battery,H11,6500,,KR,,R4,South Africa,2019
9,B1090,Y18,,NiMH and Li-ion Li-polymer batteries ,H12,100,,BE,,R4,South Africa,2019
