,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,B1010,Y_,,Fe scrap (Iron),H_,1150.0,,CN,,R4,Suriname,2019
1,B1010,Y_,,Fe Scrap,H_,750.0,,SG,,R4,Suriname,2019
2,B1010,Y_,,Fe Scrap,H_,5650.0,,DE,,R4,Suriname,2019
3,B1010,Y_,,Fe Scrap,H_,129.0,,NL,,R4,Suriname,2019
4,B1010,Y_,,Fe scrap,H_,40.0,,TH,,R4,Suriname,2019
5,B1010,Y_,,Fe Scrap,H_,200.0,,AE,,R4,Suriname,2019
6,B1010,Y_,,Al scrap,H_,219.898,,NL,,R4,Suriname,2019
7,B1010,Y_,,Al scrap,H_,20.0,,TH,,R4,Suriname,2019
8,B1010,Y_,,Al Scrap,H_,250.0,,US,,R4,Suriname,2019
9,B1010,Y_,,Al scrap,H_,64.0,,CN,,R4,Suriname,2019
10,B1010,Y_,,Al scrap,H_,88.0,,IN,,R4,Suriname,2019
11,B1010,Y_,,Al scrap,H_,176.0,,KR,,R4,Suriname,2019
12,B1010,Y_,,Cu Scrap,H_,212.0,,BE,,R4,Suriname,2019
13,B1010,Y_,,Cu Scrap,H_,14.1,,NL,,R4,Suriname,2019
14,B1010,Y_,,Cu Scrap,H_,206.0,,US,,R4,Suriname,2019
15,B1010,Y_,,Stainless Steel,H_,21.0,,CN,,R4,Suriname,2019
16,A1160,Y31,,Pb Scrap (whole batteries with acid whole),H8,950.0,,KR,,R4,Suriname,2019
17,A1160,Y31,,Pb Scrap (whole batteries with acid),H8,825.0,,US,,R4,Suriname,2019
18,A1160,Y31,,Pb scrap (whole batteries with acid),H8,70.5,,PA,,R4,Suriname,2019
19,A1160,Y31,,Pb Scrap (whole batteries with acid),H8,40.0,,TH,,R4,Suriname,2019
20,A1160,Y31,,Pb Scrap (whole batteries with acid),H8,20.0,,BR,,R4,Suriname,2019
