,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,,,80201.0,Waste coating powders,H_,28.33,,NL,,R1,Switzerland,2019
1,,,160213.0,Discarded equipment containing hazardous components other than those mentioned in 16 02 09 to 16 02 12,H_,1607.835,,AT,,R4,Switzerland,2019
2,,,160213.0,Discarded equipment containing hazardous components other than those mentioned in 16 02 09 to 16 02 12,H_,91.85, ,DE,,R4,Switzerland,2019
3,,,160605.0,Other batteries and accumulators,H_,8.791, ,FR,,R4,Switzerland,2019
4,,,160605.0,Other batteries and accumulators,H_,18.84,,US,,R4,Switzerland,2019
5,,,160605.0,Other batteries and accumulators,H_,0.317,,DE,,R4,Switzerland,2019
6,,,160697.0,Lithium batteries / lithium accumulators,H_,4.392,,FR,,R4,Switzerland,2019
7,,,160802.0,Spent catalysts containing dangerous transition metals* or dangerous transition metal compounds,H_,126.1,,FR,,R4,Switzerland,2019
8,,,160807.0,Spent catalysts contaminated with dangerous substances,H_,62.695,,FR,,R4,Switzerland,2019
9,,,161105.0,Linings and refractories from non-metallurgical processes containing dangerous substances,H_,523.55,,DE,D12,,Switzerland,2019
10,,,170298.0,Waste wood containing dangerous substances,H_,3.086,,DE,,R1,Switzerland,2019
11,,,170409.0,Metal waste contaminated with dangerous substances,H_,57.22,,AT,,R4,Switzerland,2019
12,,,170505.0,Dredging spoil containing dangerous substances,H_,1050.0,,NL,D10,,Switzerland,2019
13,,,170505.0,Dredging spoil containing dangerous substances,H_,65817.945,,NL,,R5,Switzerland,2019
14,,,170903.0,Mixed construction and demolition wastes and other construction and demolition wastes containing dangerous substances,H_,1403.0,,NL,,R5,Switzerland,2019
15,,,170903.0,Mixed construction and demolition wastes and other construction and demolition wastes containing dangerous substances,H_,867.796,,NL,D10,,Switzerland,2019
16,,,170903.0,Mixed construction and demolition wastes and other construction and demolition wastes containing dangerous substances,H_,8007.105,,NL,,R5,Switzerland,2019
17,,Y11,,,H11,39702.0,,NL,,R5,Switzerland,2019
18,,Y11,,,H11,4046.564,,NL,D10,,Switzerland,2019
19,,Y11,,,H11,108036.378,,NL,,R5,Switzerland,2019
20,,Y11,,,H11,17774.657,,NL,,R5,Switzerland,2019
21,,Y11,,,H11,3671.118,,NL,,R12,Switzerland,2019
22,,Y13,,,H11,32.848,,DE,D10,,Switzerland,2019
23,,Y17,,,H11,53.335,,DE,D12,,Switzerland,2019
24,,Y17,,,H11,10.589,,DE,,R4,Switzerland,2019
25,,Y18,,,H11,175.976,,BE,,R4,Switzerland,2019
26,,Y18,,,H11,108.78,,DE,D12,,Switzerland,2019
27,,Y18,,,H11,251.11,,DE,D12,,Switzerland,2019
28,,Y18,,,H11,214.05,,FR,,R4,Switzerland,2019
29,,Y18,,,H11,10853.906,,DE,,R1,Switzerland,2019
30,,Y18,,,H11,10511.48,,DE,,R1,Switzerland,2019
31,,Y18,,,H11,44.98,,FR,,R4,Switzerland,2019
32,,Y18,,,H11,123.46,,DE,,R5,Switzerland,2019
33,,Y18,,,H11,120.04,,DE,D10,,Switzerland,2019
34,,Y2,,,H11,301.19,,DE,,R5,Switzerland,2019
35,,Y26,,,H11,273.152,,DE,,R4,Switzerland,2019
36,,Y29,,,H11,25.474,,DE,D12,,Switzerland,2019
37,,Y31,,,H11,1135.584,,DE,,R5,Switzerland,2019
38,,Y36,,,H11,16.5,,DE,,R2,Switzerland,2019
39,,Y36,,,H11,127.964,,CZ,,R4,Switzerland,2019
40,,Y4,,,H11,195.31,,DE,D13,,Switzerland,2019
41,,Y5,,,H11,159.16,,DE,,R1,Switzerland,2019
42,,Y5,,,H11,7130.8,,DE,,R1,Switzerland,2019
43,,Y10,,,H12,102.989,,DE,D10,,Switzerland,2019
44,,Y12,,,H12,351.867,,FR,,R1,Switzerland,2019
45,,Y12,,,H12,292.996,,DE,D13,,Switzerland,2019
46,,Y17,,,H12,1.248,,DE,,R4,Switzerland,2019
47,,Y17,,,H12,22.5,,NL,,R4,Switzerland,2019
48,,Y17,,,H12,82.38,,DE,D12,,Switzerland,2019
49,,Y18,,,H12,13.27,,DE,,R4,Switzerland,2019
50,,Y18,,,H12,1120.72,,DE,,R4,Switzerland,2019
51,,Y18,,,H12,3204.27,,BE,,R4,Switzerland,2019
52,,Y18,,,H12,1231.47,,DE,,R4,Switzerland,2019
53,,Y18,,,H12,4189.954,,DE,,R1,Switzerland,2019
54,,Y18,,,H12,41.23,,DE,,R5,Switzerland,2019
55,,Y18,,,H12,244.2,,DE,D10,,Switzerland,2019
56,,Y18,,,H12,4253.69,,DE,D9,,Switzerland,2019
57,,Y22,,,H12,161.403,,DE,,R4,Switzerland,2019
58,,Y22,,,H12,222.003,,DE,,R4,Switzerland,2019
59,,Y23,,,H12,8068.192,,DE,,R4,Switzerland,2019
60,,Y23,,,H12,2137.95,,BE,,R4,Switzerland,2019
61,,Y23,,,H12,7933.369,,IT,,R4,Switzerland,2019
62,,Y23,,,H12,12.727,,NL,,R12,Switzerland,2019
63,,Y23,,,H12,420.0,,BE,,R4,Switzerland,2019
64,,Y29,,,H12,23.604,,DE,,R5,Switzerland,2019
65,,Y29,,,H12,1.755,,AT,,R4,Switzerland,2019
66,,Y31,,,H12,98.3,,BE,,R4,Switzerland,2019
67,,Y31,,,H12,22.2,,DE,,R4,Switzerland,2019
68,,Y42,,,H12,254.61,,DE,,R12,Switzerland,2019
69,,Y42,,,H12,228.62,,DE,,R12,Switzerland,2019
70,,Y45,,,H12,39.791,,DE,,R3,Switzerland,2019
71,Y47,,,,H12,827.06,,BE,,R4,Switzerland,2019
72,,Y5,,,H12,2823.28,,DE,,R1,Switzerland,2019
73,,Y8,,,H12,500.29,,DE,,R9,Switzerland,2019
74,,Y8,,,H12,2560.01,,IT,,R9,Switzerland,2019
75,,Y8,,,H12,1136.402,,DE,,R9,Switzerland,2019
76,,Y9,,,H12,366.13,,DE,D9,,Switzerland,2019
77,,Y11,,,H13,140.56,,AT,,R13,Switzerland,2019
78,,Y11,,,H13,714.66,,DE,,R4,Switzerland,2019
