,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A2030,," 15 02 02*, 16 08 07*",Waste catalysts but excluding such wastes specified on list B,"H4.1,H4.2,H6.1",16.0,FR,BE,,R4,Uzbekistan,2019
1,A2030,, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H_,236.1205,"BE,FR",DE,,R12,Uzbekistan,2019
2,A2030,, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H_,85.6585,"BE,FR",DE,,"R4,R12",Uzbekistan,2019
3,A2030,, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,,0.6,FR,ES,,R8,Uzbekistan,2019
4,A3150,, 07 07 07*,Waste halogenated organic solvents,H3,1818.94,,NL,,"R3,R13",Uzbekistan,2019
5,A4130,, 16 05 04*,Waste packages and containers containing Annex I substances in concentrations sufficient to exhibit Annex III hazard characteristics,"H12,H6.1",2.61,,IE,,"R3,R4",Uzbekistan,2019
6,A4130,, 16 05 04*,Waste packages and containers containing Annex I substances in concentrations sufficient to exhibit Annex III hazard characteristics,"H12,H6.1",6.8,,IE,,"R3,R4",Uzbekistan,2019
7,,, 17 02 04*,Treated cork and wood wastes,H11,525.0,,NL,,R3,Uzbekistan,2019
8,,, 17 02 04*,Treated cork and wood wastes,H12,200.0,,NL,,"R3,R13",Uzbekistan,2019
9,,, 10 03 04*,Aluminium Skimmings ,H4.3,1712.05,NL,IS,,R4,Uzbekistan,2019
10,,, 10 13 12*,APC Residues,H_,4164.47,,IE,,R10,Uzbekistan,2019
11,,, 10 13 12*,APC residues,H_,6341.926,,IE,,R13,Uzbekistan,2019
12,,, 10 13 12*,Cement Kiln Dust,H_,475.0,,IE,,R10,Uzbekistan,2019
13,,," 16 02 14, 16 02 16, 20 01 36",Discarded EEE containing non haz parts and light iron,H_,4767.156,,IE,,R4,Uzbekistan,2019
14,,," 16 02 14, 16 02 16, 20 01 36",Discarded EEE containing non-haz parts and light iron,H_,503.68,,IE,,R4,Uzbekistan,2019
15,,, 20 01 35*,Discarded electrical and electronic equipment,H_,2193.18,,IE,,R4,Uzbekistan,2019
16,,, 16 10 01*,LLW Ceramic shop coolant (liquid),H_,1.83,,IE,D10,,Uzbekistan,2019
17,,, 20 01 35*,"Plastics 65-75%; Metal, cable & circuit boards 10-20%; foam and mat...",H_,19.56,"BE,FR",NL,,"R4,R5",Uzbekistan,2019
18,,," 16 02 13*, 16 02 14",Waste audio headsets,H_,4.394,"BE,FR",NL,,"R4,R5",Uzbekistan,2019
19,A3010,Y11," 05 01 03*, 15 01 10*",Waste from the production or processing of petroleum coke and bitumen,H12,107.56,"BE,DE,ES,GB,GM",MR,D10,,Uzbekistan,2019
20,A3160,"Y12,Y18,Y6"," 07 01 04*, 07 03 04*, 07 05 04*, 14 06 03*, 19 02 05*",Waste halogenated or unhalogenated non-aqueous distillation residues arising from organic solvent recovery operations,H3,187.58,,IE,,R3,Uzbekistan,2019
21,A3140,"Y12,Y42,Y6"," 07 01 04*, 07 01 08*, 07 02 04*, 07 02 08*, 07 03 04*, 07 03 08*, 07 04 04*, 07 04 08*, 07 05 04*, 07 05 08*, 07 06 04*, 07 06 08*, 07 07 04*, 07 07 08*, 08 01 11*, 08 03 12*, 08 03 14*, 14 06 03*, 16 05 08*, 18 01 06*, 20 01 13*",Waste non-halogenated organic solvents but excluding such wastes specified on list B,"H3,H6.1",103.661,,IE,,"R2,R12",Uzbekistan,2019
22,A4140,"Y14,Y2", 16 05 06*,Waste consisting of or containing off-specification or out-dated chemicals corresponding to Annex I categories and exhibiting Annex III hazard characteristics,"H4.1,H4.2,H4.3,H5.1,H6.1,H8",0.34,,IE,D10,,Uzbekistan,2019
23,A4080,Y15, 16 01 10*,Wastes of an explosive nature (but excluding such wastes specified on list B),H13,86.231,FR,BE,,R4,Uzbekistan,2019
24,,Y16, 09 01 06*,"Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included",,42.36,,BE,,R4,Uzbekistan,2019
25,,Y16, 09 01 99,"Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included",,344.6,,BE,,R4,Uzbekistan,2019
26,,Y16, 09 01 99,"Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included",H12,13.523,,BE,,R4,Uzbekistan,2019
27,,Y16," 09 01 01*, 09 01 04*, 09 01 05*","Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included",H_,17.98,,IE,,R4,Uzbekistan,2019
28,,Y16," 09 01 04*, 09 01 05*","Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included",H8,36.39,,IE,,"R4,R12",Uzbekistan,2019
29,,Y16, 09 01 06*,"Wastes from the production, formulation and use of reprographic and photographic chemicals and materials not elsewhere specified or included",H_,18.92,"BE,FR",NL,,R4,Uzbekistan,2019
30,A2030,Y17," 11 01 98*, 16 08 07*",Waste catalysts but excluding such wastes specified on list B,H_,88.5112,,DE,,R4,Uzbekistan,2019
31,A2030,Y17, 16 08 06*,Waste catalysts but excluding such wastes specified on list B,H_,204.544,"GR,PT,TR",MK,,R4,Uzbekistan,2019
32,A2030,Y17, 16 08 06*,Waste catalysts but excluding such wastes specified on list B,H_,717.675,"GR,PT,TR",MK,,R4,Uzbekistan,2019
33,A3140,Y17, 11 01 13*,Waste non-halogenated organic solvents but excluding such wastes specified on list B,H3,42.8,,IE,,R2,Uzbekistan,2019
34,A4090,Y17," 06 01 01*, 06 01 04*, 06 03 13*","Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120)",H8,202.095,,BE,,R5,Uzbekistan,2019
35,A4090,Y17, 11 01 11*,"Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120)",H6.1,4278.13,,IE,,R5,Uzbekistan,2019
36,A4090,Y17, 11 01 11*,"Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120)",H6.1,1317.32,,IE,,R5,Uzbekistan,2019
37,A4090,Y17, 14 06 03*,"Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120)","H6.1,H8",1148.45,,IE,D10,,Uzbekistan,2019
38,A4090,Y17, 14 06 03*,"Waste acidic or basic solutions, other than those specified in the corresponding entry on list B (note the related entry on list B, B2120)","H6.1,H8",2988.03,,IE,,R2,Uzbekistan,2019
39,,Y17, 11 01 98*,Wastes from non-cyanide based systems which arise from surface treatment of metals,"H6.1,H8",38.624,,IE,,R4,Uzbekistan,2019
40,,Y17, 15 02 02*,Material cont metal parts and dust from orthopaedic implant manuf.,"H4.1,H6.1",25.3,,IE,,R4,Uzbekistan,2019
41,,Y17, 15 02 02*,Material containing metal particles and dust from orthopedic industry,"H4.1,H6.1",23.62,,IE,,R4,Uzbekistan,2019
42,,Y17, 12 01 20*,Nickel machine Dust,H12,3.62,,IE,,R4,Uzbekistan,2019
43,,Y17, 12 01 20*,Nickel machine dust,H12,16.45,,IE,,R4,Uzbekistan,2019
44,,Y17, 12 01 03,Wastes from casting of non-ferous pieces and alluminium swarf ,,42.439,,IE,,R4,Uzbekistan,2019
45,A2030,Y18, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H11,65.2075,"BE,FR",DE,,R8,Uzbekistan,2019
46,A2030,Y18, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H11,300.436,"BE,FR,NL",DE,,R8,Uzbekistan,2019
47,A2030,Y18, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H11,1.4,SE,FI,,R8,Uzbekistan,2019
48,A2030,Y18, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H11,0.78,,FR,,R8,Uzbekistan,2019
49,A2030,"Y18,Y2", 16 08 07*,Waste catalysts but excluding such wastes specified on list B,"H4.1,H4.2,H6.1,H8",4.234,,IE,,R4,Uzbekistan,2019
50,A2030,"Y18,Y2", 16 08 07*,Waste catalysts but excluding such wastes specified on list B,"H4.1,H4.2,H6.1",6.3636,,IE,,R4,Uzbekistan,2019
51,A3150,"Y18,Y2,Y41", 07 05 03*,Waste halogenated organic solvents,"H3,H6.1",192.6,,IE,,R2,Uzbekistan,2019
52,A3150,"Y18,Y2,Y41", 07 05 03*,Waste halogenated organic solvents,"H3,H6.1,H8",50.6,,IE,,R2,Uzbekistan,2019
53,A3150,"Y18,Y2,Y41", 07 05 03*,Waste halogenated organic solvents,"H3,H6.1,H8",74.52,,IE,,R2,Uzbekistan,2019
54,A2030,Y2, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,"H11,H12,H3,H4.1,H4.2,H6.1,H8",26.153,FR,CH,,R4,Uzbekistan,2019
55,A2030,Y2, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H4.1,9.064,FR,CH,,R4,Uzbekistan,2019
56,A2030,Y2, 15 02 02*,Waste catalysts but excluding such wastes specified on list B,H4.1,48.36,,IE,,R4,Uzbekistan,2019
57,A2030,Y2, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,"H3,H4.1,H6.1",6.88,,IE,,R4,Uzbekistan,2019
58,A2030,Y2, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,"H3,H4.1,H6.1",19.811,,IE,,R4,Uzbekistan,2019
59,A2030,Y2, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H_,29.525,,IE,,R4,Uzbekistan,2019
60,A3140,Y2, 07 05 04*,Waste non-halogenated organic solvents but excluding such wastes specified on list B,"H11,H3,H6.1,H8",49.64,,IE,,R2,Uzbekistan,2019
61,A4010,Y2," 07 05 01*, 07 05 04*","Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B","H11,H3,H6.1,H8",2420.57,,IE,,R2,Uzbekistan,2019
62,A4010,Y2," 07 05 01*, 07 05 04*","Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B","H3,H6.1,H8",1917.32,,IE,,R2,Uzbekistan,2019
63,A4010,Y2," 07 05 01*, 07 05 04*, 16 03 05*, 16 05 08*","Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B","H3,H6.1,H8",175.97,,IE,,R2,Uzbekistan,2019
64,A4010,Y2," 07 05 01*, 07 05 13*, 18 01 09","Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B",H6.1,7.87,,IE,D10,,Uzbekistan,2019
65,A4010,Y2, 07 05 04*,"Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B","H3,H6.1,H8",622.698,,IE,,R2,Uzbekistan,2019
66,A4010,Y2," 07 05 04*, 14 06 03*","Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B","H3,H6.1,H8",614.84,,IE,,R2,Uzbekistan,2019
67,A4010,Y2," 07 05 08*, 07 05 13*","Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B","H12,H4.1,H6.1",5.75,,IE,D10,,Uzbekistan,2019
68,A4130,Y2, 15 01 10*,Waste packages and containers containing Annex I substances in concentrations sufficient to exhibit Annex III hazard characteristics,H12,8.97,,IE,"D9,D15",,Uzbekistan,2019
69,A4010,"Y2,Y3", 07 05 13*,"Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B","H11,H6.1",2.14,,IE,D10,,Uzbekistan,2019
70,A3150,"Y2,Y41", 07 05 03*,Waste halogenated organic solvents,"H3,H6.1,H8",20.04,,IE,D10,,Uzbekistan,2019
71,A3140,"Y2,Y42"," 07 01 04*, 07 02 04*, 07 03 04*, 07 04 04*, 07 05 04*, 07 07 04*, 14 06 03*",Waste non-halogenated organic solvents but excluding such wastes specified on list B,"H3,H6.1,H8",1486.24,,IE,,R2,Uzbekistan,2019
72,A3140,"Y2,Y42", 07 05 04*,Waste non-halogenated organic solvents but excluding such wastes specified on list B,"H11,H3,H6.1,H8",449.54,,IE,,R2,Uzbekistan,2019
73,A3140,"Y2,Y42", 07 05 04*,Waste non-halogenated organic solvents but excluding such wastes specified on list B,"H3,H6.1,H8",315.84,,IE,,R2,Uzbekistan,2019
74,A3140,"Y2,Y42", 07 05 04*,Waste non-halogenated organic solvents but excluding such wastes specified on list B,"H3,H6.1,H8",593.98,,IE,D10,,Uzbekistan,2019
75,A3140,"Y2,Y42"," 07 05 04*, 16 03 05*",Waste non-halogenated organic solvents but excluding such wastes specified on list B,"H11,H3,H6.1,H8",618.51,,IE,,R2,Uzbekistan,2019
76,A4010,"Y2,Y42"," 07 05 01*, 07 05 03*, 07 05 04*","Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B","H3,H6.1",584.485,,IE,,R2,Uzbekistan,2019
77,A4010,"Y2,Y42"," 07 05 01*, 07 05 03*, 07 05 04*","Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B","H3,H6.1",397.036,,IE,,R2,Uzbekistan,2019
78,A4010,"Y2,Y42"," 07 05 01*, 07 05 04*","Wastes from the production, preparation and use of pharmaceutical products but excluding such wastes specified on list B","H11,H3,H6.1,H8",264.14,,IE,,R3,Uzbekistan,2019
