,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A1010,Y29,18 01 10*,amalgam,H12,87.85,"GB,DE,FR,NL,BE",US,,R13,Barbados,2020
1,A1010,Y29,18 01 10*,amalgam,H12,28.731,"BE,DE",CN,,R12,Barbados,2020
2,A4140,Y18,16 05 06*,chemicals,H3,1.46,"HR,SI",BA,D10,,Barbados,2020
3,A4140,,16 05 06*,chemicals,H6.1,20.051,"HR,SI",BA,D9,,Barbados,2020
4,A4010,Y3,18 01 09,medicines,H6.1,27.62,"HR,SI",BA,,R1,Barbados,2020
5,,,20 01 29*,detergents,H12,43.1,"HR,SI",BA,D10,,Barbados,2020
6,,Y12,19 12 11*,premixed wastes,H4.1,133.08,"HR,SI",BA,D10,,Barbados,2020
7,,Y1,18 01 03*,infectious waste,H6.2,1.16,"HR,SI",BA,D10,,Barbados,2020
8,,Y18,19 08 13*,waste water sludge,H12,24.08,"HR,SI",BA,D10,,Barbados,2020
9,A2030,,16 08 02*,catalysts,H11,926.066,DE,BE,,R8,Barbados,2020
10,A2030,,16 08 02*,catalysts,H4.2,2591.85,"RO,HU",BG,,R4,Barbados,2020
11,,Y18,19 02 04*,premixed wastes,H4.1,51.24,"RO,HU",BG,D10,,Barbados,2020
12,A1010,Y31,17 04 09*,lead bearing waste,H11,468.96,DE,CH,,R4,Barbados,2020
13,A1030,Y29,18 01 10*,amalgam,H12,1.48,,CH,,R4,Barbados,2020
14,A1190,Y11,17 04 10*,cabel,H13,125.89,,CH,,R13,Barbados,2020
15,,Y17,12 01 18*,metal sludge,H13,223.85,,CH,,R4,Barbados,2020
16,A1160,Y31,16 06 01*,LAB,H8,1631.835,,CH,,R13,Barbados,2020
17,A1130,Y17,11 01 05*,etching solution,H8,203.24,,CH,,R4,Barbados,2020
18,A1060,Y17,11 01 05*,pickling acid,H8,311.69,,CH,,R4,Barbados,2020
19,,,17 05 05*,contaminated soil,H12,37521.15,DE,CH,,R5,Barbados,2020
20,,,17 09 03*,scrap,H13,20.0,,CH,,R4,Barbados,2020
21,A4160,Y41,15 02 02*,activated carbon,H11,499.32,,CZ,,R7,Barbados,2020
22,,Y17,12 01 14*,metal sludge,H12,12.667,,CZ,,R4,Barbados,2020
23,A1010,Y29,18 01 10*,amalgam,H12,2.05,,CZ,,R4,Barbados,2020
24,A3120,Y18,19 10 03*,FLUFF,H12,2973.89,,DE,,R3,Barbados,2020
25,A4060,Y9,19 02 07*,emulsions,H12,339.62,,DE,,R12,Barbados,2020
26,,Y17,12 01 18*,metal sludge,H13,236.648,,DE,,R4,Barbados,2020
