,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A3180,Y10,160209,,,129.734,,FR,D10,,Belgium,2020
1,A3180,Y10,160209,,,12.26,,NL,D14,,Belgium,2020
2,A3050,Y12,80113,,,39.44,,FR,,R12,Belgium,2020
3,A4070,Y12,80111,,,125.77,,DE,,R12,Belgium,2020
4,A4130,Y12,150110,,,14.38,,DE,,R12,Belgium,2020
5,A4130,Y12,150110,,,253.999,,NL,,R12,Belgium,2020
6,A3050,Y13,80409,,,101.27,,DE,,R12,Belgium,2020
7,A3050,Y13,191211,,,242.3,,DE,,R12,Belgium,2020
8,A4140,Y14,160506,,,113.256,,DE,D10,,Belgium,2020
9,A4140,Y14,160506,,,10.953,,DK,D10,,Belgium,2020
10,A4080,Y15,160401,,,1.523,,DE,D10,,Belgium,2020
11,A4080,Y15,160401,,,2.322,,DE,D15,,Belgium,2020
12,A4080,Y15,160402,,,157.842,,DE,D15,,Belgium,2020
13,A4080,Y15,160504,,,49.993,,NL,,R12,Belgium,2020
14,A4060,Y16,70701,,,276.407,,NL,D10,,Belgium,2020
15,A1170,Y18,160121,,,6.2,,DE,,R13,Belgium,2020
16,A1190,Y18,170410,,,48.25,,FR,,R12,Belgium,2020
17,A4010,Y18,161001,,,594.04,,FR,D10,,Belgium,2020
18,A4090,Y18,190204,,,545.0,,DE,D10,,Belgium,2020
19,A4100,Y18,101115,,,30.82,,DE,D12,,Belgium,2020
20,A4110,Y18,190113,,,7486.168,,DE,,R12,Belgium,2020
21,A4140,Y18,160903,,,15.988,,DE,D10,,Belgium,2020
22,A4100,Y22,160507,,,16.398,,NL,D14,,Belgium,2020
23,A2030,Y23,160802,,,28.275,,NL,,R13,Belgium,2020
24,A1030,Y24,100606,,,2266.547,,DE,D12,,Belgium,2020
25,A1030,Y29,60404,,,158.214,,DE,D12,,Belgium,2020
26,A1030,Y29,200121,,,6.586,,DE,,R12,Belgium,2020
27,A1160,Y31,160601,,,99.539,,FR,,R12,Belgium,2020
28,A1160,Y31,160601,,,56.485,,NL,,R12,Belgium,2020
29,A1160,Y31,160601,,,3530.647,,NL,,R13,Belgium,2020
30,A1190,Y31,170409,,,20.0,,NL,,R13,Belgium,2020
31,A1180,Y32,160213,,,3.064,,FR,,R12,Belgium,2020
32,A4090,Y34,60106,,,14.11,,DE,D10,,Belgium,2020
33,A4090,Y34,160506,,,9.4,,DE,D10,,Belgium,2020
34,A4090,Y34,200114,,,5.784,,DE,D10,,Belgium,2020
35,A4140,Y34,160506,,,34.557,,DE,D10,,Belgium,2020
36,A4090,Y35,50111,,,7498.114,,NL,D10,,Belgium,2020
37,A4090,Y35,160506,,,2.94,,DE,D10,,Belgium,2020
38,A4090,Y35,200115,,,11.08,,DE,D10,,Belgium,2020
39,A4050,Y38,80501,,,101.21,,DE,,R12,Belgium,2020
40,A3150,Y41,70103,,,584.423,,DE,D10,,Belgium,2020
41,A3150,Y41,70503,,,25.92,,DE,D10,,Belgium,2020
42,A3170,Y41,70107,,,11741.985,,FR,D10,,Belgium,2020
43,A3140,Y42,70101,,,377.9,,FR,D10,,Belgium,2020
44,A3140,Y42,70104,,,297.1,,NL,D10,,Belgium,2020
45,A3140,Y42,70108,,,444.273,,DE,D10,,Belgium,2020
46,A3140,Y42,70204,,,610.818,,NL,,R12,Belgium,2020
47,A3140,Y42,70404,,,22.56,,FR,D10,,Belgium,2020
48,A3140,Y42,70704,,,18.28,,DE,D10,,Belgium,2020
49,A3140,Y42,150202,,,0.94,,DE,,R13,Belgium,2020
50,A3140,Y42,161001,,,2936.68,,FR,D10,,Belgium,2020
51,A3140,Y42,190208,,,1233.74,,FR,D10,,Belgium,2020
52,A4140,Y42,160508,,,96.055,,NL,,R12,Belgium,2020
53,A3120,,191004,,,3532.006,,FR,,R12,Belgium,2020
54,A3140,,161002,,,2004.4,,FR,D10,,Belgium,2020
