,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,,"Y12,Y13,Y41,Y45",,"sludges from paints and varnishes, halogenated solvents, packaging waste and filter materials",,199.06,,AT,D10,,Bosnia and Herzegovina,2020
1,,Y11,,0,,13.96,,AT,D9,,Bosnia and Herzegovina,2020
2,,"Y18,Y31",,sludges containing dangerous substances from other treatment of industrial waste water,,24.14,,AT,D10,,Bosnia and Herzegovina,2020
3,,Y1,,wastes whose collection and disposal is subject to special requirements in order to prevent infection,,13.2,,AT,D10,,Bosnia and Herzegovina,2020
4,A1160,"Y31,Y34",,0,"H12,H8",3483.37,,RS,,R4,Bosnia and Herzegovina,2020
5,A1160,"Y31,Y34",,lead acid batteries,,1571412.0,,SI,,R4,Bosnia and Herzegovina,2020
6,A1160,"Y31,Y34",,lead acid batteries,,889.54,,HR,,R4,Bosnia and Herzegovina,2020
7,A4070,Y12,,waste paint and varnish ,,73.0,,DE,D10,,Bosnia and Herzegovina,2020
8,,Y18,,mixed waste ,"H4.1,H6.1,H12",166.16,,DE,D10,,Bosnia and Herzegovina,2020
9,,"Y2,Y3",,Pharmaceutical waste,"H3,H4.1,H6.1,H12",37.16,,DE,D10,,Bosnia and Herzegovina,2020
10,A1160,Y31,,lead acid batteries,H12,912.43,,CZ,,R4,Bosnia and Herzegovina,2020
11,A1160,Y31,,lead acid batteries,H12,432.64,,AT,,R4,Bosnia and Herzegovina,2020
