,annex_2_8_9,annex_1,national_code,type_of_waste,annex_3,amount,countries_of_transit ,country_of_destination,annex_4_a,annex_4_b,country,year
0,A1010,Y29,180110,Amalgam waste,H12,4.33,,AT,,R4,Germany,2020
1,A1010,Y31,170409,,H12,280.33,,NL,,R4,Germany,2020
2,A1010,Y31,170409,,H12,214.66,,SE,,R4,Germany,2020
3,A1010,Y31,191211,,H6.1,25.2,,CZ,,R4,Germany,2020
4,A1020,Y22,60405,,H12,195.04,,BE,,R4,Germany,2020
5,A1020,Y22,60405,,H12,2018.77,NL,BE,,R4,Germany,2020
6,A1020,Y31,60405,,H6.1,7159.66,,BE,,R4,Germany,2020
7,A1020,Y31,60405,,H6.1,1177.2,NL,BE,,R4,Germany,2020
8,A1020,Y31,100401,,H6.1,15.38,,NL,,R4,Germany,2020
9,A1020,Y31,100401,,H6.1,25.76,NL,BE,,R4,Germany,2020
10,A1020,Y31,100402,,H6.1,706.96,,be,,R4,Germany,2020
11,A1020,Y31,100402,,H6.1,106.43,,PL,,R4,Germany,2020
12,A1020,Y31,100402,,H6.1,2502.86,NL,BE,,R4,Germany,2020
13,A1020,Y31,100404,,H6.1,4307.04,,be,,R4,Germany,2020
14,A1020,,110207,,H6.1,51.5,,BE,,R4,Germany,2020
15,A1030,Y24,60403,,H6.1,8.17,,SK,,R4,Germany,2020
16,A1050,Y17,110109,,H12,139.26,,BE,,R4,Germany,2020
17,A1050,Y17,110109,,H12,308.63,,PL,,R4,Germany,2020
18,A1050,Y17,110109,,H12,151.57,NL,BE,,R4,Germany,2020
19,A1050,Y17,110198,,H12,167.24,,BE,,R4,Germany,2020
20,A1060,Y17,110105,,H8,927.81,,AT,,R4,Germany,2020
21,A1060,Y17,110105,,H8,69.64,,AT,,R5,Germany,2020
22,A1060,Y17,110105,,H8,356.4,,BE,,R5,Germany,2020
23,A1060,Y17,110105,,H8,85.43,NL,BE,,R4,Germany,2020
24,A1060,Y17,110106,,H8,684.8,,BE,,R5,Germany,2020
25,A1070,Y17,110503,,H8,17.64,,BE,,R4,Germany,2020
26,A1070,Y17,110503,,H8,22.41,,BE,,R5,Germany,2020
27,A1130,Y17,110106,,H8,70.08,,BE,,R4,Germany,2020
28,A1130,Y17,110107,,H8,1424.59,,BE,,R4,Germany,2020
29,A1130,Y17,110107,,H8,348.75,lu,BE,,R4,Germany,2020
30,A1160,Y31,160601,,H8,2231.4,,AT,,R4,Germany,2020
31,A1160,Y31,160601,,H8,39.9,,BE,,R4,Germany,2020
32,A1160,Y31,160601,,H8,26704.48,,CZ,,R4,Germany,2020
33,A1160,Y31,160601,,H8,118.34,,FR,,R4,Germany,2020
34,A1160,Y31,160601,,H8,1487.04,,NL,,R13,Germany,2020
35,A1160,Y31,160601,,H8,17144.52,,PL,,R12,Germany,2020
36,A1160,Y31,160601,,H8,981.33,,PL,,R4,Germany,2020
37,A1160,Y31,160601,,H8,2104.26,,SI,,R4,Germany,2020
38,A1160,Y31,160601,,H8,2591.86,AT,SI,,R4,Germany,2020
39,A1160,Y31,160601,,H8,96.68,"CZ,SK,HU,RO,BG",GR,,R4,Germany,2020
40,A1160,Y31,160601,,H8,2361.09,NL,BE,,R4,Germany,2020
41,A1170,Y26,160602,,H6.1,681.39,,FR,,R4,Germany,2020
42,A1170,,200133,,H12,48.0,,FI,,R4,Germany,2020
43,A1170,,200133,,H12,97.72,NL,FI,,R4,Germany,2020
44,A1180,Y6,160211,,H12,867.4,,AT,,R12,Germany,2020
45,A1180,Y6,160211,,H12,372.64,BE,FR,,R12,Germany,2020
46,A1180,,160213,,H12,10242.18,,AT,,R4,Germany,2020
47,A1180,,160213,,H12,2184.74,,BE,,R12,Germany,2020
48,A1180,,160213,,H12,4226.65,,CZ,,R12,Germany,2020
49,A1180,,160213,,H12,1716.54,,LT,,R12,Germany,2020
50,A1180,,160213,,H12,316.64,,NL,,R12,Germany,2020
51,A1180,,200135,,H12,281.4,,AT,,R12,Germany,2020
52,A1180,,200135,,H12,870.8,,AT,,R4,Germany,2020
53,A1180,,200135,,H12,672.22,,CZ,,R12,Germany,2020
54,A1190,,170410,,H12,94.44,,AT,,R4,Germany,2020
55,A1190,,170410,,H12,500.77,,NL,,R12,Germany,2020
56,A1190,,170410,,H12,3190.16,,NL,,R4,Germany,2020
57,A2030,Y18,191211,,H6.1,16.11,,SE,,R4,Germany,2020
58,A2030,Y18,191211,,H6.1,329.4,,US,,R4,Germany,2020
59,A2030,,160802,,H12,179.55,,NL,,R8,Germany,2020
60,A2030,,160802,,H12,41.74,BE,LU,,R5,Germany,2020
61,A2030,,160802,,H4.1,150.99,,NL,,R8,Germany,2020
