,annex_2_8_9,annex_1,national_code,type_of_waste,annex_3,amount,countries_of_transit ,country_of_destination,annex_4_a,annex_4_b,country,year
0,A1010,Y18,191211,,H6.1,182.74,AT,IT,D10,,Greece,2020
1,A1010,Y29,160307,,H6.1,1.44,,BE,D12,,Greece,2020
2,A1010,Y29,160307,,H6.1,91.06,,FI,D12,,Greece,2020
3,A1010,Y29,160307,,H6.1,1.76,FR,ES,,R4,Greece,2020
4,A1010,Y29,180110,Amalgam waste,H12,0.19,,AT,,R13,Greece,2020
5,A1010,Y29,180110,Amalgam waste,H12,46.6,,AT,,R4,Greece,2020
6,A1010,Y29,180110,Amalgam waste,H12,2.05,,CH,,R4,Greece,2020
7,A1010,Y29,180110,Amalgam waste,H12,3.77,,DK,,R4,Greece,2020
8,A1010,Y29,180110,Amalgam waste,H12,0.48,,FI,,R4,Greece,2020
9,A1010,Y29,180110,Amalgam waste,H12,5.07,,FR,,R4,Greece,2020
10,A1010,Y29,180110,Amalgam waste,H12,8.56,,GB,,R4,Greece,2020
11,A1010,Y29,180110,Amalgam waste,H12,12.02,,NL,,R4,Greece,2020
12,A1010,Y29,180110,Amalgam waste,H12,0.41,,NO,D14,,Greece,2020
13,A1010,Y29,180110,Amalgam waste,H12,70.16,,SE,,R4,Greece,2020
14,A1010,Y29,180110,Amalgam waste,H12,12.43,,US,,R4,Greece,2020
15,A1010,Y29,180110,Amalgam waste,H12,18.48,NL,GB,,R4,Greece,2020
16,A1010,Y31,170409,,H12,48.04,,CH,,R4,Greece,2020
17,A1010,Y31,170409,,H12,44.74,,LU,D1,,Greece,2020
18,A1010,Y31,170409,,H12,283.56,,NL,,R4,Greece,2020
19,A1010,Y31,191211,,H6.1,141.98,,AT,,R4,Greece,2020
20,A1010,Y31,191211,,H6.1,669.57,,DK,,R5,Greece,2020
21,A1010,Y31,191211,,H6.1,48663.9,,FR,,R4,Greece,2020
22,A1010,Y31,191211,,H6.1,335.16,,GR,D1,,Greece,2020
23,A1010,Y31,191211,,H6.1,645.03,,IT,,R1,Greece,2020
24,A1010,Y31,191211,,H6.1,861.07,,LT,,R4,Greece,2020
25,A1010,Y31,191211,,H6.1,97.58,PL,LT,,R4,Greece,2020
26,A1020,Y22,110202,,H12,565.33,,BE,,R4,Greece,2020
27,A1020,Y22,110205,,H12,969.45,,BE,,R4,Greece,2020
28,A1020,Y31,60405,,H12,1.55,"SI,AT",HR,,R4,Greece,2020
29,A1020,Y31,60405,,H6.1,555.96,,CA,,R4,Greece,2020
30,A1020,Y31,100402,,H6.1,25.63,,CH,,R12,Greece,2020
31,A1020,Y31,100402,,H6.1,185.48,,NL,,R4,Greece,2020
32,A1020,Y31,100402,,H6.1,1687.8,,RS,,R4,Greece,2020
33,A1020,,60315,,H12,28.84,,IT,,R4,Greece,2020
34,A1020,,190808,,H12,9.1,,GR,D10,,Greece,2020
35,A1030,Y24,60403,,H6.1,104.5,,FR,D12,,Greece,2020
36,A1030,Y24,60403,,H6.1,52.36,,PL,D12,,Greece,2020
37,A1030,Y24,60403,,H6.1,61.9,,SK,D12,,Greece,2020
38,A1030,Y24,60403,,H6.1,96.26,CZ,SK,D12,,Greece,2020
39,A1030,Y24,100606,,H6.1,1584.46,,BE,D12,,Greece,2020
40,A1030,Y29,50701,,H6.1,30.36,,GB,D12,,Greece,2020
41,A1030,Y29,50701,,H6.1,2.14,,NL,D12,,Greece,2020
42,A1030,Y29,60404,,H6.1,0.82,,AT,,R4,Greece,2020
43,A1030,Y29,60404,,H6.1,264.16,,BE,D12,,Greece,2020
44,A1030,Y29,60404,,H6.1,3.22,,BG,,R4,Greece,2020
45,A1030,Y29,60404,,H6.1,80.15,,CH,D12,,Greece,2020
46,A1030,Y29,60404,,H6.1,161.16,,IT,D10,,Greece,2020
47,A1030,Y29,60404,,H6.1,38.82,,IT,D12,,Greece,2020
48,A1030,Y29,60404,,H6.1,0.58,,SE,,R4,Greece,2020
49,A1030,Y29,60404,,H6.1,85.6,,SE,D12,,Greece,2020
50,A1030,Y29,60404,,H6.1,1.38,,SE,D9,,Greece,2020
51,A1030,Y29,60702,,H6.1,25.18,,FI,D12,,Greece,2020
52,A1030,Y29,101401,,H6.1,7.54,,NL,D12,,Greece,2020
53,A1030,Y29,160603,,H6.1,0.44,,AT,,R13,Greece,2020
54,A1030,Y29,160603,,H6.1,0.3,,CH,,R4,Greece,2020
55,A1030,Y29,160603,,H6.1,32.88,,NL,,R4,Greece,2020
56,A1030,Y29,170901,,H6.1,31.82,,CH,,R5,Greece,2020
57,A1030,Y29,170901,,H6.1,361.2,,FI,D12,,Greece,2020
58,A1030,Y29,170901,,H6.1,31.38,,HU,D12,,Greece,2020
59,A1030,Y29,170901,,H6.1,62.42,,PL,D12,,Greece,2020
60,A1030,Y29,190308,,H12,159.72,,CH,D12,,Greece,2020
61,A1030,Y29,191211,,H6.1,56.44,"FR,BE",ES,D12,,Greece,2020
62,A1030,Y29,200121,,H6.1,802.21,,AT,,R5,Greece,2020
63,A1030,Y29,200121,,H6.1,6.58,,BE,,R12,Greece,2020
64,A1030,Y29,200121,,H6.1,104.83,,CH,,R5,Greece,2020
65,A1030,Y29,200121,,H6.1,12.91,,CH,D12,,Greece,2020
66,A1030,Y29,200121,,H6.1,148.49,,DK,,R4,Greece,2020
67,A1030,Y29,200121,,H6.1,4.96,,DK,D14,,Greece,2020
68,A1030,Y29,200121,,H6.1,0.65,,EE,D14,,Greece,2020
69,A1030,Y29,200121,,H6.1,3.96,,FI,,R12,Greece,2020
70,A1030,Y29,200121,,H6.1,1.64,,NO,D14,,Greece,2020
71,A1030,Y29,200121,,H6.1,140.08,,SI,,R5,Greece,2020
72,A1050,Y17,110109,,H12,2433.67,,AT,,R4,Greece,2020
73,A1050,Y17,110109,,H12,120.26,,BE,,R4,Greece,2020
74,A1050,Y17,110109,,H12,90.6,,BR,,R4,Greece,2020
75,A1050,Y17,110109,,H12,5968.47,,CH,,R4,Greece,2020
76,A1050,Y17,110109,,H12,2084.86,,CH,D12,,Greece,2020
77,A1050,Y17,110109,,H12,90.58,,CN,,R4,Greece,2020
78,A1050,Y17,110109,,H12,514.48,,CZ,,R4,Greece,2020
79,A1050,Y17,110109,,H12,479.75,,DK,,R4,Greece,2020
80,A1050,Y17,110109,,H12,439.81,,ES,,R4,Greece,2020
81,A1050,Y17,110109,,H12,116.36,,FI,,R4,Greece,2020
82,A1050,Y17,110109,,H12,1195.08,,FR,,R4,Greece,2020
83,A1050,Y17,110109,,H12,36.19,,FR,D12,,Greece,2020
84,A1050,Y17,110109,,H12,88.71,,GB,,R4,Greece,2020
85,A1050,Y17,110109,,H12,34.03,,HU,,R4,Greece,2020
86,A1050,Y17,110109,,H12,69.91,,IE,,R12,Greece,2020
87,A1050,Y17,110109,,H12,81.74,,IE,D1,,Greece,2020
88,A1050,Y17,110109,,H12,28.98,,IE,D9,,Greece,2020
89,A1050,Y17,110109,,H12,671.55,,IT,,R4,Greece,2020
90,A1050,Y17,110109,,H12,286.43,,NL,,R4,Greece,2020
91,A1050,Y17,110109,,H12,1834.69,,NL,,R5,Greece,2020
92,A1050,Y17,110109,,H12,3.73,,NL,D10,,Greece,2020
93,A1050,Y17,110109,,H12,364.49,,NO,,R4,Greece,2020
94,A1050,Y17,110109,,H12,609.18,,PL,,R4,Greece,2020
95,A1050,Y17,110109,,H12,225.15,,PT,,R4,Greece,2020
96,A1050,Y17,110109,,H12,22.09,,RO,,R4,Greece,2020
97,A1050,Y17,110109,,H12,192.85,,SE,,R4,Greece,2020
98,A1050,Y17,110109,,H12,63.04,,SI,,R4,Greece,2020
99,A1050,Y17,110109,,H12,191.36,,SK,,R4,Greece,2020
100,A1050,Y17,110109,,H12,292.21,,TR,,R4,Greece,2020
101,A1050,Y17,110109,,H12,21.34,AT,IT,,R4,Greece,2020
102,A1050,Y17,110109,,H12,350.85,AT,SI,,R4,Greece,2020
103,A1050,Y17,110109,,H12,71.1,BE,FR,,R4,Greece,2020
