,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,,Y17,110109,,,19.8,,DE,,R4,Lithuania,2020
1,A1030,,60404,,,5.46,"PL,CZ,AT",CH,,R4,Lithuania,2020
2,A3020,,130208,,,866.5,PL,DE,,R9,Lithuania,2020
3,,Y5,170204,,,79.9,PL,DE,,R1,Lithuania,2020
4,,"Y12,Y8",150110,,,50.0,,PL,,R1,Lithuania,2020
5,,Y31,191211,,,97.58,PL,DE,,R4,Lithuania,2020
6,,Y8,130208,,,655.69,,PL,,R9,Lithuania,2020
7,,Y8,130310,,,19.94,,PL,,R9,Lithuania,2020
8,,Y31,160601,,,47.485,LV,EE,,R4,Lithuania,2020
9,,Y31,191211,,,2412.293,,PL,,R4,Lithuania,2020
10,,Y12,150111,,,5.0,LV,EE,D10,,Lithuania,2020
11,,Y31,191211,,,1355.74,PL,CZ,,R4,Lithuania,2020
12,,Y9,50106,,,75.96,,LV,,R3,Lithuania,2020
13,,,170204,Wood contained or contaminated with dangerous substances,H_,3269.96,PL,DE,,R1,Lithuania,2020
14,,Y31,191211,,,384.306,PL,DE,,R4,Lithuania,2020
15,,"Y12,Y8",150110,,,100.34,,PL,,R1,Lithuania,2020
16,,Y8,130310,,,189.84,,PL,,R9,Lithuania,2020
17,,Y9,130208,,,891.63,,PL,,R9,Lithuania,2020
18,,Y31,191211,,,506.169,,PL,,R4,Lithuania,2020
19,,Y9,50106,,,18.0,,LV,,R3,Lithuania,2020
20,,Y45,200123,,,173.1,,LV,,R12,Lithuania,2020
21,A2030,,160807,,,16.0755,"PL,CZ,SK",IT,,R8,Lithuania,2020
22,A2030,,160807,,,16.65382,"PL,CZ,SK",IT,,R8,Lithuania,2020
23,,Y18,140601,,,7.034,,DE,,R3,Lithuania,2020
24,,Y31,160601,,,247.127,LV,EE,,R4,Lithuania,2020
25,B3010,,191204,Plastics,H_,190.145,"PL,CZ",AT,,R3,Lithuania,2020
26,,Y31,160215,,,585.14,PL,DE,,R5,Lithuania,2020
27,,Y31,160601,,,271.84,LV,EE,,R4,Lithuania,2020
28,,"Y31,Y34",160601,,,208.566,LV,EE,,R4,Lithuania,2020
29,,Y31,191211,,,72.952,PL,DE,,R4,Lithuania,2020
30,,Y31,191211,,,524.937,PL,DE,,R4,Lithuania,2020
31,,"Y12,Y42,Y6",80312,,,14.737,,LV,,R2,Lithuania,2020
32,,"Y12,Y42,Y6",90102,,,6.033,,LV,,R2,Lithuania,2020
33,,"Y12,Y42,Y6",140603,,,3.11,,LV,,R2,Lithuania,2020
34,,"Y12,Y42,Y6",80312,,,53.19,,LV,,R2,Lithuania,2020
35,,"Y12,Y42,Y6",90102,,,27.935,,LV,,R2,Lithuania,2020
36,,"Y12,Y42,Y6",140603,,,18.765,,LV,,R2,Lithuania,2020
37,Y47,,190113,,,4199.4,,NO,,R5,Lithuania,2020
38,,Y31,191211,,,1098.332,PL,CZ,,R4,Lithuania,2020
39,A1020,,191211,,,219.274,PL,CZ,,R4,Lithuania,2020
40,,Y31,160215,,,118.91,PL,DE,,R5,Lithuania,2020
41,,Y29,200121,,,0.76,,LV,D5,"R12,R5,R4",Lithuania,2020
42,,Y31,160601,,,137.006,LV,EE,,R4,Lithuania,2020
43,A2030,,160802,,,105.894,PL,CZ,,R4,Lithuania,2020
44,,,170204,railway sleepers,H_,561.28,PL,DE,,R1,Lithuania,2020
45,,,170204,railway sleepers,H_,649.69,PL,DE,,R1,Lithuania,2020
46,,,170204,railway sleepers,H_,929.02,PL,DE,,R1,Lithuania,2020
47,Y47,,190113,,,11800.0,,NO,,R5,Lithuania,2020
48,,"Y31,Y34",191211,,,2007.11002,PL,CZ,,R4,Lithuania,2020
49,,"Y31,Y34",191211,,,596.693,PL,CZ,,R4,Lithuania,2020
50,A1160,,160601,,,71.76,LV,EE,,R4,Lithuania,2020
51,,Y8,130208,,,95.56,PL,DE,,R9,Lithuania,2020
52,,Y8,130208,,,656.65,"LV,EE",FI,,R9,Lithuania,2020
53,,Y29,200121,,,59.85,,LV,,"R12,R4,R5",Lithuania,2020
54,,Y29,200121,,,95.83,,LV,,"R12,R4,R5",Lithuania,2020
55,A4140,,191211,,,906.07,"PL,CZ,SK",SI,,R3,Lithuania,2020
56,,Y22,191211,,,117.103,"PL,CZ,SK",SI,,R3,Lithuania,2020
57,,Y29,160215,,,29.6,,SE,"D1,D10,D5,D9","R1,R12,R4,R5",Lithuania,2020
58,A1020,,191211,,,160.28,,LV,,"R12,R13",Lithuania,2020
