,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,Y46,,,Déchets issus du tri des emballages ménagers recyclables triés à la source,,982.0,,FR,,"R4,R5,R12",Monaco,2020
1,Y47,,,Mâchefers issus du traitement thermique des déchets ménagers et assimilés de l'unité nationale,,8454.4,,FR,D5,,Monaco,2020
2,Y47,,,Cendres volantes issues de l'épuration des fumées du traitement thermique des déchets ménagers et assimilés traités dans l'unité de valorisation thermique nationale,,1178.0,,FR,D9,,Monaco,2020
3,Y47,,,Boues issues du lavage des fumées issues du traitement thermique des déchets ménagers et assimilés dans l'unité de valorisation énergétique nationale,,30.82,,FR,D9,,Monaco,2020
4,,Y_,,Boues issue de la station d'épuration des eaux usées issues de la commune française de Beausoleil et de la Principauté de Monaco. L'unité d'épuration est sur le territoire monégasque.,,4781.0,,FR,,R3,Monaco,2020
5,,Y_,,Etanchéité - Calendrite,,1.625,,FR,"D5,D13",,Monaco,2020
6,A4130,"Y2,Y3,Y4",,Emballages souillés,,50.57,,FR,,"R1,R3,R4,R12,R13",Monaco,2020
7,A3020,Y8,,Huiles usagées,H12,47.07,,FR,,"R9,R13",Monaco,2020
8,A4060,Y9,,Eaux souillées,"H8,H11,H12",160.56,,FR,"D10,D13",,Monaco,2020
9,A1030,,,Ampoules et néons,H11,4.02,,FR,,"R4,R5,R13",Monaco,2020
10,"A1170,Y46",Y10,,Piles et accumulateurs en mélange,H4.1,5.0,,FR,,"R4,R12",Monaco,2020
11,A1160,Y31,,Batterie Plomb,"H8,H12",7.655,,FR,,"R4,R13",Monaco,2020
12,A1020,Y31,,Déchets contenant du plomb,,0.141,,FR,"D5,D13",,Monaco,2020
13,,Y_,,Déchets d'équipements électriques et électroniques,H12,1.5,,FR,,"R4,R13",Monaco,2020
14,A1180,,,Déchet d'Equipements électriques et électroniques,"H4.1,H12",3.05,,FR,,"R4,R13",Monaco,2020
15,A3140,"Y6,Y42",,Solvants non halogénés,H3,32.65,,FR,,"R1,R13",Monaco,2020
16,A2050,Y36,,Déchets amiante,,12.34,,FR,"D1,D5,D15",,Monaco,2020
17,A3140,"Y6,Y41",,Produits de laboratoire,H11,6.54,,FR,,"R1,R13",Monaco,2020
18,A4090,"Y14,Y34,Y35",,Acides Bases,"H8,H12",10.37,,FR,"D9,D13",,Monaco,2020
19,"A1020,A4130","Y12,Y13",,Eléments sous pression,"H1,H3",3.62,,FR,"D10,D13",,Monaco,2020
20,A4060,Y4,,Produits de laboratoire,,4.5,,FR,"D10,D13",,Monaco,2020
21,A1030,Y29,,Produits mercuriels,H11,0.004,,FR,,"R3,R13",Monaco,2020
22,,"Y2,Y3,Y4,Y5,Y6,Y8,Y9,Y13,Y14,Y16,Y17",,Filtres imprégnés,"H4.1,H12",6.26,,FR,,"R1,R13",Monaco,2020
23,A4160,"Y2,Y3,Y4,Y5,Y6,Y8,Y9,Y13,Y14,Y16,Y17",,Charbons actifs,H12,0.18,,FR,,"R1,R12,R13",Monaco,2020
24,A4070,"Y12,Y13",,Pâteux non halogénés peintures vernis colles résines,H4.1,34.2,,FR,,"R1,R13",Monaco,2020
25,A3050,"Y12,Y13",,Isocyanates,H4.1,2.24,,FR,,"R1,R13",Monaco,2020
26,A4140,"Y1,Y2,Y3,Y4,Y14",,Comburants ,"H3,H4.1,H4.2,H4.3,H5.1,H5.2,H6.1,H8",0.88,,FR,"D10,D13",,Monaco,2020
27,A4030,Y4,,Produits phytosanitaires,"H6.1,H12",0.025,,FR,"D10,D13",,Monaco,2020
28,A4010,Y3,,Médicaments,,0.007,,FR,,"R1,R13",Monaco,2020
29,,Y3,,Radiographies,,0.6,,FR,,"R4,R13",Monaco,2020
