,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A3180,Y10,L404,Polychlorinated Biphenyls (PCB) wastes,H12,113.1,,FR,D10,,Philippines,2020
1,,Y22,,Copper bearing sludge,,3000.0,,KR,,R4,Philippines,2020
2,,Y31,M506,PRINTED CIRCUIT BOARD,H11,1.2,,JP,,R4,Philippines,2020
3,A1050,Y22,,CU SLUDGE,H12,1.5,,JP,,R4,Philippines,2020
4,,"Y22,Y31",M506,ASSORTED PCB WITH COMPONENTS,"H11,H12",500.0,,JP,,R4,Philippines,2020
5,A1180,Y31,M506,PRINTED CIRCUIT BOARD,H11,3600.0,,KR,,R4,Philippines,2020
6,,Y9,,HAZARDOUS SLUDGE,H12,224.0,,SE,,R4,Philippines,2020
7,,"Y12,Y13",,HEAVY METAL CONTAINING WASTE,H12,60.0,,SE,,R4,Philippines,2020
8,,"Y12,Y13",,WASTE IMPREGNATION RESIN,H12,60.0,,SE,,R4,Philippines,2020
9,,Y41,,WASTE PERCHOLOROETHYLENE,,2.0,,SE,,R4,Philippines,2020
10,A1180,"Y22,Y31",M506,PRINTED WIRING BOARD,H11,1000.0,,JP,,R4,Philippines,2020
11,A1180,"Y22,Y31",M506,PRINTED WIRING BOARD,H11,1000.0,,JP,,R4,Philippines,2020
12,A1180,"Y22,Y31",M506,PRINTED WIRING BOARD,H11,250.0,,SG,,R4,Philippines,2020
13,A1180,Y31,M506,PRINTED CIRCUIT BOARD,H11,1500.0,,KR,,R4,Philippines,2020
14,A1180,"Y22,Y31",M506,WEEE,H11,300.0,,KR,,R4,Philippines,2020
15,A1180,Y31,M506,WEEE,H11,1000.0,,JP,,R4,Philippines,2020
16,A1180,Y31,M506,PRINTED CIRCUIT BOARD,H11,500.0,,JP,,R4,Philippines,2020
17,,Y31,M506,PRINTED CIRCUIT BOARD,H11,200.0,,JP,,R4,Philippines,2020
18,A1180,Y31,M506,PRINTED CIRCUIT BOARD,H11,2400.0,,JP,,R4,Philippines,2020
19,,Y18,M506,TONERS AND INK CARTRIDGES,H13,200.0,,SG,,R4,Philippines,2020
20,A1180,"Y22,Y31",M506,PRINTED CIRCUIT BOARD,H11,200.0,,JP,,R4,Philippines,2020
21,A1180,Y18,M506,WEEE,H13,300.0,,SG,,R4,Philippines,2020
22,A1180,Y31,M506,WEEE,H11,1000.0,,JP,,R4,Philippines,2020
23,A4050,Y33,,CIRCLING FILTER OF EG GOLD SOLUTION,H11,20.0,,JP,,R4,Philippines,2020
24,,Y22,,COPPER SLUDGE,H11,250.0,,KR,,R4,Philippines,2020
25,A4050,Y33,,AU ABSORPTION RESIN,H11,5.0,,JP,,R4,Philippines,2020
26,A1180,Y31,,RECHARGEABLE LITHIUM ION BATTERY SCRAP,H11,300.0,,JP,,R4,Philippines,2020
27,,Y22,,COPPER SLUDGE,H11,3000.0,,KR,,R4,Philippines,2020
28,A1180,"Y22,Y31",,ASSORTED E-WASTE,H11,500.0,,JP,,R4,Philippines,2020
29,A1170,Y42,,SPENT LITHIUM ION BATTERY,"H10,H13",27.0,,AU,,R4,Philippines,2020
30,A1050,Y17,,SLUDGE WITH AU,H11,100.0,,JP,,R4,Philippines,2020
31,A1050,Y17,,SLUDGE WITH AG,H11,100.0,,JP,,R4,Philippines,2020
32,A1050,Y17,,SLUDGE WITH AUPD,H11,100.0,,JP,,R4,Philippines,2020
33,,Y31,M506,WEEE,H11,16.0,,JP,,R4,Philippines,2020
34,,Y31,M506,PRINTED CIRCUIT BOARD,H11,1800.0,,KR,,R4,Philippines,2020
35,,"Y22,Y31",M506,PRECIOUS METAL BEARING E-WASTES,H11,200.0,,JP,,R4,Philippines,2020
