,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A3020,,13 01 11*,synthetichydraulic oils,,69.412,"HR,SI",AT,D10,,Serbia,2020
1,A3020,,15 01 10*,packaging containing residues of or contaminated by dangerous substances,,3.261,"HR,SI",AT,D10,,Serbia,2020
2,A3020,,15 02 02*,"absorbents, filter materials (including oil filters not otherwise specified), wiping cloths, protective clothing contaminated by dangerous substances",,8.876,"HR,SI",AT,D10,,Serbia,2020
3,A3020,,16 01 07*,oil filters,,5.351,"HR,SI",AT,D10,,Serbia,2020
4,A4010,,07 05 13*,solid wastes containing dangerous substances,,182.913,"HR,SI",AT,D10,,Serbia,2020
5,A4010,,15 01 10*,packaging containing residues of or contaminated by dangerous substances,,8.205,"HR,SI",AT,D10,,Serbia,2020
6,A4010,,16 03 03*,inorganic wastes containing dangerous substances,,0.102,"HR,SI",AT,D10,,Serbia,2020
7,A4010,,16 03 05*,organic wastes containing dangerous substances,,0.119,"HR,SI",AT,D10,,Serbia,2020
8,A4010,,18 01 08*,cytotoxic and cytostatic medicines,,3.424,"HR,SI",AT,D10,,Serbia,2020
9,A4010,,18 02 07*,cytotoxic and cytostatic medicines,,0.11,"HR,SI",AT,D10,,Serbia,2020
10,A4010,"Y2,Y3",16 03 05*,organic wastes containing dangerous substances,,25.777,"HR,SI",AT,D10,,Serbia,2020
11,A4010,"Y2,Y3",18 01 08*,cytotoxic and cytostatic medicines,,59.11,"HR,SI",AT,D10,,Serbia,2020
12,A4010,"Y2,Y3",07 05 13*,solid wastes containing dangerous substances,,13.45,"HR,SI",AT,D10,,Serbia,2020
13,A4030,,16 03 05*,organic wastes containing dangerous substances,,15.105,"HR,SI",AT,D10,,Serbia,2020
14,A4030,,20 01 19*,pesticides,,0.335,"HR,SI",AT,D10,,Serbia,2020
15,A4030,Y4,16 03 05*,organic wastes containing dangerous substances,,11.19,"HR,SI",AT,D10,,Serbia,2020
16,A4070,Y12,08 01 13*,sludges from paint or varnish containing organic solvents or other dangerous substances,,129.02,"HR,SI",AT,D10,,Serbia,2020
17,A4070,Y12,08 01 13*,sludges from paint or varnish containing organic solvents or other dangerous substances,,41.44,"HR,SI",AT,D10,,Serbia,2020
18,A4070,Y12,08 01 17*,wastes from paint or varnish removal containing organic solvents or other dangerous substances,,68.66,"HR,SI",AT,D10,,Serbia,2020
19,A4070,Y12,08 01 17*,wastes from paint or varnish removal containing organic solvents or other dangerous substances,,4.18,"HR,SI",AT,D10,,Serbia,2020
20,A4140,,16 03 05*,organic wastes containing dangerous substances,,14.536,"HR,SI",AT,D10,,Serbia,2020
21,A4140,,16 05 06*,"laboratory chemicals, consisting of or containing dangerous substances, including mixtures of laboratory chemicals",,7.438,"HR,SI",AT,D10,,Serbia,2020
22,A4140,,16 05 08*,discarded organic chemicals consisting of or containing dangerous substances,,1.986,"HR,SI",AT,D10,,Serbia,2020
23,A4140,"Y14,Y2",16 05 06*,"laboratory chemicals, consisting of or containing dangerous substances, including mixtures of laboratory chemicals",,0.33,"HR,SI",AT,D10,,Serbia,2020
24,A4140,"Y14,Y2",18 01 06*,chemicals consisting of or containing dangerous substances,,8.4,"HR,SI",AT,D10,,Serbia,2020
25,A4140,"Y2,Y6,Y18",16 05 06*,"laboratory chemicals, consisting of or containing dangerous substances, including mixtures of laboratory chemicals",,6.16,"HR,SI",AT,D10,,Serbia,2020
26,A4140,Y40,16 03 05*,organic wastes containing dangerous substances,,1.75,"HR,SI",AT,D10,,Serbia,2020
27,A4140,Y40,16 05 06*,"laboratory chemicals, consisting of or containing dangerous substances, including mixtures of laboratory chemicals",,6.63,"HR,SI",AT,D10,,Serbia,2020
28,A4140,Y40,18 01 06*,chemicals consisting of or containing dangerous substances,,30.96,"HR,SI",AT,D10,,Serbia,2020
29,A1060,"Y17,Y34",11 01 05*,pickling acids,,669.66,HU,AT,,R4,Serbia,2020
30,A1020,Y31,10 04 01*,slags from primary and secondary production,,530.14,,BG,,R4,Serbia,2020
31,A3020,Y8,13 01 10*,mineral based non-chlorinated hydraulic oils,,21.917,,BG,,R9,Serbia,2020
32,A3020,Y8,13 01 13*,other hydraulicoils,,5.542,,BG,,R9,Serbia,2020
