,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_destination,annex_4_a_code,annex_4_b_code,country,year
0,A4130,Y18,191211*,Embalajes y materiales sucios triturados,H4.1,413.42,ES,FR,,"R1,R12,R13",Sweden,2020
1,A4130,Y18,191211*,Embalajes y materiales sucios triturados,H4.1,658.42,ES,FR,,"R1,R13,R12",Sweden,2020
2,A4130,Y18,191211*,Embalajes y materiales sucios triturados,H4.1,1024.18,ES,FR,,"R1,R13,R12",Sweden,2020
3,A4130,Y18,191211*,Embalajes y materiales sucios triturados,H4.1,279.88,ES,FR,,"R1,R13,R12",Sweden,2020
4,A4130,Y18,191211*,Embalajes y materiales sucios triturados,H4.1,185.42,ES,FR,,"R1,R13,R12",Sweden,2020
5,A4130,Y18,191211*,Embalajes y materiales sucios triturados,H4.1,460.54,ES,FR,,"R1,R13,R12",Sweden,2020
6,A4130,Y18,191211*,Embalajes y materiales sucios triturados,H4.1,818.0,ES,FR,,"R1,R12",Sweden,2020
7,A4130,Y18,191211*,Embalajes y materiales sucios triturados,H4.1,224.22,ES,FR,,"R1,R12,R13",Sweden,2020
8,A4130,Y18,191211*,Embalajes y materiales sucios triturados,H4.1,94.2,ES,FR,,"R1,R12,R13",Sweden,2020
9,A4130,Y18,191211*,Embalajes y materiales sucios triturados,H4.1,1541.66,ES,FR,,"R1,R12,R13",Sweden,2020
10,A4130,Y18,191211*,Embalajes y materiales sucios triturados,H4.1,185.08,ES,FR,,"R1,R12,R13",Sweden,2020
11,A4070,"Y11,Y12,Y13,Y39,Y6","070108*, 070308*, 070310*, 070311*, 080111*,080113*, 080115*, 080117*, 080119*, 080121*,080312*, 080314*, 190205*, 190204*, 190205* y 190209*","Sólidos/Lodos que contienen disolventes de mfsu de pinturas, tintas, etc ",,187.36,ES,GB,,"R12,R1",Sweden,2020
12,A4070,Y12,"070108*, 080111*,080113*, 080117*, 080119*, 080121*,080312*, 080314*, 190205*, 190209* y 190211*",Residuos sólidos y lodos inflamables,,199.84,ES,GB,,"R12,R1",Sweden,2020
13,A4060,Y9,"050103*, 050105*, 050106*, 050109*, 050111*, 130502*, 130506*, 130507*, 130701*, 130702*, 130703*",Lodos a base de hidrocarburos inflamables ,,534.3,ES,GB,,"R12,R1",Sweden,2020
14,A4070,"Y12,Y13","040216*, 080111*,080113*, 080115*, 080117*, 080121*, 080411*,150110*,150202*,190813*","Residuos de mfsu de tintas, colorantes, pigmentos, pinturas, laqueras y barnices",,348.18,ES,GB,,"R12,R1",Sweden,2020
15,A4070,Y12,"070108*, 080111, 080113, 080115, 080117, 080119, 080121, 080312, 080314, 190205, 190209, 191211 ","Residuos sólidos y lodos que contienen sustancias peligrosas, incluidas tintas de pintura","H4.1,H6.1,H12",272.15,ES,GB,,"R12,R1",Sweden,2020
16,A4070,Y12,"050103*, 050106*, 130502*, 160708*, 190207*","Residuos sólidos y lodos que contienen sustancias peligrosas, incluidas tintas de pintura","H4.1,H6.1,H12",165.6,ES,GB,,"R12,R1",Sweden,2020
17,A4070,,"070108, 080111, 080113, 080115, 080117, 080119, 080121, 080312, 080314, 190205, 190209, 191211 ","Mfsu de pintura, tinta, laca, tinte y barniz","H4.1,H6.1,H12",457.6,ES,GB,,"R12,R1",Sweden,2020
18,A4070,Y12,"070108, 080111, 080113, 080115, 080117, 080119, 080121, 080312, 080314, 190205, 190209, 191211 ","Residuos lodos y sólidos inflamables del mfsu de pintura, tintas, barnices, tintos, pigmentos, lacas, etc",,116.12,ES,GB,,"R12,R1",Sweden,2020
19,A3190,Y11,191211*,Sólidos inflamables a base de hidrocarburos ,"H12,H4.1,H6.1",136.64,ES,GB,,"R12,R1",Sweden,2020
20,A4130,Y18,"150110*, 150202",Trapos y empaques que contienen residuos peligrosos mezclados,"H6.1,H8",39.57,ES,GB,,"R12,R1",Sweden,2020
21,A4070,"Y12,Y13","040216*, 080111*, 080113*, 080115*, 080117*, 080121*, 080312*, 080409*, 080411*, 150110*, 150202* y 190813*","Tintas, colores, pigmentos, pinturas, lacas","H12,H3,H4.1,H8",168.62,ES,GB,,"R12,R1",Sweden,2020
22,A4070,"Y11,Y12,Y13,Y39,Y6","070108*, 070308*, 070310*, 070311*, 080111*, 080113*, 080115*, 080117*, 080119*, 080121*, 080312*, 080314*, 190204*, 190205* y 190209*. Código de Basilea: A4070","Sólidos / Residuos que contienen disolventes de mfsu de pinturas, tintas, tintos ver anexo 4","H3,H4.1,H6.1",272.72,ES,GB,,"R1,R12",Sweden,2020
23,,,070108*,Otros residuos de reacción y destilación,"H4.1,H6.1,H12",122.48,ES,GB,,"R12,R1",Sweden,2020
24,,,070108*,Otros residuos de reacción y destilación,"H4.1,H6.1,H12",171.8,ES,GB,,"R12,R1",Sweden,2020
25,,,200135*,Equipos eléctricos y electrónicos desechados distintos de los mencionados 200121 y 200123 que contienen componentes peligrosos,"H5.1,H8",159.4,ES,GB,,"R4,R12,R13",Sweden,2020
26,A4020,Y1,180103*,Residuos cuya recogida y eliminación es objeto de requisitos para prevenir infecciones,H6.2,4.1,ES,GB,D9,,Sweden,2020
27,A4020,Y3,180108*,Medicamentos citotoxicos y citostáticos,H6.1,0.2,ES,GB,"D15,D10",,Sweden,2020
28,A2050,Y36,170605*,Materiales de construcción que contienen amianto,H11,6.08,ES,GB,D5,,Sweden,2020
29,A4070,"Y12,Y41,Y42",080111*,Residuos de pintura y barniz que contienen disolventes orgánicos,H8,1.02,ES,GB,,"R13,R12,R1",Sweden,2020
30,A3140,,160305*,Residuos orgánicos que contienen sustancias peligrosas,H13,0.5,ES,GB,"D15,D9",,Sweden,2020
31,,,200123*,Equipo desechados que contienen clorofluorocarburos,"H5.1,H8",27.44,ES,GB,,"R4,R5,R13",Sweden,2020
32,A4070,Y12,080111*,Residuos de pintura y barniz que contienen disolventes orgánicos u otras sustancias peligrosas,"H11,H6.1",9.56,ES,GB,D9,,Sweden,2020
33,A4090,Y35,150110*,Envases que contienen restos de sustancias peligrosas,H6.1,0.852,ES,GB,,R13,Sweden,2020
34,A1180,"Y9,Y10,Y20,Y26,Y29,Y31,Y36,Y45",200135*,Equipos eléctricos y electrónicos desechados distintos de los mencionados 200121 y 200123 que contienen componentes peligrosos,"H11,H8",0.1,ES,GB,,R13,Sweden,2020
35,A2010,Y29,200121*,Tubos fluorescentes y otros residuos que contienen mercurio,"H5.1,H6.1,H11",2.5,ES,GB,,R13,Sweden,2020
36,A4090,Y35,160504*,Hidróxido sódico y potásico,H6.1,0.19,ES,GB,,"R13,R4",Sweden,2020
37,A3020,Y8,160107*,Filtro de aceite,"H3,H11",4.408,ES,GB,,"R12,R4",Sweden,2020
38,A4060,"Y8,Y9,Y41,Y42",150202*,"Absorbentes, materiales de filtración","H8,H11,H4.1",11.915,ES,GB,,"R12,R3",Sweden,2020
39,A4130,,150110*,Envases que contienen restos de sustancia peligrosa,H3,0.505,ES,GB,,R12,Sweden,2020
40,A4070,"Y12,Y41,Y42",080111*,Residuos de pintura y barniz que contienen disolventes orgánicos,H6.1,8.664,ES,GB,,R12,Sweden,2020
41,A3160,"Y6,Y42",140603*,Otros disolventes y mezclas disolventes,"H3,H11,H6.1",2.019,ES,GB,,R12,Sweden,2020
42,A3190,,130703*,Materiales de construcción,"H3,H11",0.576,ES,GB,D14,,Sweden,2020
43,A2050,Y36,170605*,Materiales de construcción,H11,6.89,ES,GB,D14,,Sweden,2020
44,,,100104*,Cenizas volantes y polvo de caldera de hidrocarburos,H6.1,16.528,ES,GB,"D14,D9",,Sweden,2020
45,,Y9,130502*,Lodos de separadores de aguas,"H11,H13",5.081,ES,GB,D14,,Sweden,2020
46,A4060,"Y8,Y9,Y41,Y42",150202*,"Absorbentes, materiales de filtración","H8,H11,H4.1",21.295,ES,GB,D5,,Sweden,2020
