,annex_2_8_9,annex_1,national_code,type_of_waste,annex_3,amount,countries_of_transit,country_of_destination,annex_4_a,annex_4_b,country,year
0,A4020,Y1,180108*,Cytotoxic and cytostatic medicines,H6.2,2.34,-,ES,D10,,Andorra,2021
1,A4010,Y3,"200132,180109,180208",Expired medicines,,8.0,-,ES,"D9,D5",,Andorra,2021
2,A4030,Y4,"200119*,020108*","Agrochemicals, pesticides and derivatives","H6.1,H13",0.04,-,ES,"D15,D10",,Andorra,2021
3,A3020,Y8,1302XX,Mineral oils,H12,269.8,-,ES,,"R13,R9",Andorra,2021
4,A3020,Y8,130307*,Transformer oils without PCB,H12,12.0,-,ES,,R9,Andorra,2021
5,,Y9,190205*,sludges from physico/chemical treatment containing dangerous substances,H13,36.5,-,ES,D5,,Andorra,2021
6,A4060,Y9,190207*,Oils and concentrates of Tanks,H3,125.0,-,ES,,R3,Andorra,2021
7,A4130,Y12,150110*,contaminated packaging,H13,39.2,-,ES,"D15,D10","R13,R3,R4",Andorra,2021
8,A3050,Y13,"070216*,080409*",Adhesives and silicones,"H11,H3",1.3,-,ES,"D15,D10",,Andorra,2021
9,"A3050,A4070","Y12,Y13,Y18","200127*,080111*,080119*","Paintings, inks, adhesives and resins","H3,H11,H13",72.5,-,ES,"D9,D15,D10","R13,R12,R1",Andorra,2021
10,A4140,Y16,"090101*,090102*,090103*,090104*,090105*",Photographic waste,"H3,H11,H13",2.0,-,ES,"D9,D10",,Andorra,2021
11,,Y16,90107.090108000004,photolits,H13,1.5,-,ES,"D15,D5",R13,Andorra,2021
12,A1010,Y17,120117,Abrasive materials,,2.2,-,ES,"D15,D5",,Andorra,2021
13,A4140,Y18,200129*,Detergents,"H8,H13",11.7,-,ES,"D9,D5",,Andorra,2021
14,A4140,Y18,150202*,Absorbents and filtration materials,H13,14.5,-,ES,"D15,D10","R13,R3",Andorra,2021
15,,Y18,"170503*,170504",Contaminated land,H13,3.0,-,ES,D5,,Andorra,2021
16,A4110,Y18,161105*,Waste of refractory material,H12,16.3,-,ES,D5,,Andorra,2021
17,A3040,Y18,120109*,Taladrina and other emulsions and dissolutions of mechanization,H13,8.8,-,ES,"D9,D10",,Andorra,2021
18,A1180,Y29,200121*,Fluorescent tubes and tubes,H12,8.2,-,ES,D5,"R12,R5,R4",Andorra,2021
19,A1030,Y29,200133*,Batteries,H12,4.8,-,ES,,"R12,R4",Andorra,2021
20,A1160,Y31,160601*,Batteries,H8,248.8,-,ES,D9,"R13,R4,R6",Andorra,2021
21,A4090,Y34,"200114*,060101*,060102*,060103*,060104*,060105*,060106*",Acids and acidic aqueous solutions,"H8,H13",0.6,-,ES,"D9,D5",,Andorra,2021
22,A4140,"Y18,Y34","160506*,160507*,160509",Reactive laboratories ,"H8,H11,H13",4.8,-,ES,"D9,D15,D10",,Andorra,2021
23,A2050,Y36,"160111*,170601*,170605*",Asbests,H11,35.9,-,ES,D5,,Andorra,2021
24,A3150,Y41,"140602*,140604*,200113*",Halogenated solvents,"H3,H13",0.6,-,ES,"D15,D10","R13,R2",Andorra,2021
25,A3140,Y42,"140603*,200113*,140605*",Non-halogenated solvents and other similar waste,"H3,H13",9.1,-,ES,"D15,D10","R13,R2",Andorra,2021
26,A3140,Y42,160113*,Brake fluids,H13,0.4,-,ES,"D15,D10",,Andorra,2021
27,A3140,Y42,160114*,Hazardous antifreeze,H13,10.6,-,ES,"D15,D10",,Andorra,2021
28,A1180,"Y45,Y21",200123*,Refrigerators,H13,157.6,-,ES,"D15,D10","R12,R3,R4,R5,R9,R1",Andorra,2021
29,A4140,Y45,140601*,"Coolant gases (chlorofluorocarbons, HCFC, HFC)",H13,1.9,-,ES,,"R13,R4,R3,R1",Andorra,2021
30,A4130,"Y12,Y18,Y35,Y45","160504*,150111*",Aerosols and gases in pressure containers,H3,30.2,-,ES,,"R13,R4,R3,R1",Andorra,2021
31,A1180,"Y20,Y22,Y25,Y27,Y29,Y31,Y45",200135*,WEEE,H12,55.2,-,ES,,"R12,R4",Andorra,2021
32,Y47,,190113*,Ashes,H12,1094.5,-,ES,D5,,Andorra,2021
33,Y47,,190113*,Ashes,H12,207.5,-,FR,D5,,Andorra,2021
