,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_origin,annex_4_a,annex_4_b,country,year
0,Y47,"Spent Activated Carbon Contaminated with PCB, Dioxins, and Furans

",,6.1,H6.1,Poisonous(acute),45.2,,DE,,R5,United Kingdom of Great Britain and Northern Ireland,2001
1,AN8,Non Halogenated waste paints and varnish,A4070,3,H3,Inflammable liquids,8.43,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
2,11B,"Vanadium containing combustion residue in dry state orimulsion ash granulate, Art. 1(1)b",,9,H11,Toxic(delayed or chronic),454.721,,IT,,R4,United Kingdom of Great Britain and Northern Ireland,2001
3,11B,"Vanadium containing residue in dry state, Art. 1(1)b",,9,H11,Toxic(delayed or chronic),2099.99,,DK,,R4,United Kingdom of Great Britain and Northern Ireland,2001
4,11B,"Vanadium containing residue in dry state, Art. 1(1)b",,9,H11,Toxic(delayed or chronic),1485.72,"CH,FR",IT,,R4,United Kingdom of Great Britain and Northern Ireland,2001
5,Y10,Insulating or heat transmission oils and other liquids containing PCBs or PCTs,,9,H12,Ecotoxic,6.68,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2001
6,Y10,PCB Capacitors,,9,H11,Toxic(delayed or chronic),12.68,"BE,ES,PT",ZA,D10,,United Kingdom of Great Britain and Northern Ireland,2001
7,Y10,PCB Capacitors,,9,H12,Ecotoxic,4.69,,IE,"D9,D10",,United Kingdom of Great Britain and Northern Ireland,2001
8,Y10,PCB Capacitors and contaminated solids,,9,"H11,H12","Toxic(delayed or chronic), Ecotoxic",5.79,,AR,D9,,United Kingdom of Great Britain and Northern Ireland,2001
9,Y10,"PCB capacitors, drained PCB transformers, dielectric fluid",,9,H11,Toxic(delayed or chronic),9.94,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2001
10,Y10,"PCB capacitors, drained PCB transformers, dielectric fluid",,9,H12,Ecotoxic,33.815,SN,AR,D10,,United Kingdom of Great Britain and Northern Ireland,2001
11,Y10,"PCB capacitors, drained PCB transformers, dielectric fluid",,9,H12,Ecotoxic,502.84,,BR,D10,,United Kingdom of Great Britain and Northern Ireland,2001
12,Y10,"PCB capacitors, drained PCB transformers, dielectric fluid",,9,H12,Ecotoxic,33.12,"NL,PT",ZA,D10,,United Kingdom of Great Britain and Northern Ireland,2001
13,Y10,Transformers containing PCB residue,,9,H12,Ecotoxic,5.0,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
14,Y12,Liquid waste containing inks,,3,H3,Inflammable liquids,351.72,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
15,Y12,Non Halogenated waste paints and varnish,,3,H3,Inflammable liquids,10.226,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
16,Y12,Waste not otherwise specified from the manufacture of paints and varnish,,4.1,H4.1,Inflammable solids,52.04,,IE,,"R13,R1",United Kingdom of Great Britain and Northern Ireland,2001
17,"Y12,Y42",Paint waste and gelled monomer,,4.1,H4.1,Inflammable solids,2.127,,IE,,"R13,R1",United Kingdom of Great Britain and Northern Ireland,2001
18,Y13,Non ferrous residue from shredder operations,,,,,230.46,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
19,Y13,Non ferrous residue from shredder operations,,,,,2415.0,DE,FI,,R4,United Kingdom of Great Britain and Northern Ireland,2001
20,Y13,Xylene based thinners,,3,H3,Inflammable liquids,9.58,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
21,"Y13,Y42",Organic Flammable Solvents,,3,H3,Inflammable liquids,11.0,,IE,,R2,United Kingdom of Great Britain and Northern Ireland,2001
22,Y16,Bleach (fixer),,9,H12,Ecotoxic,720.62,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
23,Y16,"Flotation sludge (water, silver halide, gelatine, other organic compounds)",,,,,183.368,NL,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
24,Y16,Ion Exchange Resin containing Silver,,,,,17.78,,SE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
25,Y16,Photographic waste containing Silver,,8,H8,Corrosives,171.21,,IE,,"R13,R4",United Kingdom of Great Britain and Northern Ireland,2001
26,Y16,Photographic waste containing Silver,,9,H12,Ecotoxic,2969.15,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
27,Y16,Photographic waste containing Silver,,9,H12,Ecotoxic,33.307,,DK,,R4,United Kingdom of Great Britain and Northern Ireland,2001
28,Y16,Photographic waste containing Silver,,9,H12,Ecotoxic,74.14,,IE,,"R13,R4",United Kingdom of Great Britain and Northern Ireland,2001
29,Y16,Silver Ashes Bearing,,9,H12,Ecotoxic,171.694,,FR,,R4,United Kingdom of Great Britain and Northern Ireland,2001
30,Y16,"Silver containing emulsion named on the amber list. Composition: gelatines 40%; water 50%, silverhalides 1-8%, bromides 0,1-0,5%; chlorides 3-5%, org. compounds 1%",,,,,17.218,,NL,,R4,United Kingdom of Great Britain and Northern Ireland,2001
31,Y16,Silver rich sludge,,8,H8,Corrosives,18.44,FR,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
32,Y16,Silver rich sludge,,8,H8,Corrosives,2.941,,FI,,R4,United Kingdom of Great Britain and Northern Ireland,2001
33,Y16,Silver rich sludge,,8,H8,Corrosives,200.7,,NL,,R4,United Kingdom of Great Britain and Northern Ireland,2001
34,Y16,Silver rich sludge,,8,H8,Corrosives,35.892,,SE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
35,Y16,"Silver sludges, emulsion",,8,H8,Corrosives,27.902,,NL,,R4,United Kingdom of Great Britain and Northern Ireland,2001
36,Y16,"Silver sludges, emulsion",,8,H8,Corrosives,11.48,,US,,R4,United Kingdom of Great Britain and Northern Ireland,2001
37,Y16,"Silver sludges, emulsion",,9,H12,Ecotoxic,339.106,,FR,,R4,United Kingdom of Great Britain and Northern Ireland,2001
38,Y16,Sludge silver containing sludge from precipitation,,,,,2.079,,FI,,R4,United Kingdom of Great Britain and Northern Ireland,2001
39,Y16,Solvents,,3,H3,Inflammable liquids,23.62,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2001
40,Y16,"Wet Silver Content Filter Residue - Water 70% (dry products 30%), Silver 2-3%, Sulphates 1.5-3%",,,,,23.9,,NL,,R4,United Kingdom of Great Britain and Northern Ireland,2001
41,"Y16,Y41","Photographic fixer, printing solvent, photographic film",,"4.1,9","H4.1,H12","Inflammable solids, Ecotoxic",590.153,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
42,"Y16,Y41","Photographic fixer, printing solvent, photographic film",,"4.1,9","H4.1,H12","Inflammable solids, Ecotoxic",398.275,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
43,Y17,Hard metal powder residues and sludge,,9,H12,Ecotoxic,1.92,,SE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
44,Y17,"Phosphoric Acid, Sulphuric Acid",,8,H8,Corrosives,334.6,,SE,,R5,United Kingdom of Great Britain and Northern Ireland,2001
45,Y17,Precious metal concentrates,,6.1,H6.1,Poisonous(acute),1.775,BE,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
46,Y17,Precious metal containing waste,,5.1,H5.1,Oxidizing,2.105,,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
47,Y17,Precious metal containing waste,,"6.1,8","H6.1,H8","Poisonous(acute), Corrosives",1.347,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
48,Y17,Precious metals containing materials including gases,,5.1,H5.1,Oxidizing,1.92,"BE,FR,NL",DE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
49,Y17,Semi conductor silican wafer coated with gold,,,,,0.906,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
50,Y17,Silver rich sludge,,5.1,H5.1,Oxidizing,0.308,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
51,Y17,Spent acidic copper solutions,,8,H8,Corrosives,30.0,,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
52,Y17,Waste debris containing Gold,,"6.1,8","H6.1,H8","Poisonous(acute), Corrosives",2.6,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
53,Y17,Waste gold cyanide plating solution,,"6.1,8","H6.1,H8","Poisonous(acute), Corrosives",2.065,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
54,Y17,Waste palladium containing solution,,"6.1,8","H6.1,H8","Poisonous(acute), Corrosives",0.05,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
55,"Y17,Y33",Gold bearing solutions/Ion exchange resins,,6.1,H6.1,Poisonous(acute),1.15,,IE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
56,Y18,Precious metal concentrates,,9,H11,Toxic(delayed or chronic),55.996,BE,DE,,R4,United Kingdom of Great Britain and Northern Ireland,2001
57,Y18,Precious metal concentrates,,9,H11,Toxic(delayed or chronic),1.019,,FR,,R4,United Kingdom of Great Britain and Northern Ireland,2001
58,Y18,Precious metal concentrates,,9,H11,Toxic(delayed or chronic),358.264,,US,,R4,United Kingdom of Great Britain and Northern Ireland,2001
59,Y2,"Acetone, Ethanol, Butanone (MEK) Ethyl acetate, Heptane, Butanol, Methanol, Water",,3,H3,Inflammable liquids,40.124,,IE,,"R13,R1",United Kingdom of Great Britain and Northern Ireland,2001
60,Y2,Aqueous Ammonia Solution,,8,H8,Corrosives,110.24,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2001
61,Y2,Aqueous Washing Liquids and Other Liquors,,8,H8,Corrosives,276.76,,IE,D10,,United Kingdom of Great Britain and Northern Ireland,2001
