,y_code,waste_constituents,annex_8,un_class,annex_3,characteristics,amount,countries_of_transit,country_of_origin,annex_4_a,annex_4_b,country,year
0,Y_,Ni bearing wastes,A2030,,H11,spent catalysts,3445.984,DE,BE,,R8,Austria,2015
1,Y_,Ni bearing wastes,A2030,,H11,spent catalysts,2933.88,DE,FI,,R8,Austria,2015
2,Y_,Mo V bearing wastes,A2030,,H11,spent catalysts,674.11,"RO,HU",BG,,R4,Austria,2015
3,Y_,Mo V bearing wastes,A2030,,H11,spent catalysts,294.16,"RS,HR,SI",BG,,R4,Austria,2015
4,Y_,Mo V bearing wastes,A2030,,H11,spent catalysts,5378.136,CZ,PL,,R4,Austria,2015
5,Y_,Mo V bearing wastes,A2030,,H11,spent catalysts,2980.77,,SK,,R8,Austria,2015
6,Y_,V bearing wastes,A2030,,H12,spent catalysts,36.2,,IT,,R8,Austria,2015
7,Y_,W bearing wastes,,,H12,metal bearing sludges,23.88,,DE,,R4,Austria,2015
8,Y_,W bearing wastes,,,H12,metal bearing sludges,21.542,,DE,,R4,Austria,2015
9,Y_,W bearing wastes,,,H12,metal bearing dust,126.222,DE,FR,,R4,Austria,2015
10,Y_,W bearing wastes,,,H12,metal bearing dust,231.573,"BE,FR,DE",GB,,R4,Austria,2015
11,Y_,W bearing wastes,,,H12,metal bearing dust,292.277,DE,SE,,R4,Austria,2015
12,Y_,W-bearing wastes,,,H12,metal bearing sludges,42.953,-,CZ,,R4,Austria,2015
13,Y_,W bearing wastes,,,H12,metal bearing dust,17.414,,DE,,R4,Austria,2015
14,Y_,V bearing wastes,A4100,,H6.1,ash from heavy oil incineration,221.724,DE,NL,,R4,Austria,2015
15,Y_,impregnated wood,,,H13,swood from C&D,3853.247,-,DE,,R3,Austria,2015
16,Y_,WEEE,A1180,,H12,equipment,1058.79,,DE,,R4,Austria,2015
17,Y2,pharmazeutical wastes,A4010,,H3,production waste,39.82,"HR,SI",BA,D10,,Austria,2015
18,Y2,pharmazeutical wastes,A4010,,H11,production waste,61.84,SI,HR,D10,,Austria,2015
19,Y2,pharmazeutical wastes,A4010,,H11,production waste,181.66,"HR,SI",RS,D10,,Austria,2015
20,Y4,pesticides,A4030,,H12,collected wastes,7.56,SI,HR,D10,,Austria,2015
21,Y4,pesticides,A4030,,H6.1,production waste,31.88,"HR,SI",RS,D10,,Austria,2015
22,Y6,solvent wastes,A3150,,H3,production waste,346.58,SI,HR,D10,,Austria,2015
23,Y6,solvent wastes,A3150,,H3,premixed waste,68.52,SI,HR,D10,,Austria,2015
