,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,B1200,,,"Granulated slag
(slag sand), obtained in the production of fer-rous metals
",H13,46500.0,,RU,,R4,Belarus,2016
1,B1200,,,"Granulated slag
(slag sand), obtained in the production of fer-rous metals
",H13,113666.0,,UA,,R4,Belarus,2016
2,B1210,,,"Other slag and ash, in-cluding seaweed ask (kelp)  (cake)",H13,10000.0,,UA,,R4,Belarus,2016
3,B1210,,,"Other slag and ash, in-cluding seaweed ask (kelp) (mixture of ash)",H13,83000.0,,UA,,R4,Belarus,2016
4,B1210,,,"Other slag and ash, in-cluding seaweed ask (kelp) (mixture of ash)",H13,146041.1,,RU,,R4,Belarus,2016
5,B1210,,,"Other slag and ash, in-cluding seaweed ask (kelp) (fly ash)",H13,0.199,"BE,DE,PL",US,,R4,Belarus,2016
6,B3080,,,"Waste, cuttings and scrap of rubber (other than hard rubber), powders and granules obtained from it (waste cord)",H4.1,600.0,"DK,PL",NL,,R3,Belarus,2016
7,B3140,,,"Other pneumatic tires, used",H4.1,1644.5,PL,DE,,R3,Belarus,2016
8,B3140,,,"Other pneumatic tires, used",H4.1,2842.18,,LT,,R3,Belarus,2016
9,B3140,,,"Other pneumatic tires, used",H4.1,273.9,,PL,,R3,Belarus,2016
10,B3140,,,"Other pneumatic tires, used",H4.1,500.0,"LV,LT",EE,,R3,Belarus,2016
11,B3140,,,"Other pneumatic tires, used",H4.1,305.0,"DE,PL",NL,,R3,Belarus,2016
12,B3140,,,"Other pneumatic tires, used",H4.1,650.0,"BE,DE,NL,PL",GB,,R3,Belarus,2016
13,B3140,,,"Other pneumatic tires, used",H4.1,69.0,UA,HU,,R3,Belarus,2016
14,B3140,,,"Other pneumatic tires, used",H4.1,26.0,"AU,CZ,PL",IT,,R3,Belarus,2016
15,B3140,,,"Other pneumatic tires, used",H4.1,2.5,RU,JP,,R3,Belarus,2016
16,B3140,,,"Other pneumatic tires, used",H4.1,89.34,"DK,PL",LU,,R3,Belarus,2016
17,B3140,,,"Other pneumatic tires, used",H4.1,796.0,"CZ,PL",AT,,R3,Belarus,2016
18,B3140,,,"Other pneumatic tires, used",H4.1,287.0,"SA,TJ,UA",AE,,R3,Belarus,2016
19,A1020,Y31,,Waste and lead scrap (lead accumulator plates),H12,22.0,,LT,,R13,Belarus,2016
