,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,,Y_,,Ecotoxic,H12,6773.654,,US      ,,R1,Canada,2016
1,,Y_,,Flammable Gases in contact with wate,H4.3,173.77289,,US      ,,R4,Canada,2016
2,A1050,Y_,,Ecotoxic,H12,2.4,,US      ,,R4,Canada,2016
3,A2030,Y_,,Leachate,H13,19.736,,US      ,,R4,Canada,2016
4,A2030,Y_,,Flammable solids,H4.1,32.91,,US      ,,R8,Canada,2016
5,A2030,Y_,,Spontaneous Combustion,H4.2,1259.99194,,US      ,,R8,Canada,2016
6,A2030,Y_,,Ecotoxic,H12,3904.90015,,US      ,,R8,Canada,2016
7,A2030,Y_,,Leachate,H13,54.831,,US      ,,R8,Canada,2016
8,,Y_,AA060                                   ,Ecotoxic,H12,3318.8,,US      ,,R8,Canada,2016
9,A1170,Y_,,Miscellaneous waste dangerous,H_,29.124,,US      ,,R13,Canada,2016
10,A1170,Y_,,Corrosive,H8,15.23,,US      ,,R13,Canada,2016
11,A1170,Y_,,Ecotoxic,H12,15.577,,US      ,,R13,Canada,2016
12,,Y_,AC170                                   ,Ecotoxic,H12,8673.16016,,US      ,,R13,Canada,2016
13,A1170,Y_,,Miscellaneous waste dangerous,H_,71.543,,US      ,,R_,Canada,2016
14,A4140,Y_,,Flammable solids,H4.1,6.64,,US      ,,R_,Canada,2016
15,,Y_,,Ecotoxic,H12,6256.585,,US      ,D1,,Canada,2016
16,A4060,Y_,,Ecotoxic,H12,128.55499,,US      ,D1,,Canada,2016
17,A4140,Y_,,Flammable solids,H4.1,0.005,,US      ,D1,,Canada,2016
18,,Y_,,Ecotoxic,H12,61.686,,US      ,D3,,Canada,2016
19,,Y_,,Miscellaneous waste dangerous,H_,0.099,,US      ,D9,,Canada,2016
20,,Y_,,Flammable Liquids,H3,0.0145,,US      ,D9,,Canada,2016
21,,Y_,,Ecotoxic,H12,95.584,,US      ,D9,,Canada,2016
22,,Y_,,Leachate,H13,91.25,,US      ,D9,,Canada,2016
23,A1040,Y_,,Ecotoxic,H12,16.0,,US      ,D9,,Canada,2016
