,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A1160,"Y31,Y34",16 06 01*,,"H8,H12",1374.474,,BA,,R4,Croatia,2016
1,A1160,"Y31,Y34",16 06 01*,,"H8,H12",800.202,,BA,,R4,Croatia,2016
2,A1160,"Y31,Y34",16 06 01*,,"H8,H11",153.314,,RS,,R4,Croatia,2016
3,,Y17,12 01 16*,,H12,144.52,BA,ME,,R4,Croatia,2016
4,A3020,Y8,13 02 05*,,"H12,H13",16.64,SI,AT,,R1,Croatia,2016
5,,Y_,19 12 10,,,1000.0,,SI,,R1,Croatia,2016
6,,Y_,19 12 12,,,1928.78,,SI,,R1,Croatia,2016
7,,Y_,19 12 12,,,97.42,,SI,,R1,Croatia,2016
8,,Y_,19 12 10,,,416.38,,SI,,R1,Croatia,2016
9,,Y_,19 08 05,,,79.38,,SI,,R1,Croatia,2016
10,,Y_,19 12 10,,,498.8,,SI,,R1,Croatia,2016
