,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A4020,Y1,18 01 03*, ,,380.8023,,SI,,R1,Italy,2016
1,A4020,Y1,18 01 03*,,,52.96,,SM,D10,,Italy,2016
2,A4020,Y1,18 01 08*, ,,9.3817,,SI,,R1,Italy,2016
3,A4020,Y1,18 01 08*,,,0.7355,,SM,D10,,Italy,2016
4,A4020,Y1,18 02 02*,,,0.88,,SM,D10,,Italy,2016
5,A4010,Y2,07 05 01*,,,266.48,,SM,"D8,D9",,Italy,2016
6,A4010,Y2,07 05 03*,,,30.75,,MT,D15,,Italy,2016
7,A4140,Y2,07 05 04*,,,12.2,,MT,D15,,Italy,2016
8,A4010,Y2,07 05 13*,,,27.15,,SM,D10,,Italy,2016
9,,Y2,07 06 01*,,,504.0,,SM,D8,,Italy,2016
10,A2030,Y2,16 08 07*,,,3.0,,FR,,R4,Italy,2016
11,A4030,Y4,16 03 05*,,,25.044,,SM,,"R13,R1",Italy,2016
12,,Y4,16 05 04*,,,13.02,,SM,,"R13,R4",Italy,2016
13,,Y6,07 02 04*,,,129.44,,DE,,R2,Italy,2016
14,,Y8,13 02 05*,,,14106.92,,FR,,R9,Italy,2016
15,,Y8,13 02 05*,,,107.22,,SM,,"R12,R4",Italy,2016
16,,Y9,16 10 01*,,,229.96,,SM,"D13,D9",,Italy,2016
17,A4060,Y9,16 07 08*,,,42.7,,SM,D9,,Italy,2016
18,A4070,Y12,08 01 11*,,,29.36,,SM,,R13,Italy,2016
19,A4070,Y12,08 01 11*,,,39.33,,SM,,"R13,R1",Italy,2016
20,A4070,Y12,14 06 05*,,,99.22,,SM,,R13,Italy,2016
21,A3050,Y13,08 04 09*,,,71.78,,SM,D15,,Italy,2016
22,A4050,Y13,11 01 16*,,,0.125,,FR,,R4,Italy,2016
23,A4130,Y13,15 01 10*,,,18.97,,SM,,R13,Italy,2016
24,A4130,Y13,15 01 10*,,,3.604,,SM,D9,,Italy,2016
25,A1130,Y17,06 03 13*,,,1209.328,,TN,,R5,Italy,2016
26,A1130,Y17,06 03 13*,,,113.72,,FR,,R5,Italy,2016
27,A1130,Y17,11 01 07*,,,1058.23,FR,ES,,R5,Italy,2016
28,A4160,Y18,07 01 10* - 07 05 10*,,,163.51,,CH,,R7,Italy,2016
29,A4160,Y18,07 07 10*  ,,,41.82,,FR,,R7,Italy,2016
30,,Y18,12 03 01* ,,,332.58,,SM,D9,,Italy,2016
31,,Y18,15 02 02*,,,2.66,,FR,,R4,Italy,2016
32,,Y18,16 01 07*  ,,,21.47,,AT,,R4,Italy,2016
33,,Y18,19 12 11* ,,,516.73,,AT,,R4,Italy,2016
34,,Y18,19 01 05*,,,63.22,,MC,D9,,Italy,2016
35,,Y18,19 01 07*,,,1370.98,,MC,D9,,Italy,2016
36,A1130,Y22,11 01 07*,,,33.278,,SI,,R5,Italy,2016
37,A1020,Y22,11 01 09*,,,3.43,,CH,,R4,Italy,2016
38,A2030,Y22,16 08 02*,,,23.24,"DE,CH",NL,,R8,Italy,2016
39,A2030,Y22,16 08 07*,,,11.01,,JO,,R4,Italy,2016
40,A2030,Y22,16 08 07*,,,14.49,,AL,,R4,Italy,2016
41,A2030,Y22,16 08 07*,,,42.73,,AE,,R4,Italy,2016
42,A2030,Y22,16 08 07*,,,0.674,,ES,,R4,Italy,2016
43,A2030,Y22,16 08 07*,,,5.621,,CZ,,R4,Italy,2016
44,A2030,Y22,16 08 07*,,,154.21,,LT,,R4,Italy,2016
45,A2030,Y22,16 08 07*,,,17.64,,CZ,,R4,Italy,2016
46,A2030,Y22,16 08 07*,,,1.169,,NL,,R4,Italy,2016
47,A2030,Y22,16 08 07*,,,20.0,,KZ,,R4,Italy,2016
48,A2030,Y22,16 08 07*,,,18.79,,TG,,R4,Italy,2016
49,A2030,Y22,16 08 07*,,,34.51,,KE,,R4,Italy,2016
50,A2030,Y22,16 08 07*,,,2.24,,CI,,R4,Italy,2016
51,A2030,Y22,16 08 07*,,,31.29,,GH,,R4,Italy,2016
52,A2030,Y22,16 08 07*,,,10.42,,BA,,R4,Italy,2016
53,A2030,Y22,16 08 07*,,,30.55,,NG,,R4,Italy,2016
54,A2030,Y22,16 08 07*,,,10.04,,TG,,R4,Italy,2016
